,start_date,end_date,country,region,subregion,intervention_summary,intervention_category,target_population_category,enforcement_category,oxford_government_response_category,oxford_closure_code,oxford_public_info_code,oxford_travel_code,oxford_geographic_target_code,oxford_fiscal_measure_cad,oxford_monetary_measure,oxford_testing_code,oxford_tracing_code,source_url,source_organization,source_organization_2,source_category,source_title,source_full_text,note
62,2020-03-30,,Canada,All,,Symptom screening for domestic flights and intercity rail,Symptom screening,General,Refusal of Entry,S6 Restrictions on internal movements,,,0.0,1.0,,,,,https://www.canada.ca/en/transport-canada/news/2020/03/government-of-canada-announces-new-domestic-transportation-measures.html,Government of Canada,Transport Canada,Government Website,Government of Canada announces new domestic transportation measures,"March 28, 2020    Ottawa, ON    Transport Canada

The Government of Canada continues to monitor the evolving COVID-19 pandemic, and is constantly determining what new measures may be required to contain the spread of the virus.

To that end, today, the Minister of Transport, the Honourable Marc Garneau, announced that the Government of Canada is introducing new domestic transportation measures to support provincial, territorial and local efforts to mitigate the risk of COVID-19 spreading from travelling within Canada.

These new measures include:

Air

A requirement for all air operators to conduct a health check of travellers before they board a flight within Canada or departing from Canada, based on guidance from the Public Health Agency of Canada. This would include asking health questions, looking for visible signs of illness prior to boarding, and recommending the traveller follow guidance from local health authorities.
A requirement for air operators to refuse boarding to a passenger that presents COVID-19 symptoms. The denial will remain in effect for a period of 14 days, or until a medical certificate is presented that confirms that the traveller’s symptoms are not related to COVID-19. These measures will apply to aircraft with 10 seats or more.
A requirement for air operators to notify travellers that they may be subject to provincial or territorial measures at their final destination.
These measures will come into effect on March 30, 2020 at noon EDT.
Rail
A requirement for intercity passenger rail companies to do a health check to screen passengers for COVID-19 symptoms before they board a train, based on guidance from the Public Health Agency of Canada. This will include company representatives asking simple health questions, looking for visible signs of illness prior to boarding, and recommending the passenger follow guidance from local health authorities. 
A requirement for intercity passenger rail companies to refuse boarding to a passenger that presents COVID-19 symptoms. The denial will remain in effect for a period of 14 days, or until a medical certificate is presented that confirms that the traveller’s symptoms are not related to COVID-19.
These measures do not apply to commuter trains.
These measures will come into effect on March 30, 2020 at noon EDT.
We remain in contact on a daily basis with the key transportation industry partners, operators and employee associations, international counterparts including in the United States and Europe, as well as provincial and territorial governments to assist with efforts in response to COVID-19.
Quotes
“The COVID-19 pandemic is having a significant impact on the transportation industry, travellers, shippers and the economy. We recognize the importance of the continued movement of goods and the ongoing delivery of essential services in Canada’s response to COVID‑19, while taking necessary measures to protect the health and safety of Canadians. Today’s announcement is another step in the right direction and will ensure alignment on a national level. I also want to thank all essential workers in the trade and transportation sector for continuing to provide services that benefit Canadians and the economy in this difficult time.”

The Minister of Transport, the Honourable Marc Garneau
Quick facts
Intercity passenger rail operators subject to the new measures are: Great Canadian Railtour Company Ltd.; Keewatin Railway Company; National Railroad Passenger Corporation (AMTRAK); Pacific & Arctic Railway Navigation, British Columbia & Yukon Railway, British Yukon Railway doing business as White Pass & Yukon Route Railroad (WP&YR); Transport Ferroviaire Tshiuetin Inc.; and VIA Rail Canada Inc.

Canadians should continue to think ahead about the actions that they can take to stay healthy and prevent the spread of COVID-19 in Canada, including:

being prepared in case you or a family member become ill
following the latest travel advice from federal and provincial public health leaders:
avoiding all non-essential travel, including cruise ships
self-isolating, and monitoring for symptoms (cough, fever or difficulty breathing) for 14 days if you have travelled outside of Canada
reducing contact with others by following the guidance for self-monitoring, self-isolating, or isolating
practicing social distancing and proper hygiene",
63,2020-03-30,2020-09-30,Canada,All,,Moratorium on student loan payment and interest accrual,Emergency economic funding,Postsecondary Students,Not Applicable,S8 Fiscal measures,,,,,,,,,https://www.csnpe-nslsc.canada.ca/en/what-is-new,Government of Canada,National Student Loan Service Centre,Government Website,,"COVID-19 The following measures are being put in place to support student loan borrowers during COVID-19:

Student loan repayment will be suspended until September 30th, 2020:
If you are registered for pre-authorized debit, they will be automatically stopped so you do not have to do anything.
If you are making payments by cheque or other means, you are not required to make payments during the suspension period.
If you want to continue making payments on your loan, you may do so by logging in to your secure NSLSC account and using the Make a Payment option or through online banking.
Interest will not be charged to borrowers on their student loans from March 30th, 2020 to September 30th, 2020.
If your loan was issued by NL, NB, ON, SK or BC, this applies to both the federal and provincial portions of your student loan.

If your loan was issued by PEI, NS, AB or MB, NSLSC only administers the federal portion of your loan, and therefore, this applies to your Canada Student Loan only. However, your province may already have announced similar measures for the provincial portion of your loan; please contact the issuing province for more information.

Note: It may take some time for these measures to be applied to your NSLSC online account. As such, your student loan account may temporarily reflect incorrect information.

How does the suspension affect you if:

You are still in school
The suspension does not impact your loan since you have no payment to make and interest does not accumulate while you are in-study.

You are in your six-month non-repayment period
Payments are never required during the non-repayment period.

The non-repayment period is already interest-free for Canada, BC and NL loans;
Interest accrues on the provincial portion of the loan for ON, NB and SK; however, between March 30th and September 30th, ON, NB and SK loans will be interest-free.
If your non-repayment period is set to end during the suspension period, payments and interest will automatically be suspended until September 30th and you will start repaying your loan in October 2020.

You have already started to repay your loan
You do not have to do anything; your loan will be interest and payment free until September 30th and you will resume repaying your loan in October 2020. We will provide further information over the coming weeks on repayment options for October.",
64,2020-03-27,2020-01-09,Canada,All,,"Deferral of commercial leases and licences of occupation in national parks, historic sites, and marine conservation areas",Emergency economic funding,Businesses,Not Applicable,S9 Monetary measures (interest rate),,,,,,0%,,,https://www.canada.ca/en/parks-canada/news/2020/03/parks-canada-helps-tourism-businesses-in-national-parks-and-historic-sites-deal-with-the-impacts-of-covid-19-by-deferring-commercial-lease-payments.html,Government of Canada,Parks Canada,Government Website,Parks Canada helps tourism businesses in national parks and historic sites deal with the impacts of COVID-19 by deferring commercial lease payments without interest until September 2020,"March 27, 2020                              Gatineau, Quebec                      Parks Canada Agency

The Government of Canada is taking action to protect Canadians and the economy from the impacts of the global COVID-19 pandemic. To help mitigate the impacts of COVID-19 on Canada’s tourism industry, Parks Canada will work with tourism operators in national parks, historic sites, and marine conservation areas to defer payments on commercial leases and licences of occupation without interest until September 1, 2020.

Every year, hundreds of tourism businesses and operators deliver a range of services and experiences to the millions of people who visit Parks Canada places across the country. These enterprises are valued partners to Parks Canada and are important contributors to Canada’s tourism industry and to local economies. But many of them are now facing financial challenges due to the impacts that the COVID-19 pandemic has had on travel and on Parks Canada operations.

Parks Canada is now contacting all holders of commercial leases and licences of occupation in national parks, historic sites, and marine conservation areas to provide details on the deferral of regular payments without interest until September 1, 2020. Operators will be contacted directly by Parks Canada staff over the coming days. Information will also be made available soon on the Parks Canada website. Please visit pc.gc.ca regularly for updates.



Quotes
“The Government of Canada is doing everything it can to protect the health and safety of Canadians and to support workers and businesses in the face of the COVID-19 pandemic. The measures that we are taking today will ensure that tourism businesses in Parks Canada places across the country can defer lease payments until September without interest. By working together, and with actions like this one, we can overcome many of the social and economic hardships our country is facing at this challenging time.”


The Honourable Jonathan Wilkinson, 
Minister of Environment and Climate Change and Minister responsible for Parks Canada",
65,2020-03-27,2020-06-30,Canada,All,,Deferral of Sales Tax Remittance and Customs Duty Payments until June,Emergency economic funding,Businesses,Not Applicable,S8 Fiscal measures,,,,,,,,,https://www.canada.ca/en/department-finance/economic-response-plan.html#individuals,Government of Canada,,Government Website,Canada’s COVID-19 Economic Response Plan,"We are allowing businesses, including self-employed individuals, to defer until June 30, 2020 payments of the GST/HST, as well as customs duty owing on their imports.

Any GST/HST payment that becomes owing from March 27 until the end of May can be deferred until the end of June. For GST and customs duty payments for imported goods, deferral will include amounts owing for March, April and May.

These amounts were normally due to be submitted to the Canada Revenue Agency and the Canada Border Services Agency as early as the end of March 2020.",
66,2020-03-26,,Canada,All,,Forming a new distinctions-based Indigenous Community Support Fund,Emergency social services funding,Vulnerable Populations - Low SES ,Not Applicable,S8 Fiscal measures,,,,,305000000.0,,,,https://www.canada.ca/en/indigenous-services-canada/news/2020/03/addressing-urgent-needs-in-indigenous-communities-related-to-covid-19.html,Government of Canada,Indigenous Services Canada,Government Website,Addressing urgent needs in Indigenous communities related to COVID-19,"March 26, 2020 — Ottawa, Algonquin territory, Ontario — Indigenous Services Canada

The health, safety and well-being of all people in Canada, including First Nations, Inuit and Métis, is and will remain a top priority for all. Canada recognizes that First Nation, Inuit and Métis are among the most vulnerable, and that during this crisis, in particular, those in remote and fly-in only parts of the country are uniquely vulnerable. Communities are incredibly resilient and full of solutions and innovative ideas. This is why we must support distinctions-based measures to improve public health response for Indigenous communities and provide them with the flexibility they need to address the specific needs identified by communities and their members.

Today, the Honourable Marc Miller, Minister of Indigenous Services outlined the details of the $305 million for the new distinctions-based Indigenous Community Support Fund, to address immediate needs in First Nations, Inuit, and Métis Nation communities related to COVID-19.

The Indigenous Community Support Fund will be distributed as  follows:

$215 million for First Nations: allocated to each First Nation based on population, remoteness and community well-being;
$45 million for Inuit, which will flow to each of the four land claims organizations through an allocation determined by the Inuit Tapiriit Kanatami and regional Inuit land claims organizations;
$30 million for Métis Nation communities, which will flow through each of the Governing Members;
$15 million for regional and urban Indigenous organizations supporting their members living away from their communities, and to regional organizations such as Friendship Centres and the Métis Settlements General Council of Alberta.
These new funds will flow directly to Indigenous communities and groups across the country and will provide Indigenous leadership with the flexibility needed to address the immediate needs in their communities as they prepare for and react to the spread of COVID-19. These funds could be used for measures including, but not limited to:

support for Elders and vulnerable community members,
measures to address food insecurity,
educational and other support for children,
mental health assistance and emergency response services,
preparedness measures to prevent the spread of COVID-19.
The Fund is in addition to the needs-based funding designated for First Nations, Inuit and Metis through the COVID-19 Response Fund announced on March 11, 2020 and to the initial $50 million provided to support the immediate public health response. To support women and children fleeing violence, we have also created a $10 million fund for emergency family violence prevention shelters on reserve and in Yukon, as announced by Prime Minister Justin Trudeau on March 18, 2020.

The Indigenous Community Support Fund is also in addition to needs-based support to address public health issues, including the provision of personal protective equipment, testing and health care personnel. It is also in addition to needs-based funding to address the growth in demand for income assistance and for emergency planning programming.

First Nations, Inuit and Métis will also benefit from all of the government's efforts to support and improve the health response to COVID-19, and to reduce the impact of the situation on workers and businesses. The Government of Canada recognizes more support may be needed and will continue to offer financial support for Indigenous communities to meet their evolving needs.



Quotes
""We have taken immediate, significant and decisive action to First Nations, Inuit and Métis in preparing for and addressing needs related to COVID-19. These measures are the product of vital discussions with Indigenous leadership and communities across Canada. This new Indigenous Community Support Fund will further support First Nations, Inuit and Métis leaders in taking action to address the evolving needs of their population and in making their own decisions about where critical support is needed to quickly address this public health emergency.""

The Honourable Marc Miller
Minister of Indigenous Services
""The Government of Canada is supporting Indigenous communities to put measures in place needed to prepare for and respond to COVID-19. We are working to ensure communities have access to needs based resources, open communications, personal protective equipment and other medical supplies to strengthen communities' resilience to this virus.""

Dr. Tom Wong
Chief Medical Officer of Public Health for Indigenous Services Canada
Quick facts
More information on how the Indigenous Community Support Fund will be distributed is available at canada.ca/coronavirus-info-indigenous.

Indigenous people and businesses are encouraged to review other measures which have been made available through the Government of Canada's COVID-19 Economic Response Plan, through which they may receive further support.

As a reminder, the best way to mitigate the risks associated with COVID-19 is to practice social distancing and frequent hand hygiene and coughing and sneezing etiquette. Clean and disinfect frequently touched objects and surfaces, such as toys and door handles.

Indigenous Services Canada is working fast with quick turnaround times for processing personal protective equipment requests to ensure First Nation communities are ready to respond to COVID-19 as effectively as possible.

As of March 25, 2020, Indigenous Services Canada has shipped or delivered  170 personal protective equipment requests with 32 in progress.",
67,2020-03-26,,Canada,All,,All returning travellers must self-isolate for a period of 14 days upon entry,Self-monitored quarantine,Returning Travellers,Arrest,S7 International travel controls,,,0.0,1.0,,,,,https://www.canada.ca/en/public-health/news/2020/03/new-order-makes-self-isolation-mandatory-for-individuals-entering-canada.html,Government of Canada,Public Health Agency of Canada,Government Website,New Order Makes Self-Isolation Mandatory for Individuals Entering Canada,"March 25, 2020 - Ottawa, ON - Public Health Agency of Canada

Today, the Honourable Patty Hajdu, Minister of Health, announced an Emergency Order under the Quarantine Act that requires any person entering Canada by air, sea or land to self-isolate for 14 days whether or not they have symptoms of COVID-19.

The order will be fully implemented by the Canada Border Services Agency at points of entry by midnight tonight. The Government of Canada will use its authority under the Quarantine Act to ensure compliance with the order. Failure to comply with this Order is an offense under the Quarantine Act. Maximum penalties include a fine of up to $750,000 and/or imprisonment for six months. Further, a person who causes a risk of imminent death or serious bodily harm to another person while wilfully or recklessly contravening this Act or the regulations could be liable for a fine of up to $1,000,000 or to imprisonment of up to three years, or to both. Spot checks will be conducted by the Government of Canada to verify compliance.

All individuals permitted to enter Canada are subject to this Order, with the exception of certain persons who cross the border regularly to ensure the continued flow of goods and services, and those who provide essential services. Individuals exempt from the Order will still need to practice social distancing and self monitoring and contact their local public health authority if they feel sick.

Individuals displaying symptoms of COVID-19 after arriving in Canada may not use public transportation to travel to their place of isolation. They also may not isolate in a place where they will be in contact with vulnerable people, such as seniors and individuals with underlying health conditions.

Quotes
“The number of cases of COVID-19 is increasing daily—both at home and globally. Earlier this month, we asked travellers entering Canada to self-isolate for 14 days to prevent the spread of COVID-19 in Canada. To protect the health and safety of returning Canadians and those who are around them, we are strengthening our measures at the border. Travellers returning to Canada will be subject to a mandatory 14-day self-isolation under the Quarantine Act.”

The Honourable Patty Hajdu
Minister of Health
Quick facts
COVID-19 is a rapidly evolving global challenge. On March 11, 2020, the World Health Organization declared the global outbreak of COVID-19 a pandemic.

Canadians who experience symptoms of COVID-19 should stay home and call the public health authority in their province or territory to inform them and obtain advice on what they should do.",
68,2020-03-25,,Canada,All,,"A selection of courses on public health, mental health and physical health have been made freely accesible",Education or Work from Home,Businesses,Not Applicable,S5 Public info campaigns,,1.0,,1.0,,,,,https://www.canada.ca/en/centre-occupational-health-safety/news/2020/03/ccohs-makes-courses-and-publications-available-to-help-workplaces-during-covid-19-pandemic.html,Government of Canada,Canadian Centre for Occupational Health and Safety,Government Website,CCOHS Makes Courses and Publications Available to Help Workplaces During COVID-19 Pandemic,"March 25, 2020 – Hamilton, ON – Canadian Centre for Occupational Health and Safety (CCOHS)

The Canadian Centre for Occupational Health and Safety (CCOHS) has made selected courses and publications freely available to help support workplaces in their efforts to protect the health, safety and well-being of their employees during the Coronavirus disease (COVID-19) pandemic.

CCOHS reminds workplaces that are still operating to promote frequent handwashing and healthy hygiene practices such as physical distancing to help prevent the spread of infection and to put plans in place that describe how they will continue to function during or after the pandemic. This includes planning how key services or products can be continued, and the recovery of key business and systems.

During the pandemic, CCOHS is making the following courses and publications available for free as well as other credible resources available on their Flu and Infectious Disease Outbreak website www.ccohs.ca/outbreaks and the Pandemics topic page www.ccohs.ca/topics/hazards/health/pandemics/ on the CCOHS website:

Courses

Pandemic Planning
Mental Health: Health and Wellness Strategies
Mental Health: Signs, Symptoms and Solutions
Mental Health: Psychologically Healthy Workplaces
Mental Health: Communication Strategies
Musculoskeletal Disorders Prevention
Office Ergonomics
Pandemic Awareness
Mental Health: Awareness
Musculoskeletal Disorders Awareness
Publications (PDF free download)

Emergency Response Planning Guide
Telework and Home Office Health and Safety Guide
Flu and Infectious Disease Outbreaks Business Continuity Plan
Quotes
“In the wake of the COVID-19 pandemic, workplaces thrust into unfamiliar circumstances and facing the challenges that come with managing a remote workforce are turning to CCOHS for guidance. In addition to having contingency plans in place to help them function, we can’t stress enough the importance of maintaining close communication within the organization. Reach out frequently to employees who become ill or are in quarantine. Have regular contact with those who are working from home to monitor their well-being, let them know you care and help with any feelings of isolation they made have. If you have the technology, video chats are a great way to keep an active connection going.”

- Anne Tennier, President and Chief Executive Officer at the Canadian Centre for Occupational Health and Safety (CCOHS)

“We hope that the courses and publications that we have made publicly available can help prevent ergonomic injuries and maintain positive mental health amongst those who are working through this unprecedented time in history.”

- Anne Tennier, President and Chief Executive Officer at the Canadian Centre for Occupational Health and Safety (CCOHS)",
69,2020-03-25,,Canada,All,,"Suspension of motor vehicle access to national parks, national historic sites, and national marine conservation areas",Public park restrictions,General,Not Applicable,S6 Restrictions on internal movements,,,2.0,1.0,,,,,https://www.canada.ca/en/parks-canada/news/2020/03/text.html,Government of Canada,Parks Canada,Government Website,"Parks Canada calls on visitors to stay home and implements additional measures, suspending visitor vehicle access to Parks Canada places across the country until further notice","March 24, 2020                              Gatineau, Quebec                            Parks Canada Agency



Parks Canada is committed to protecting the health and safety of Canadians, visitors, and employees. Despite the suspension of visitor services and closure of facilities on March 19, 2020, high visitation levels have occurred in a number of parks leading to public safety and health concerns, as well as increased risk of transmission of the COVID-19 virus. As a result, the Agency is implementing additional measures to support the Government of Canada’s efforts to limit the spread of COVID-19 and reduce risks to all users of Parks Canada places.



To reduce the number of visitors at Parks Canada places and to minimize risks to visitors and employees, Parks Canada is building on actions taken last week and is now temporarily suspending all motor vehicle access by visitors at all national parks, national historic sites, and national marine conservation areas effective 12:01 a.m. on Wednesday, March 25, 2020 until further notice. This action is intended to significantly reduce visitation and respects the advice of public health experts to stay home and avoid public gatherings.



These measures are additional to steps taken last week and mean that all visitor parking facilities and associated services at Parks Canada places are closed until further notice. Highways and roadways which pass through Parks Canada places will remain open. Commercial and through traffic is permitted on these corridors. Please note that parking is not permitted on highways and roadways. We are asking all Canadians to respect these restrictions.



Parks Canada will continue to deliver services critical for Canadians, including highway maintenance and snow removal, fire response, dam operations and water management on historic waterways, as well as avalanche forecasting and control, among others.



Indigenous traditional activities in Parks Canada locations will continue, but all users are asked to follow the advice of public health experts on social distancing. Local services are limited. Residents of townsites will still be permitted vehicular access, but those with recreational properties within national parks are strongly encouraged to stay home. Please respect all travel advisories.



To be clear, Parks Canada is asking Canadians to stay home. Anyone considering a visit to a Parks Canada location, including those in urban areas, should cancel their plans as vehicle access for the purposes of visitor use will be suspended until further notice.



We ask that visitors support Canada’s efforts to limit the spread of COVID-19 and cancel any non-essential travel. Detailed information on Parks Canada places and the measures the Agency is taking to limit the spread of COVID-19 can be found at pc.gc.ca. Please check regularly for updates.




Quotes
“The government’s top priority remains the health and safety of Canadians. The window to contain the spread of COVID-19 is short and we must all change our behaviours now to flatten the curve and reduce the burden on our health care system. I am asking all Canadians to follow the advice of public health experts, stay home, and undertake essential travel only. At this time, we are also asking Canadians not to visit Canada’s national parks, national historic sites, and national marine conservation areas. We must all work together to limit the spread of COVID-19.”


The Honourable Jonathan Wilkinson, 
Minister of Environment and Climate Change and Minister responsible for Parks Canada",
70,2020-03-24,2020-12-31,Canada,All,,Previously uninsured mortages can be pooled to purchase securities and insurance,Emergency economic funding,Businesses,Not Applicable,S8 Fiscal measures,,,,,,,,,https://www.canada.ca/en/department-finance/news/2020/03/government-of-canada-announces-additional-measures-to-support-continued-lending-to-canadian-consumers-and-businesses.html,Government of Canada,Department of Finance,Government Website,Government of Canada Announces Additional Measures to Support Continued Lending to Canadian Consumers and Businesses,"March 20, 2020 - Ottawa, Ontario - Department of Finance Canada

The Government of Canada continues to take action to help Canadians and businesses facing hardship as a result of the COVID-19 outbreak. Learn more about the latest measures at Canada’s COVID-19 Economic Response Plan.

The Government of Canada is taking immediate and significant action to support Canadian individuals and businesses facing financial hardship as a result of the economic impacts of the global COVID-19 outbreak.

Today, Minister of Finance Bill Morneau announced amendments to mortgage insurance eligibility criteria, set out in regulations made under the National Housing Act and Protection of Residential Mortgage or Hypothecary Insurance Act. These changes will help provide stable funding and liquidity to financial institutions and mortgage lenders and support continued lending to Canadian businesses and consumers. 

This announcement is in support of Canada Mortgage and Housing Corporation’s (CMHC) March 16, 2020 launch of a $50 billion Insured Mortgage Purchase Program (IMPP) and CMHC’s March 20, 2020 announcement on program details. The amendments allow mortgage lenders to pool previously uninsured mortgages into National Housing Act Mortgage-Backed Securities (NHA MBS) for CMHC to purchase these securities through the IMPP. The impact of this measure will provide financial institutions with more liquidity. This, in turn, will allow financial institutions to continue lending to businesses as well as individuals, while assisting customers who face hardship and need flexibility, on a case by case basis. 

This program builds on other measures announced by the government and Bank of Canada to support liquidity and credit to businesses and borrowers in these extraordinary times. These actions are an important part of Canada’s COVID-19 Economic Response Plan. 

To complement the IMPP, the Minister of Finance is announcing today that the eligibility criteria for portfolio insurance are being temporarily relaxed to help mortgage lenders access the IMPP. This will allow previously uninsured mortgage loans that were funded before March 20, 2020, to be eligible for mortgage insurance and to be included in future NHA MBS issuance.

Effective March 24, 2020, the following low loan-to-value mortgages funded prior to the date of this announcement, March 20, 2020, are eligible for government-guaranteed insurance:

Low loan-to-value mortgages with a maximum amortization term up to 30 years commencing from when the loan was funded.
Low loan-to-value mortgages whose purpose includes the purchase of a property, subsequent renewal of such a loan, or refinancing.
All other eligibility criteria for government-guaranteed insurance will continue to apply to these mortgages. The above amendments will remain in force until December 31, 2020, at which time the eligibility criteria will revert to the existing rules. The Minister of Finance reserves the right to make amendments prior to this date, should circumstances change.

These changes will not apply to low loan-to-value mortgage loans funded on or after March 20, 2020. The other existing criteria which apply for transactional mortgage insurance will remain unchanged.

Quotes
“These are extraordinary times and we are taking extraordinary measures. As a result of this measure, banks and lenders will have more liquidity—which, in turn, will enable them to work on a case by case basis with Canadian businesses and individuals who face hardship at this time. A co-ordinated approach is critical for making sure our economy remains strong and stable. The government will do whatever it takes to support Canadians and we are prepared to take further action as necessary to meet the challenges ahead.”

- Bill Morneau, Minister of Finance
Quick facts
Federal statutes require federally regulated lenders to obtain mortgage default insurance (“mortgage insurance”) for homebuyers who make a down payment of less than 20 per cent of the property purchase price, known as “high loan-to-value” or “high-ratio” insurance. Lenders also have the option to purchase mortgage insurance for homebuyers who make a down payment of at least 20 per cent of the property purchase price, known as “low-ratio” insurance because the loan amounts are generally low in relation to the value of the home. 


Under the IMPP, CMHC will purchase insured mortgages in the form of National Housing Act Mortgage-Backed Securities—a securitization product that pools insured mortgages for resale as marketable securities.",
71,2020-03-20,,Canada,All,,U.S.-Canada land border closed to all non-essential travel,Border closure,General,Refusal of Entry,S7 International travel controls,,,3.0,,,,,,https://globalnews.ca/news/6711194/canada-us-border-closes/,Global News,,Accredited News Agency,Canada-U.S. land border closes to all non-essential travel,"The land border between Canada and the U.S. closed to all 
non-essential travel at midnight Friday in an effort to stem the spread 
of the novel coronavirus.The
 border remains open for essential travel, which includes the 
transportation of goods and travel for work, in order to not hamper 
trade and the supply chains between the two countries.                
                
                        READ MORE:                         
                                Canada-U.S. border closure amid coronavirus likely to start Friday night                        
                
                
        “This is a global pandemic, so we need to act with agility and
 alacrity,” Deputy Prime Minister Chrystia Freeland said in a news 
conference Friday.“I think people will agree: better to act with 
speed than to wait for the perfection, which could mean that our 
country’s response to this pandemic could be delayed — with truly fatal 
consequences.”                [ Sign up for our Health IQ newsletter for the latest coronavirus updates ]
                Freeland said that officials are taking a “negative-list approach” 
in deciding who can cross the border, meaning they are highlighting who 
shouldn’t be allowed, such as tourists or those travelling for pleasure,
 rather than who should.        
                
        
                                                                                                    
                                
                                        
                                                
                                                                                                
                                                        
                                                                                                                                
                                                                
                                                        
                                                        
                                                                                                                                        1:14
                                                                                                                                                                                                        Coronavirus outbreak: Border restrictions roll out in St. Stephen, N.B.
                                                                                                                        
                                                
                                                                                        
                                
                        
                                        
                                Coronavirus outbreak: Border restrictions roll out in St. Stephen, N.B.
                        
                                                        Freeland noted that those who require crossing the 
border to live their daily lives, such as to shop for groceries, will 
not be affected.She also said students who hold valid visas, 
temporary foreign workers and anyone with valid work responsibilities 
will be allowed to cross as well.                                                                    
                                
                                        
                                                
                                                                                                
                                                        
                                                                                                                                
                                                                
                                                        
                                                        
                                                                                                                                        0:42
                                                                                                                                                                                                        Coronavirus outbreak: Trudeau says irregular migrants will be turned away at Canada-U.S. border
                                                                                                                        
                                                
                                                                                        
                                
                        
                                        
                                Coronavirus outbreak: Trudeau says irregular migrants will be turned away at Canada-U.S. border
                        
                                                        The decision to restrict the border was announced on 
Wednesday and came out of a need to follow public health advice, 
according to Prime Minister Justin Trudeau.U.S. Secretary of 
State Mike Pompeo said the border restrictions will be in place for 30 
days, but may change depending on the state of the pandemic. Flights 
between Canada and the U.S. will still continue.                
                
                        READ MORE:                         
                                Coronavirus: Trudeau says irregular migrants will be turned away at Canada-U.S. border                        
                
                
        The border closure will also apply to irregular migrants 
crossing the border by foot at informal crossings, Trudeau said Friday, 
due to concern over screening the migrants for COVID-19.                                                                    
                                
                                        
                                                
                                                                                                
                                                        
                                                                                                                                
                                                                
                                                        
                                                        
                                                                                                                                        1:18
                                                                                                                                                                                                        U.S. restricts travel across northern, southern borders
                                                                                                                        
                                                
                                                                                        
                                
                        
                                        
                                U.S. restricts travel across northern, southern borders
                        
                                                        Cases of COVID-19 surpassed 1,000 in Canada on Friday 
while the U.S. is close to 20,000 total cases. There are now over 
275,000 cases worldwide and have been over 10,000 deaths.— With files from the Canadian Press, Andrew Russell and Rachael D’Amore",
