date,region,Government response index,Containment and health index,Stringency index,Economic support index
01/07,Ontario,0,0,0,0
01/08,Ontario,0,0,0,0
01/09,Ontario,0,0,0,0
01/10,Ontario,0,0,0,0
01/11,Ontario,0,0,0,0
01/12,Ontario,0,0,0,0
01/13,Ontario,0,0,0,0
01/14,Ontario,0,0,0,0
01/15,Ontario,0,0,0,0
01/16,Ontario,0,0,0,0
01/17,Ontario,0,0,0,0
01/18,Ontario,0,0,0,0
01/19,Ontario,0,0,0,0
01/20,Ontario,0,0,0,0
01/21,Ontario,0,0,0,0
01/22,Ontario,0,0,0,0
01/23,Ontario,0,0,0,0
01/24,Ontario,1,2,2,0
01/25,Ontario,1,2,2,0
01/26,Ontario,3,4,5,0
01/27,Ontario,3,4,5,0
01/28,Ontario,3,4,5,0
01/29,Ontario,3,4,5,0
01/30,Ontario,3,4,5,0
01/31,Ontario,3,4,5,0
02/01,Ontario,3,4,5,0
02/02,Ontario,3,4,5,0
02/03,Ontario,3,4,5,0
02/04,Ontario,3,4,5,0
02/05,Ontario,3,4,5,0
02/06,Ontario,3,4,5,0
02/07,Ontario,3,4,5,0
02/08,Ontario,3,4,5,0
02/09,Ontario,3,4,5,0
02/10,Ontario,3,4,5,0
02/11,Ontario,3,4,5,0
02/12,Ontario,3,4,5,0
02/13,Ontario,3,4,5,0
02/14,Ontario,3,4,5,0
02/15,Ontario,3,4,5,0
02/16,Ontario,3,4,5,0
02/17,Ontario,3,4,5,0
02/18,Ontario,3,4,5,0
02/19,Ontario,3,4,5,0
02/20,Ontario,3,4,5,0
02/21,Ontario,3,4,5,0
02/22,Ontario,3,4,5,0
02/23,Ontario,3,4,5,0
02/24,Ontario,3,4,5,0
02/25,Ontario,3,4,5,0
02/26,Ontario,3,4,5,0
02/27,Ontario,3,4,5,0
02/28,Ontario,3,4,5,0
02/29,Ontario,3,4,5,0
03/01,Ontario,3,4,5,0
03/02,Ontario,3,4,5,0
03/03,Ontario,3,4,5,0
03/04,Ontario,3,4,5,0
03/05,Ontario,3,4,5,0
03/06,Ontario,3,4,5,0
03/07,Ontario,3,4,5,0
03/08,Ontario,3,4,5,0
03/09,Ontario,3,4,5,0
03/10,Ontario,3,4,5,0
03/11,Ontario,5,6,8,0
03/12,Ontario,15,18,11,0
03/13,Ontario,27,32,28,0
