,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-07-16 07:30:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020FLNR0041-001292,Government Website,"First Nations’ forestry projects generate jobs, green energy","

Forest Enhancement Society of BC (FESBC) grants are supporting the Williams Lake First Nation (WLFN) as it creates jobs, fights climate change and reduces wildfire risk near its community.To date, grants have supported the removal of 64,000 cubic metres of slash (debris from forest fires) and over the next two years, the total will reach 200,000 cubic metres.The ongoing project is also creating an estimated 26 jobs for both the WLFN and the Tŝideldel First Nation (TFN), which has partnered to grind the debris on site and ship it to local markets.“The WLFN have partnered with the TFN on this unique ongoing project that is seeing slash piles turned into biomass fuel instead of burning them,” said Doug Donaldson, Minister of Forests, Lands, Natural Resource Operations and Rural Development. “This green-energy project is reducing greenhouse gas emissions and building new economic opportunities for both communities while contributing to B.C.’s clean energy plan.”Three FESBC grants between 2017 and 2019, totalling more than $3 million, allowed WLFN to develop an ongoing program and enabled it to build several partnerships to grind the debris at site and truck it to local markets. One of the most significant partnerships was with the TFN contractor, Tsi Del Biomass Ltd., which brought logging and grinding experience to the project.Typically, slash from wildfire salvage logging is piled and burned at site because transportation is cost prohibitive. Burning slash piles increases smoke in local airsheds and increases greenhouse gas emissions.“Tsi Del Del has really appreciated the opportunity to collaborate with Williams Lake First Nation on grinding and trucking more than 1,000 piles to customers in our local fibre basket,” said Percy Guichon, director, Tsi Del Del Enterprises Ltd., and Tŝideldel First Nation councillor. “Working together on a business basis has resulted in benefits for both communities and created employment opportunities while making products from this biomass.”High-quality slash fibre from the projects will be used by Pinnacle Renewable Energy to make industrial wood pellets, which are used by large-scale thermal power generators as a greener alternative to produce power. Lower-quality slash fibre will be turned into “hog” fuel to be used by Atlantic Power Corporation’s biomass-fired generating facility located in Williams Lake, to provide thermal electricity for the community’s energy grid.“WLFN continues to seek out partners either in the local, provincial and federal capacities who will assist and build upon WLFN environmental goals and objectives,” said Chief Willie Sellars of the WLFN. “The FESBC funding has been crucial in assisting the shared mandate of reducing these outdated burning programs. FESBC funding allows First Nation communities such as WLFN of the Secwepemc and Tŝideldel of the Tsilhqot'in National Government, two Nations that have historically not worked together, an opportunity that will benefit both Nations and each of their companies.”Ongoing operations over the next two years will continue to support recovery of logging debris from wildfire risk reduction projects and will generate fibre to sell in the Williams Lake market.The projects were funded through FESBC grants supported by the provincial government and the Government of Canada.Quotes:Ken Day, consulting forester, KDay Forestry Ltd. –“On average, biomass costs more to produce than what the market will pay. There are two markets in Williams Lake who can use the fibre — Pinnacle Renewable Energy and Atlantic Power. We also wanted to avoid burning the debris and creating smoke in the air, which would have been hard on the community. Not removing the piles of debris could contribute to a very intense fire — obviously undesirable adjacent to the community. Without funding from FESBC to make up the shortfall, this important project would not have gone ahead.”Dave Conly, operations manager, FESBC –“This project is based on community interest in avoiding burning the thousands of piles of wood waste resulting from salvage harvesting done in the 2017 fire areas. The parties came together and created fantastic results over the course of two years. I was extremely impressed by the collaboration and partnerships developed.”Learn More:For more information about the Forest Enhancement Society of BC, visit: https://www.fesbc.ca

 
"
1,2020-07-16 07:00:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020TRAN0108-001287,Government Website,Highway 16 resurfacing to enhance safety for travellers,"

This summer, a nearly 19-kilometre section of Highway 16 will be resurfaced, making the drive safer and smoother for travellers.The $1.2-million project will sealcoat Highway 16, starting at Engen, running east and ending in the west end of Vanderhoof.Highway 16 is a vital transportation corridor between Prince Rupert and the Alberta border.Sealcoating is a common type of road resurfacing done on B.C. highways, involving the application of a special mixture to the road that protects the road base from additional wear and tear. When it is applied over existing pavement, sealcoating is a cost-effective way of resurfacing that extends the life of a road by sealing out moisture. It also provides a skid-resistant, anti-glare surface during wet weather.The ministry is working closely with the contactor, O.K. Industries Ltd. of Vancouver Island, and WorkSafeBC to ensure health and safety are maintained for all workers on site.Provincial construction sites have protocols and policies in place following the requirements of the provincial health officer to help prevent the spread of COVID-19. These measures include physical distancing and other protocols to ensure worker and public safety.Once the project begins, drivers can expect minor delays and, at times, single alternating-lane traffic over the course of work, which is expected to last a week.The ministry appreciates people’s patience during this resurfacing work. Drivers are reminded to obey construction-zone speed limits and directions from traffic control personnel.Learn More:For active highway and infrastructure projects in northern B.C., visit: https://news.gov.bc.ca/17700For information on resurfacing methods, visit:
https://www.tranbc.ca/2012/08/01/smooth-move-3-common-ways-to-resurface-b-c-highways/For the most up-to-date highway travel information, check: www.DriveBC.ca
Or follow @DriveBC on Twitter.For travel precautions due to COVID-19, visit: http://ow.ly/jBGu50yVMRO

 
"
2,2020-07-15 15:55:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020HLTH0223-001299,Government Website,"Joint statement on B.C.'s COVID-19 response, latest updates","

Adrian Dix, Minister of Health, and Dr. Bonnie Henry, B.C.'s provincial health officer, have issued the following joint statement regarding updates on the novel coronavirus (COVID-19) response in British Columbia:""Today, we are announcing 21 new cases, including two epi-linked cases for a total of 3,149 cases in British Columbia.""There are 207 active cases of COVID-19 in the province and 2,753 people who tested positive have recovered.""Of the total COVID-19 cases, 14 individuals are hospitalized, five of whom are in intensive care. The remaining people with COVID-19 are recovering at home in self-isolation.""Since the start of the pandemic, there have been 1,023 cases of COVID-19 in the Vancouver Coastal Health region, 1,659 in the Fraser Health region, 135 in the Island Health region, 216 in the Interior Health region, 65 in the Northern Health region and 51 cases of people who reside outside of Canada.""There have been no new COVID-19 related deaths, for a total of 189 deaths in British Columbia. We offer our condolences to everyone who has lost their loved ones during the COVID-19 pandemic.""There have been no new health-care facility outbreaks. In total, two long-term care or assisted-living facilities and one acute-care facility have active outbreaks.""There is one active community outbreak, in addition to several community exposure events.“We are concerned about the increase in new cases in recent days as COVID-19 continues to silently circulate in our communities.“While early on, many of our long-term care and assisted living facilities were impacted, most of the new cases are in the broader community.“Here in British Columbia, as we spend more time with others, we need to find our balance with COVID-19. We need to minimize the number of cases, manage new cases as they emerge and modify our activities accordingly.“To do this, we all have to do our part by continuing to use our layers of protection and following our rules for safe social interactions.“No one wants to get sick with COVID-19, nor do we want to inadvertently pass it onto others. While the symptoms can be mild, it is a complex illness that has serious consequences.“Let’s enjoy the summer safely and continue to do all we can to protect our neighbours, our friends and our loved ones.”Quick Facts:Assisted living, long-term care homes and seniors' rental buildings with ongoing COVID-19 outbreaks are as follows:Vancouver Coastal Health:
Holy Family Hospital long-term care facility
Fraser Health:
Maple Hill long-term care facility
Learn More:For more information about BC's Restart Plan, visit: www.gov.bc.ca/restartbcFor B.C.'s surgical renewal plan, visit:
https://www2.gov.bc.ca/gov/content/health/conducting-health-research-evaluation/reports-publicationsFor mental health and anxiety support, visit: www.bouncebackbc.ca
Or: www.anxietycanada.comFor the latest medical updates, including case counts, prevention, risks and testing, visit: http://www.bccdc.ca/
Or follow @CDCofBC on Twitter.For non-health related information, including financial, child care and education supports,  travel, transportation and essential service information, visit: www.gov.bc.ca/covid19
Or call 1 888 COVID19 (1 888 268-4319) between 7:30 a.m. and 8 p.m. (Pacific time), seven days a week.For the latest videos and livestreaming of COVID-19 media availabilities, visit:
Facebook: www.facebook.com/BCProvincialGovernment/
Twitter: https://twitter.com/BCGovNews
YouTube: www.youtube.com/ProvinceofBC

 
"
3,2020-07-15 15:45:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020AEST0038-001289,Government Website,New supports for post-secondary students this fall,"

Applications for StudentAid BC, along with the new non-repayable B.C. Access Grant, are now open.This up-front grant, along with new funding for students with disabilities, expanded open education resources and online support through BCcampus, will open doors for students to return to school and earn the college or university credential of their choice.   “Whether you’re a high school grad, a current student or are returning for new skills and training, these new government supports mean the doors are wide open for you to get a post-secondary credential and pursue your dreams,” said Melanie Mark, Minister of Advanced Education, Skills and Training. “Our government is absolutely committed to making life more affordable for all British Columbians. Our investments in post-secondary education empowers students and helps communities get back on their feet and be part of B.C.’s economic recovery.”Every student who applies for StudentAid BC will now be automatically assessed for the new B.C. Access Grant. Announced in Budget 2020, the B.C. Access Grant will break down barriers and enable over 40,000 low- and middle-income students, or about twice as many students as supported under previous grants, to access more affordable public post-secondary education. These students will receive up to $4,000 a year to help with the up-front cost of programs leading to a certificate, diploma or degree.Mark also announced new investments totalling $2.175 million to better support post-secondary students and faculty. The funding includes $1.5 million to be shared by 20 public post-secondary institutions throughout B.C. and will be used to develop or build upon supports for students with cognitive, mental health or physical disabilities to create the conditions they need to succeed.Government is also providing $275,000 to BCcampus to develop online resources and tools for students, staff and faculty to help them navigate a range of topics on well-being, which are needed now more than ever. Resources include a website, videos and webinars on topics such as adapting to online learning, building resilience, stress management and understanding financial supports.BCcampus began running the webinars in April 2020. They will run regularly into 2021, with dedicated sessions planned for students, faculty and staff. Sessions are recorded, transcribed and hosted on the BCcampus website.Also this fall, students and faculty at public post-secondary institutions throughout B.C. will benefit from new OER being created and adapted. Over 310 textbooks, supplementary manuals and guides are available free through B.C.’s Open Textbook collection, which covers a wide range of subjects. These free materials have been a call to action from students and are being developed as part of government’s single largest investment ever in OER: $3 million announced in April 2019.“Especially in this time of COVID-19, tuition fees and the high cost of textbooks create barriers for students to be successful,” said Fillette Umulisa, Lansdowne campus executive, Camosun College Student Society. “The financial grants and open education resources that the B.C. government has announced today are welcome news to post-secondary students. This support is critical to providing easier access to the necessary courses and programs students require to get their credentials, achieve their career goals and contribute positively to our economy and society.”The Province is further investing $400,000 through BCcampus to create fully developed OER courses and support services for a broad range of the most popular courses. This work will better support educators with an expanded choice of free textbooks and more supports for online course delivery, benefiting both faculty and students. As more subjects are identified, additional OER will be developed. B.C.’s Labour Market Outlook predicts over the next 10 years, 861,000 jobs will need to be filled. These range from trades, technology and tourism to health care, management and business. Some level of post-secondary education or training will be required for about 80% of those job openings.Increasing the affordability of post-secondary education is a shared priority between government, the BC Green Party caucus and independent MLA Andrew Weaver, and is part of the Confidence and Supply Agreement.Quotes:Lana Popham, MLA for South Saanich –“This is excellent work that makes post-secondary education in B.C. more affordable. I’m so pleased to see more adaptable online teaching and learning resources, including textbooks and homework assignments. They are free for students to access and use.”Sherri Bell, president of Camosun College and board chair of BC Colleges –“Post-secondary education is critical to helping safely restart B.C.’s economy. The BC Access Grant is welcome news right now for students at Camosun and all colleges, particularly since many students are studying for certificates, diplomas and part time. Now is an excellent time for students to take their first steps in post-secondary education or to upgrade their technical skills, whether online or on campus, in a safe way, and Camosun College is ready.”Mary Burgess, executive director, BCcampus – “We are so glad to have such good support from government to help ensure the post-secondary students, faculty and staff of B.C. have what they need to do their best work. The BC Post-Secondary System Collaboration on Open Online Courses is a positive sign of our ability, as a system, to think holistically about the open resources we have. It’s an opportunity to pool our talents with the open-focused educators across the province to collaborate on curriculum development and build on the open ecosystem we’ve been working so hard on for so many years.”Tanysha Klassen, chairperson, BC Federation of Students – ""Now more than ever students and their families need help to afford the education they need to enter the workforce. The BC Access Grant will help students access not only four-year programs, but certificate and diploma programs that are key for the health of our economy.”Learn More:For more information on the BC Student Access Grant, visit: https://studentaidbc.ca/news/grants-scholarships/new-bc-access-grantBrowse open education resources: https://open.bccampus.ca/For further information on BCcampus’ Open Online Courses Project call for proposal, visit:
https://bccampus.ca/grants-calls-for-proposals/call-for-proposals-identification-evaluation-and-development-of-open-online-courses-and-open-education-resources/Mental health supports for the post-secondary sector:
BCcampus: https://covid19.bccampus.ca/
Here2Talk:  https://here2talk.ca/homeA backgrounder follows.

 
"
4,2020-07-15 14:30:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020EMPR0028-001294,Government Website,British Columbians have say in oil and gas wells cleanup,"

Indigenous communities, local governments and landowners can now identify specific orphan and inactive well sites for priority reclamation as part of the Province’s efforts to clean up wells in B.C. and create jobs for workers in oil and gas service companies.“We are making sure local communities’ voices are heard and they have a hand in the process,” said Bruce Ralston, Minister of Energy, Mines and Petroleum Resources. “By prioritizing the reclamation of orphan and inactive wells chosen by the public, we’re making use of local knowledge as we clean up the environment and create jobs for B.C. workers.”Specific dormant and orphan sites can be nominated by the public until Sept. 30, 2020, through an online process supported by the BC Oil and Gas Commission.In April 2020, the Government of Canada announced $120 million in funding for B.C. to support the restoration of oil and gas sites, as part of its COVID-19 industry support. To ensure this funding supports B.C. workers and companies, the Province developed three new programs:
$100 million for the Dormant Sites Reclamation Program: this program will reclaim dormant oil and gas sites, which are wells that have been inactive for five consecutive years and are unlikely to return to service. 
$15 million for the Orphan Sites Supplemental Reclamation Program: this program will reclaim orphan oil and gas sites where the operator is insolvent, no longer exists or cannot be located.
$5 million for the Legacy Sites Reclamation Program: this program will address the legacy impacts of historical oil and gas activities that continue to have environmental impacts, such as on wildlife habitat or on the traditional use by Indigenous peoples.
Wells nominated for cleanup will receive priority consideration under the second increment of $50 million that is available through the Dormant Sites Reclamation Program and as part of the $15-million Orphan Sites Supplemental Reclamation Program.These programs are open to oil and gas field service companies and contractors based in B.C., with registration, office and operations in B.C.Quotes:Chief Justin Napoleon, Saulteau First Nation - ""There are thousands of well sites on our Treaty lands that are waiting to be reclaimed and restored.  We welcome any initiative that finally starts to focus attention and resources on restoring those lands. A process for nominating sites is a start, but there is much more work to do on these issues. We look forward to working with the Province and others on programs that include Indigenous perspectives on restoration standards and Indigenous participation in restoration activities. We have experience, knowledge and skills to share and it is only by working together that we can make the dormant and orphan well site reclamation programs successful.”Dale Bumstead, mayor, Dawson Creek - “The cleanup of dormant and orphan wells in the region is a terrific initiative by the federal and provincial governments. To take on the cleanup of the environment, as well as create economic benefits to our small businesses will be a win-win for everyone.”Lori Ackerman, mayor, Fort St. John - “I appreciate that the Province acknowledges the expertise of our local companies and residents. The knowledge and expertise to prioritize and reclaim these sites is held here in northeast B.C. and should be used.”Learn More:Information on the site nomination process and how to access the nomination portal is available here: https://www2.gov.bc.ca/gov/content/industry/natural-gas-oil/responsible-oil-gas-development/dormant-sites-reclamation-program/site-nominationInformation on the Dormant Sites Reclamation Program is available here: https://www2.gov.bc.ca/gov/content/industry/natural-gas-oil/responsible-oil-gas-development/dormant-sites-reclamation-program

 
"
5,2020-07-15 09:40:00,Canada,British Columbia,,https://news.gov.bc.ca/stories/government-of-canada-supports-safer-supply-pilot-project-in-bc,Government Website,Government of Canada supports safer supply pilot project in B.C.,"

From: Health Canada (canada.ca) The opioid overdose crisis continues to be one of the most serious public health crises in Canada’s recent history. Tragically, in many communities, the COVID-19 pandemic is worsening this crisis. The Government of Canada continues to support communities across Canada as they respond to drug overdoses and harms during the pandemic.  Today, the Honourable Patty Hajdu, Minister of Health, along with the Honourable Judy Darcy, B.C. Minister of Mental Health and Addictions, and Dr. Richard Stanwick, Chief Medical Health Officer, Island Health, announced approximately $2 million in funding for a pilot project within Island Health. The innovative project will provide pharmaceutical-grade medication as an alternative to the toxic illegal drug supply for people in Cowichan Valley who have not responded to other forms of treatment for opioid use disorder.This project will allow selected patients at risk of overdose to have access to hydromorphone tablets from a licensed prescriber at the Cowichan Valley Wellness and Recovery Centre. The patients will also receive critical wrap-around services, such as peer support, medical care, mental health support and a personal support plan. This project is a four-year pilot that will provide valuable evidence to support the development of best practices for safer supply programs.Expanding access to safer supply pilot projects, such as this one, is one way Health Canada and the province are helping to save lives and improve health outcomes. The Government of Canada and British Columbia also continues to support critical harm reduction, treatment, housing and other services for people who use drugs or who are in recovery. Canada’s overdose crisis requires collaboration from all levels of government, partners, stakeholders, people with lived and living experience, and organizations in communities across the country.Quotes“It has never been more important to provide harm reduction and treatment services to people who use drugs. It is devastating to see that the pandemic has worsened the situation for Canadians struggling with substance use disorders in many parts of country, including Vancouver Island communities in British Columbia. Providing a safer alternative to street drugs will save lives and help people in Cowichan Valley access treatment and other supports.”The Honourable Patty Hajdu, Minister of Health“We know that providing safe prescription alternatives to the highly toxic and illegal drug supply is critical to stabilize people who are at great risk. We’re thrilled that this project will build on the work our government has been doing to separate people who use substances from the increasingly toxic street supply and give them the best chance to find their own pathway to healing and recovery.”The Honourable Judy Darcy, B.C. Minister of Mental Health and Addictions“This medication option will provide a life-saving alternative to the contaminated drug supply that is driving our drug poisoning crisis. The recent increase in overdose deaths in communities within Island Health shows a clear need for better access to a safer drug supply.”Dr. Richard Stanwick, Chief Medical Health Officer, Island HealthQuick facts
There is a growing number of programs now offering injectable opioid agonist treatment using opioids such as hydromorphone and diacetylmorphine, for patients where other treatment options have not worked.
Early findings from Canadian evidence has found that using pharmaceutical-grade medications, such as hydromorphone, as an alternative to highly toxic street drugs for people at risk of overdose, can help to save lives and improve health outcomes. It can also help establish an entry to care and treatment for people with substance use disorder. Some medication-assisted treatment for severe opioid use disorder have been approved and are available in Canada for use by qualified healthcare professionals. These medications include injectable hydromorphone, methadone and buprenorphine products. 
This project is part of the federal investment of $76.2 million announced in July 2019 for new measures to scale up key lifesaving measures, protect people from an illegal drug supply that contains toxic fentanyl, and address the growing methamphetamine use.
Funding for this project is provided through Health Canada’s Substance Use and Addictions Program (canada.ca)  (SUAP). SUAP provides financial support to provinces, territories, non-governmental organizations and key stakeholders for programs and initiatives that aim to prevent, treat, and reduce harm of substance use issues.
Associated links
Helping people who use substances during the COVID-19 pandemic (canada.ca) 
Government of Canada invests in new measures to address the opioid crisis and emerging drug threats (canada.ca) 
Health Canada Toolkit: COVID-19 and substance use (canada.ca) 
ContactsCole Davidson
Office of the Honourable Patty Hajdu
Minister of Health
613 957-0200Media Relations
Health Canada
613 957-2983
hc.media.sc@canada.caPublic Inquiries:
613 957-2991
1 866 225-0709Ministry of Mental Health and Addictions
250 208-8438

 
"
6,2020-07-15 06:30:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020TRAN0107-001284,Government Website,Contract awarded for Highway 14 repair work,"

The Ministry of Transportation and Infrastructure has awarded a contract to build a retaining wall along a section of Highway 14 at Parkinson Hill, just east of Port Renfrew.The retaining wall will make this section of the highway more robust and eventually allow for the return of two-way traffic.The $5.3-million contract was awarded to Jacob Bros. Construction Inc. Construction is scheduled to begin later this month, with completion slated for summer 2021.The highway was reduced to single-lane traffic in November 2018 after significant rainfall resulted in a slope failure. Building the 220-metre retaining wall is the first step to restoring two-way traffic on Highway 14, which will make travelling the road to Port Renfrew safer and more efficient for people.The work on the retaining wall will require overnight road closures. To reduce the impact on people using the highway, the ministry intends to close Highway 14 between 9 p.m. and 5 a.m. nightly, except for Saturday and Sunday nights. During these closures, accommodations will be made for emergency services access. Overnight closures will run from July to Nov. 30, 2020. The highway is expected to operate at two lanes from Dec. 1, 2020, to Jan. 31, 2021.The second step of the project is expected to start in spring 2021, and will include deep road-base repairs along a 500-metre section of Highway 14. Similar road closures will be required as these repairs are completed, with overnight closures expected between February and June 30, 2021.Further details and the final traffic management plan will be made available to the public prior to the start of construction.Provincial construction sites have protocols and policies in place, following the requirements of the provincial health officer, to help prevent the spread of COVID-19. These include reducing in-person meetings or gatherings, holding meetings outdoors and ensuring physical distancing of workers throughout the work day. These measures, along with other work protocols, such as daily cleaning and sanitizing of common areas and surfaces, will help ensure worker and public safety.For up-to-date information on road work, people are advised to check: DriveBC.ca

 
"
7,2020-07-15 06:00:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020EDUC0047-001288,Government Website,New classrooms for students at BX Elementary,"

Construction has begun to give hundreds of students in Vernon a more inspiring place to learn.“With 10 new classrooms on the way, students are one step closer to saying goodbye to portables at BX Elementary school,” said Rob Fleming, Minister of Education. “I can’t wait to see every student at BX learning in classrooms that keep them fully connected to the great school community they have in Vernon.”The Government of B.C. is providing $11.1 million for the 240-seat addition at BX Elementary, nearly doubling the size of the school. The Vernon Board of Education is contributing $425,000 toward the project, which is expected to be ready for students in September 2021.BX Elementary is currently operating at nearly 150% capacity, with many students spending their entire days in portables, and enrolment is expected to grow. Without an addition, the number of portables at the school would be expected to double in the next 10 years.The addition means that once complete, every student at BX will be learning in classrooms. There will also be additional space to accommodate new families moving to the community.“Vernon is a great place to live, and School District 22 is a great place to learn,” said Robert Lee, board chair, Vernon School District. “These classrooms will allow all students and staff to be in one building and will enhance the inclusive and collaborative learning environment at BX Elementary.”This investment is part of government’s work to build new and expanded schools in fast-growing communities throughout B.C.Quick Facts:
Budget 2020 includes a record $2.8 billion for new and improved schools for B.C. students.
Since September 2017, the Province has announced over $2 billion for school capital projects. This includes $749 million to add more than 13,000 new student seats in B.C. schools, eliminating the equivalent of about 520 portables.
Learn More:Parents and families are encouraged to access resources on the Keep Learning website that support students learning from home: https://www.openschool.bc.ca/keeplearning/

 
"
8,2020-07-14 16:50:00,Canada,British Columbia,,https://news.gov.bc.ca/releases/2020HLTH0038-001290,Government Website,"Joint statement on B.C.'s COVID-19 response, latest updates","

Adrian Dix, Minister of Health, and Dr. Bonnie Henry, B.C.’s provincial health officer, have issued the following joint statement regarding updates on the novel coronavirus (COVID-19) response in British Columbia:“Today, we are announcing 13 new cases, for a total of 3,128 cases in British Columbia.“There are 209 active cases of COVID-19 in the province and 2,730 people who tested positive have recovered.“Of the total COVID-19 cases, 14 individuals are hospitalized, five of whom are in intensive care. The remaining people with COVID-19 are recovering at home in self-isolation.“Since the start of the pandemic, there have been 1,015 cases of COVID-19 in the Vancouver Coastal Health region, 1,649 in the Fraser Health region, 135 in the Island Health region, 212 in the Interior Health region, 65 in the Northern Health region and 52 cases of people who reside outside of Canada.“There have been no new COVID-19 related deaths, for a total of 189 deaths in British Columbia. We offer our condolences to everyone who has lost their loved ones during the COVID-19 pandemic.“There have been no new health-care facility outbreaks. In total, two long-term care or assisted-living facilities and one acute-care facility have active outbreaks.“There have been no new community outbreaks and there is one active community outbreak at Krazy Cherry Farm in the Interior Health region. Other community exposure events continue to occur, with public alerts issued as required.“As evidenced by the number of new cases of COVID-19 in recent days, the potential for new COVID-19 cases goes up with every increase in our activity.“Public health teams are actively working to manage cases and clusters as they emerge and keep new cases low and slow.“The first incubation period since Canada Day is now complete, which means we must all have a heightened awareness to any symptoms and redoubling our efforts to stay safe.“We can be active and spend time with our close contacts, but we have to do that safely.“You may not know about the health concerns of your friends, but you can take precautions to protect them by remembering that no matter where you may go, you bring your risk with you and you share it with those around you.“COVID-19 symptoms can be mild, making it very easy to spread the virus to those around us. That is why it is so important to be 100% healthy before we step outside our door.“If you are not feeling well in any way, stay home and stay away from others. This is very important whether you are at home or travelling.“Let’s recommit to the basics of fewer faces, bigger spaces. As much as possible, we need to stay away from closed spaces, crowds and close contact with others. To do this, keep your group small, stay outside as much as possible and maintain a safe physical distance from everyone other than those in your bubble.“British Columbians have sacrificed much to flatten our curve. Let’s not lose sight of the effort we have all put in.“Pause, assess and take steps to address. Think about how you are feeling, be aware of the risks you are exposing yourself to and the risks you are sharing with others and importantly, use your layers of protection for yourself and those around you.“Let’s do the right thing for ourselves, our loved ones and our communities and keep our province safe.”Quick Facts:
Assisted living, long-term care homes and seniors’ rental buildings with ongoing COVID-19 outbreaks are as follows:
Vancouver Coastal Health:
Holy Family Hospital long-term care facility

Fraser Health:
Maple Hill long-term care facility


Learn More:For more information about BC’s Restart Plan, visit: www.gov.bc.ca/restartbcFor B.C.’s surgical renewal plan, visit:
https://www2.gov.bc.ca/gov/content/health/conducting-health-research-evaluation/reports-publicationsFor mental health and anxiety support, visit: www.bouncebackbc.ca
Or: www.anxietycanada.comFor the latest medical updates, including case counts, prevention, risks and testing, visit: http://www.bccdc.ca/
Or follow @CDCofBC on Twitter.For non-health related information, including financial, child care and education supports, travel, transportation and essential service information, visit: www.gov.bc.ca/covid19
Or call 1 888 COVID19 (1 888 268-4319) between 7:30 a.m. and 8 p.m. (Pacific time), seven days a week.For the latest videos and livestreaming of COVID-19 media availabilities, visit:
Facebook: https://www.facebook.com/BCProvincialGovernment
Twitter: https://twitter.com/BCGovNews 
YouTube: www.youtube.com/ProvinceofBC

 
"
9,2020-07-14 14:40:00,Canada,British Columbia,,https://news.gov.bc.ca/stories/eight-new-bcsrif-projects,Government Website,Eight new BCSRIF projects,"

From: Fisheries and Oceans Canada (canada.ca)  Eight new projects are receiving approximately $10.5M in funding through the British Columbia Salmon Restoration and Innovation Fund (BCSRIF). This brings the total number of projects funded to 38, accounting for $66.9M of $142.85M in total funding allocated. The latest projects that are receiving funding through BCSRIF include:
the Pacific Salmon Foundation will receive approximately $410,000 over three years to integrate traditional and modern technologies to automate salmon counting and species identification from video and sonar data. Connecting these tools with community-run escapement monitoring programs around the North and Central coast to inform adaptive management of salmon fisheries;
the ‘Namgis First Nation will receive approximately $1,977,000 over five years to support Phase 2 of a project to establish an independent British Columbia (BC) First Nations genomics laboratory. Project partners will equip the kł cp̓əlk̓ stim̓ laboratory to analyze samples collected through the Indigenous Monitoring and Inspection Plan (IMIP), as well as providing services to other First Nations in BC with an interest in conducting independent fish health sampling;
the Pacific Salmon Foundation will receive approximately $336,000 over one year to support upgrades to the Percy Walkus Hatchery in Rivers Inlet, which provides local capacity to enhance three local Chinook salmon stocks of significant cultural and economic significance;
the Nuu-chah-nulth Tribal Council will receive approximately $390,000 over four years to undertake an evaluation of spatial and in-season management options for associated food, social, and ceremonial (FSC), and commercial herring fisheries to ensure the sustainability of these fisheries on the West coast of Vancouver Island;
the University of BC will receive approximately $1,829,000 over four years to provide a BC-based solution for growing larger, more physiologically robust Atlantic salmon smolts in freshwater recirculating aquaculture systems (RAS). This project will help to improve both the sustainability and productivity of BC’s aquaculture industry by increasing the amount of time farmed salmon are reared in land-based RAS and reducing the amount of time farmed Atlantic salmon spend in marine net-pens;
the Lower Fraser Fisheries Alliance Society will receive approximately $679,000 over four years to contribute to an improved understanding of stock status and trends through the development of passive integrated transponder tag mark-recapture techniques for hatchery Coho salmon in the Chilliwack River during spawning migration. The infrastructure developed for this project will be used to inform future work on stock level studies of Fraser salmon;
the Pacific Salmon Foundation will receive approximately $4,619,000 over four years to develop the monitoring and evaluation framework to determine survival bottlenecks in freshwater and marine environments for hatchery and wild Chinook, Coho, and Steelhead; and,
the Spruce City Wildlife Association will receive approximately $240,000 over two years to support infrastructure upgrades to its conservation hatchery to improve biosecurity and enhance production at the facility to support the restoration and rebuilding of Upper and Middle Fraser Chinook stocks.
BCSRIF will be accepting new applications for funding from July 15 to September 15, 2020. Funding is available for projects that meet the eligibility and assessment criteria in BC. Priorities for the fund in 2020 are:
research to refine the scientific understanding of Fraser Steelhead, Chinook, and Coho through science collaborations and the incorporation of Indigenous knowledge;
habitat restoration projects that target red status conservation units or COSEWIC-listed populations;
innovative processes and technologies to increase the quality and value of BC fish and seafood products and optimize fishing operations;
projects to advance selective fishing practices aimed at minimizing bycatch of species of concern;
new aquaculture technologies and processes to improve environmental performance and increase supply chain transparency; and,
infrastructure upgrades or improvements to existing hatcheries.
Further information on the application process, timelines and program criteria are available on the BCSRIF website: www.bcsrif.ca

 
"
