,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-09-20,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49257&posted=2020-09-20,Government Website,COVID-19 Bulletin #195,"       Français  September 20, 2020 COVID-19 BULLETIN #195    	Public health officials advise the current five-day COVID-19 test positivity rate is 1.9 per cent and 29 new cases of the virus have been identified as of 9:30 a.m. today.    	    	However, a case previously reported on Sept. 19 was removed from the case totals. This means the total net new cases today is 28, bringing the number of cases in Manitoba to 1,586.    	    	The data shows:   	• two cases in the Interlake–Eastern health region;   	• three cases in the Prairie Mountain Health region;   	• one case in the Southern Health–Santé Sud; and   	• 23 cases in the Winnipeg health region.   	    	The data also shows:   	• 354 active cases and 1,216 individuals have recovered from COVID-19;    	• there are 11 people in hospital and three people in intensive care; and   	• the number of deaths due to COVID-19 is 16.    	    	Case investigations continue and if a public health risk is identified, the public will be notified. Preliminary laboratory testing numbers show 1,216 on Saturday, bringing the total number of lab tests completed since early February to 164,177.    	    	Public health officials have sent a letter to parents about a possible exposure to COVID-19 at the Munroe Early Childhood Education Centre Preschool at 505 Chalmers Ave. in Winnipeg on Sept. 14 in the morning and afternoon. Based on the public health investigation, close contacts have been identified and contacted directly with public health officials with advice to self-isolate (quarantine).    	    	The centre is working closely with public health officials and following their recommendations. The centre has closed off areas used by the infected person and will not use these areas until after cleaning and disinfection have occurred. The centre will remain open to all other children and staff, who can continue to attend the centre in person.   	    	Public Health is also advising of possible exposures to COVID-19 at the following sites on the dates and times listed below.    	• Café La Scala at 725 Corydon Ave. in Winnipeg on Friday, Sept. 11 from 10 p.m. to 3 a.m. and Saturday, Sept. 12 from 10 p.m. to 2:30 a.m. Public health officials advise the restaurant has been closed while case investigations are underway.   	• The Local Public Eatery at 274 Garry St. in Winnipeg on Friday, Sept. 11 and Saturday, Sept. 12. The restaurant had been closed while public health investigations were underway, but has since reopened.   	• XXI Lounge at 1011 Pembina Hwy. in Winnipeg on Friday, Sept. 11 from 10 p.m. to 2:30 a.m., Saturday, Sept. 12 from 10 p.m. to 2:30 a.m. and Sunday, Sept. 13 from 10 p.m. to 2:30 a.m. The site had been closed while public health investigations were underway, but has since reopened.   	• Winnipeg Transit, John Pritchard School Route S412 on Monday, Sept. 14 and Tuesday, Sept. 15 from Headmaster/Mildred to John Pritchard School from approximately 8:15 a.m. to 8:40 a.m. and from John Pritchard School to Headmaster/Mildred from approximately 3 p.m. to 3:25 p.m.   	    	There has been a concerning increase in the number of cases in Winnipeg, with many cases having large numbers of close contacts. Recent success in the Prairie Mountain Health region shows that focusing on the fundamentals can reduce the transmission of COVID-19. The chief provincial public health officer strongly encourages residents of and visitors to Winnipeg to focus on these fundamentals to help stop the spread of COVID-19.    	    	People must stay home if sick. Wash/sanitize your hands, cover your cough and physically distance when you are with people outside your household. If you cannot physically distance, you should wear a mask to help reduce your risk. Reduce the number of close contacts outside your household, and avoid closed-in or crowded spaces.    	    	Unless recommended by public health officials, only individuals experiencing COVID-19 symptoms should go for testing. Individuals with symptoms are asked to seek testing as soon as possible once symptoms are present. Employers are asked to only send employees for testing if they have symptoms or if testing has been recommended by public health officials.    	    	The online assessment tool can be found at https://sharedhealthmb.ca/covid19/screening-tool/and COVID-19 symptoms can be found at www.gov.mb.ca/covid19/updates/about.html#collapse4.   	    	For up-to-date information on COVID-19 in Manitoba, visit www.manitoba.ca/COVID19.   	    	- 30 -    	   "
1,2020-09-19,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49237&posted=2020-09-19,Government Website,COVID-19 Bulletin #194,"       Français  September 19, 2020 COVID-19 BULLETIN #194    	Public health officials advise the current five-day COVID-19 test positivity rate is 1.6 per cent and 18 new cases of the virus have been identified as of 9:30 a.m. today, bringing the number of cases in Manitoba to 1,558.    	    	The data shows:   	• three cases in the Prairie Mountain Health region;   	• two cases in the Southern Health–Santé Sud; and   	• 13 cases in the Winnipeg health region.   	    	The data also shows:   	• 331 active cases and 1,211 individuals have recovered from COVID-19;    	• there are 10 people in hospital and three people in intensive care; and   	• the number of deaths due to COVID-19 is 16.    	    	Case investigations continue and if a public health risk is identified, the public will be notified. Preliminary laboratory testing numbers show 1,488 on Friday, bringing the total number of lab tests completed since early February to 162,961.    	    	A letter to parents has been sent to parents about a possible exposure to COVID-19 at Gordon Bell High School at 3 Borrowman Pl. in Winnipeg on Sept. 17 in the morning and afternoon. Based on the Public Health investigation, this exposure was assessed to be low risk. At this time, no close contacts have been identified at Gordon Bell. No one is required to self-isolate from this exposure. The infection was not acquired at school.   	    	The school is working closely with public health officials and following their recommendations. The school has closed off areas used by the infected person and will not use these areas until after cleaning and disinfection have occurred.   	    	There has been a concerning increase in the number of cases in Winnipeg. Recent success in the Prairie Mountain Health region shows that focusing on the fundamentals can reduce the transmission of COVID-19. The chief provincial public health officer strongly encourages residents of and visitors to Winnipeg to focus on the fundamentals to help stop the spread of COVID-19.    	    	People must stay home if sick, wash/sanitize their hands, cover their cough and physically distance when they are with people outside their household. If you cannot physically distance, wear a mask. Be sure to avoid closed-in or crowded spaces, and close contact with those outside your household.    	    	Unless recommended by public health officials, only individuals experiencing COVID-19 symptoms should go for testing. Individuals with symptoms are asked to seek testing as soon as possible once symptoms are present. Employers are asked to only send employees for testing if they have symptoms or if testing has been recommended by public health officials.    	    	The online assessment tool can be found at https://sharedhealthmb.ca/covid19/screening-tool/and COVID-19 symptoms can be found at www.gov.mb.ca/covid19/updates/about.html#collapse4.   	    	For up-to-date information on COVID-19 in Manitoba, visit www.manitoba.ca/COVID19   	    	- 30 -   "
2,2020-09-18,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49234&posted=2020-09-18,Government Website,COVID-19 Bulletin #193,"       Français  September 18, 2020 COVID-19 BULLETIN #193    	Public health officials advise the current five-day COVID-19 test positivity rate is 1.7 per cent and 40 new cases of the virus have been identified as of 9:30 a.m. today, bringing the number of cases in Manitoba to 1,540.    	    	The data shows:   	• four cases in the Prairie Mountain Health region;   	• four cases in Interlake–Eastern region;   	• three cases in the Southern Health–Santé Sud; and   	• 29 cases in the Winnipeg health region.   	    	The data also shows:   	• 325 active cases and 1,199 individuals have recovered from COVID-19;    	• there are 11 people in hospital and three people in intensive care; and   	• the number of deaths due to COVID-19 is 16.    	    	Case investigations continue and if a public health risk is identified, the public will be notified. Preliminary laboratory testing numbers show 1,358 on Thursday, bringing the total number of lab tests completed since early February to 161,473.    	    	There has been a concerning increase in the number of cases in Winnipeg. Recent success in Prairie Mountain Health shows that focusing on the fundamentals can reduce the transmission of COVID-19. The chief provincial public health officer strongly encourages residents and visitors to Winnipeg focus on the fundamentals to help stop the spread of COVID-19.    	    	As the weekend begins, it is imperative to stay home if you are sick, wash/sanitize your hands, cover your cough and physically distance when you are with people outside your household. If you cannot physically distance, wear a mask. Be sure to avoid closed-in or crowded spaces, and close contact with those outside your household.    	    	Starting today, Donwood Group Elderly Persons Housing will be lowered to the COVID-19 Caution (Yellow) level according to the #RestartMB Pandemic Response System. This is in response to an improved situation at the facility. Visitor restrictions have been removed.    	    	The public is reminded that wearing a non-medical mask is mandatory when entering Prairie Mountain Health region health-care facilities. Public health officials continue to monitor all the regions with increased cases closely to determine if additional restrictions are necessary.    	    	Unless recommended by Public Health, only individuals experiencing COVID-19 symptoms should go for testing. Individuals with symptoms are asked to seek testing as soon as possible once symptoms are present. Employers are asked to only send employees for testing if they have symptoms or if testing has been recommended by public health officials.    	    	The online assessment tool can be found at https://sharedhealthmb.ca/covid19/screening-tool/ and COVID-19 symptoms can be found at www.gov.mb.ca/covid19/updates/about.html#collapse4.   	    	For up-to-date information on COVID-19 in Manitoba, visit www.manitoba.ca/COVID19.   	    	- 30 -  "
3,2020-09-18,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49232&posted=2020-09-18,Government Website,Manitobans Reminded Minimum Wage Will Increase Oct. 1,"       Français  September 18, 2020 MANITOBANS REMINDED MINIMUM WAGE WILL INCREASE OCT. 1    	Manitoba Finance reminds Manitobans the minimum wage will increase by 25 cents to $11.90 Oct. 1.   	    	The increase of 25 cents per hour will raise the current minimum wage to $11.90 from $11.65. This adjustment is based on Manitoba’s 2019 inflation rate of 2.2 per cent, rounding up to the nearest five cents.   	    	Budget 2019 implemented the reduction of the sales tax rate to seven per cent from eight per cent, effective July 1, 2019.  This broad-based tax cut benefits all Manitoba families and businesses, with an estimated total savings of $325 million in the first full year and growing in each subsequent year.  On July 1, 2020, Manitoba eliminated the sales tax on property insurance premiums, saving families and businesses an additional $75 million.   	    	Manitobans also continue to benefit from the indexation of the Basic Personal Amount and the provincial income tax brackets since 2017. Since indexation began, an estimated 7,720 Manitobans have been removed from the tax rolls and the cumulative maximum tax savings from the 2017 tax year to 2019 tax year is $253.     	    	Information on the minimum wage and other employment standards is available at www.gov.mb.ca/labour/standards.   	    	- 30 -   	   "
4,2020-09-17,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49231&posted=2020-09-17,Government Website,COVID-19 Bulletin #192,"       Français  September 17, 2020 COVID-19 BULLETIN #192    	Public health officials advise the current five-day COVID-19 test positivity rate is 1.7 per cent and 11 new cases of the virus have been identified as of 9:30 a.m. today, bringing the number of cases in Manitoba to 1,500.    	    	The data shows:   	• one case in the Prairie Mountain Health region;   	• two cases in the Southern Health–Santé Sud; and   	• eight cases in the Winnipeg health region.   	    	The data also shows:   	• 293 active cases and 1,191 individuals have recovered from COVID-19;    	• there are 10 people in hospital and two people in intensive care; and   	• the number of deaths due to COVID-19 is 16.    	    	Preliminary investigation indicates that none of today’s Winnipeg cases are linked to John Pritchard School. Case investigations continue and if a public health risk is identified, the public will be notified.    	    	Preliminary laboratory testing numbers show 1,403 on Wednesday, bringing the total number of lab tests completed since early February to 160,109. As testing site locations may change in response to changes in testing volumes, Manitobans are reminded to refer to the list of current testing sites and hours of operation before leaving home. Information can be found at www.gov.mb.ca/covid19/updates/testing.html.   	    	Starting Friday, Sept. 18, the Prairie Mountain Health region will be lowered to the COVID-19 caution level (yellow), according to the #RestartMB Pandemic Response System. This is in response to an improved situation in the region.    	    	Masks are strongly recommended but not required and public gatherings will be limited to 50 people indoors and 100 people outdoors. Public health officials continue to monitor all the regions with increased cases closely to determine if additional restrictions are necessary.   	    	Public health officials strongly encourage all Manitobans to focus on the fundamentals to help stop the spread of COVID-19. This means staying home if you are sick, washing/sanitizing your hands, covering your cough and physically distancing when you are with people outside your household.    	    	If you cannot physically distance, wear a mask. Wearing a reusable non-medical mask does not protect the person wearing the mask, but may help protect the people around them. For a mask to be effective, it must be worn properly or it will not prevent the spread of COVID-19. Helpful guidance on wearing a mask can be found at www.gov.mb.ca/covid19/updates/prepareandprevent.html#collapse3.   	    	Unless recommended by Public Health, only individuals experiencing COVID-19 symptoms should go for testing. Individuals with symptoms are asked to seek testing as soon as possible once symptoms are present. Employers are asked to only send employees for testing if they have symptoms or if testing has been recommended by public health officials.    	    	The online assessment tool can be found at https://sharedhealthmb.ca/covid19/screening-tool/ and COVID-19 symptoms can be found at www.gov.mb.ca/covid19/updates/about.html#collapse4.   	    	For up-to-date information on COVID-19 in Manitoba, visit www.manitoba.ca/COVID19.   	    	- 30 -   	   "
5,2020-09-17,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49230&posted=2020-09-17,Government Website,Province Invests $1.5 Million to Support Homeless Shelters as Part of COVID-19 Response,"       Français  September 17, 2020 PROVINCE INVESTS $1.5 MILLION TO SUPPORT HOMELESS SHELTERS AS PART OF COVID-19 RESPONSE    	The Manitoba government is investing an additional $1.5 million to support the ongoing and expanded needs of homeless shelters serving some of the province’s most vulnerable people throughout the COVID-19 pandemic, Families Minister Heather Stefanson announced today.   	    	“Our government continues to invest in supports for vulnerable Manitobans throughout this pandemic, and this investment will help ensure a safe space is available to people who need it, especially in the coming winter months,” said Stefanson. “We are pleased to continue our partnership with these important organizations, which have been providing safe, compassionate and much-needed supports and resources during this unprecedented time.”    	    	This new funding will help ensure shelters in Winnipeg can continue to meet the needs of clients over the winter while responding to the challenges caused by the pandemic. The funding includes:   	• $726,000 for the continued operation of an isolation space on Sargent Avenue provided by Manitoba Housing, for individuals who have or are suspected to have COVID-19;   	• $54,000 for a daytime drop-in program at Main Street Project (MSP) intended to support individuals who want to find more stable housing;   	• $228,114 for 50 overnight shelter beds at MSP;   	• $150,000 to continue to support 50 overnight shelter beds at Siloam Mission; and    	• $360,000 for the ongoing operations of Salvation Army, which continues to experience pandemic-related financial challenges.   	    	The new drop-in program has been developed by MSP based on its experiences with clients earlier in the pandemic response. It is intended to provide more meaningful, supportive conversations with clients to help them move toward more stable housing, addictions treatment or other community-based services.   	    	“In such uncertain times, this funding will allow us to keep beds open in our new Buhler Centre shelter expansion and ensure safe nights for those who have nowhere else to go,” said Jim Bell, CEO, Siloam Mission. “We are so thankful to the Province of Manitoba for this additional investment and for caring for those in need.”   	    	In June, the province announced a $5-million investment in Winnipeg’s Downtown Safety Partnership (DSP), which includes an extension of outreach in the downtown area to 24-7, new community service teams and a 24-7 Downtown Safety Communications Centre. In the coming months, the province will add new accountability measures to all of the homeless shelter Service Purchase Agreements to ensure collaboration with the DSP.   	    	“Our government is committed to making downtown Winnipeg safer and our homeless shelters are a big part of that,” said Stefanson. “Greater collaboration with the Downtown Safety Partnership will help ensure that at-risk people get the supports they need while protecting all Manitobans from crime in the downtown.”   	    	The minister noted today’s investment builds on funding that was announced in April to help homeless shelters respond to the COVID-19 pandemic. In addition to today’s announcement, more than $1.9 million has been allocated to MSP, Siloam Mission, Salvation Army, Resource Assistance for Youth and Samaritan House in Brandon to support individuals experiencing homelessness.    	    	For more information on COVID-19 in Manitoba, visit www.manitoba.ca/covid19.    	    	- 30 -   	   "
6,2020-09-16,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49229&posted=2020-09-16,Government Website,Province Reports Largest-Ever Seizure of Contraband Cigarettes Brought Into Manitoba,"       Français  September 16, 2020 PROVINCE REPORTS LARGEST-EVER SEIZURE OF CONTRABAND CIGARETTES BROUGHT INTO MANITOBA    	Manitoba Finance Taxation Special Investigations Unit, in a joint operation with the Brandon Police Major Crimes Section and the Ontario Ministry of Finance Investigations, has made the largest-ever seizure of contraband cigarettes brought into the province. The operation seized 360 cases, the equivalent to 3,570,400 contraband cigarettes.   	    	The seizure took place Sept. 9 in Brandon and resulted in the arrest of four males, all residents of Brandon, ranging in ages from 46 to 60 years old. The cigarettes came from an Ontario First Nation community.   	    	Had these cigarettes been sold, the Manitoba government stood to lose $1,071,120 in tax revenue.   	    	The individuals will face charges under The Tobacco Tax Act and The Tax Administration and Miscellaneous Taxes Act. For a first-time offence under the provincial tax acts, the individuals face fines between $1,000 and $10,000 and/or up to six months imprisonment if convicted. In addition, the individuals may face a triple tax penalty of $3,213,360 and a loss of assets to the Criminal Forfeiture Unit. The accused will also face charges under the Criminal Code of Canada.   	    	The province urges anyone who has information on contraband tobacco to contact their local police department, call the Manitoba Finance Special Investigations Unit at 204-945-1137, email smuggling_manitoba@rcmp-grc.gc.ca or call Manitoba Crime Stoppers (toll-free) at 1-800-222-TIPS (8477).    	    	- 30 -   	   "
7,2020-09-16,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49228&posted=2020-09-16,Government Website,Province Taking Steps to Hold Federal Government Accountable for Closing the Service Gap on Reserve,"       Français  September 16, 2020 PROVINCE TAKING STEPS TO HOLD FEDERAL GOVERNMENT ACCOUNTABLE FOR CLOSING THE SERVICE GAP ON RESERVE  					  Judicial Review of MHRC Decision Needed to Clarify Canada's Legal Obligation: Clarke    	The Manitoba government is seeking a judicial review of a Manitoba Human Rights Commission (MHRC) decision that found a First Nations family was discriminated against because they could not access provincial health care and related services on reserve, Indigenous and Northern Relations Minister Eileen Clarke announced today.    	    	“All Manitobans deserve to know what services they can access when they need them, and we believe this ruling confuses rather than clarifies which level of government is responsible for providing health care and related services to First Nations people living on reserve,” said Clarke. “A judicial review of this decision will bring much-needed attention to the legal obligations of federal and provincial governments, and bring clarity to this important issue.”    	    	In an Aug. 17 decision, an adjudicator for the MHRC ordered the province to pay damages to the family and continue to provide services as needed. However, no broad systemic orders dealing with the responsibility for delivering these services on reserve were made. Manitoba is bringing an application for judicial review of the decision to gain clarity about its obligation to deliver services on reserve.   	    	The province will respect the MHRC decision to award damages to the family in question and provide provincial services during the judicial review process, the minister said.    	    	The minister noted the Constitution of Canada is based on a model of co-operative federalism that relies on federal and provincial governments and First Nations working together to develop and maintain various services.   	    	“The Manitoba government is committed to working collaboratively and will continue to provide services to Manitobans in keeping with the long-standing practices of co-operative federalism,” she said. “However, Canada has assumed responsibility for providing health-care funding for reserves in recognition of its historical relationship with First Nations people, and it’s now time to also own its role to bridge the health gap between those living on reserve and other Canadians.”    	    	- 30 -   	   "
8,2020-09-16,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49227&posted=2020-09-16,Government Website,COVID-19 Bulletin #191,"       Français  September 16, 2020 COVID-19 BULLETIN #191  Watch news conference       	Public health officials advise the current five-day COVID-19 test positivity rate is 1.5 per cent and 23 new cases of the virus have been identified as of 9:30 a.m. today, bringing the number of cases in Manitoba to 1,489.    	    	The data shows:   	• two cases in the Interlake–Eastern health region;   	• one case in the Northern health region; and   	• 20 cases in the Winnipeg health region.   	    	The data also shows:   	• 283 active cases and 1,190 individuals have recovered from COVID-19;    	• there are nine people in hospital and three people in intensive care; and   	• the number of deaths due to COVID-19 is 16.    	    	Preliminary investigations indicate the two Interlake—Eastern cases are close contracts of a known case. Northern and Winnipeg case investigations continue and if a public health risk is identified, the public will be notified.    	    	Preliminary laboratory testing numbers show 1,266 on Tuesday, bringing the total number of lab tests completed since early February to 158,706. As testing site locations may change in response to changes in testing volumes, Manitobans are reminded to refer to the list of current testing sites and hours of operation before leaving home. Information can be found at www.gov.mb.ca/covid19/updates/testing.html.   	    	Public Health has advised John Pritchard School of six new confirmed cases of COVID-19 connected to the school. This brings the total number of cases to seven. The school was advised by Public Health the following grades/cohorts transition to remote learning today, Sept. 16:  Grade 4/5 split, Grade 6, Grade 7, Grade 8 and Henderson Early Learning Centre (before and after school program). All other grade/cohorts remain at the school for in-class learning.    	    	The school community has been notified. Additional cleaning of high-touch areas was completed. The public health investigation continues to determine virus transmission. Any close contacts connected to the cases have been identified, contacted and advised to self-isolate. Others who were at the site do not need to self-isolate, but should self-monitor for symptoms of COVID-19. John Pritchard School has moved to Restricted (orange) on the #RestartMB Pandemic Response System, given the number cases and contacts involved.    	    	Public Health is advising of possible public health exposures to COVID-19 in Winnipeg related to a previously announced case:   	• on Sept. 5:    	        - Tavern United, 1405 St. Matthew Ave.;   	        - U Putz, 423 McPhillips St.,;   	        - McPhillips Street Station, 484 McPhillips St.; and   	        - Hampton Inn by Hilton Winnipeg, Airport/Polo Park, 730 Berry St.    	• on Sept 6.,    	        - CF Polo Park, 1485 Portage Ave.    	    	Times are listed online at https://manitoba.ca/covid19/restartmb/prs/winnipeg/index.html#exposure.   	    	Public Health is advising of a possible exposure at Parkview Place Long Term Care Home located at 440 Edmonton St. in Winnipeg on Sept. 11 and 12 involving a health-care worker at the Winnipeg Regional Health Authority care home. This information has been shared with families and staff. Investigation is ongoing.    	    	While the risk is assessed to be low, Parkview Place has initiated outbreak protocols in an abundance of caution and put additional measures in place to further reduce the risk to residents and staff, and are restricting visitation. The facility has moved to Critical (red) on the #RestartMB Pandemic Response System.   	    	Public Health officials strongly encourage all Manitobans to focus on the fundamentals to help stop the spread of COVID-19. This means staying home if you are sick, washing/sanitizing your hands, covering your cough and physically distancing when you are with people outside your household. If you cannot physically distance, wear a mask.    	    	Unless recommended by Public Health, only individuals experiencing COVID-19 symptoms should go for testing. Individuals with symptoms are asked to seek testing as soon as possible once symptoms are present. Employers are asked to only send employees for testing if they have symptoms or if testing has been recommended by public health officials.    	    	The online assessment tool can be found at https://sharedhealthmb.ca/covid19/screening-tool/ and COVID-19 symptoms can be found at www.gov.mb.ca/covid19/updates/about.html#collapse4.   	    	For up-to-date information on COVID-19 in Manitoba, visit www.manitoba.ca/COVID19.   	    	- 30 -   	   "
9,2020-09-16,Canada,Manitoba,,https://news.gov.mb.ca/news/index.html?item=49226&posted=2020-09-16,Government Website,Manitoba Government Investing in New Emergency Medical Services Station in Selkirk,"        September 16, 2020 MANITOBA GOVERNMENT INVESTING IN NEW EMERGENCY MEDICAL SERVICES STATION IN SELKIRK  					  New Facility to Support Responsive, Reliable and Sustainable EMS System:  Friesen   Backgrounder Selkirk EMS Station facade Selkirk EMS Station floor plan  Watch news conference       	SELKIRK—A new emergency medical services (EMS) facility will be constructed in Selkirk as part of Manitoba’s commitment to developing a flexible deployment model that ensures timely response to medical emergencies across the province, Health, Seniors and Active Living Minister Cameron Friesen announced here today.   	    	“Manitoba is committed to ensuring high-quality emergency medical services are available to residents throughout our province,” said Friesen. “The construction of a new EMS facility in Selkirk will assist in our efforts to build a more responsive, reliable and sustainable EMS system throughout the Interlake–Eastern Regional Health Authority.”   	    	The new EMS station will act as an operational home base for paramedics, who throughout their shift are repositioned using a globally recognized, flexible dispatch model that uses computer modelling and predictive deployment to ensure timely emergency response across the region. The new facility builds on the government’s commitment to enact recommendations made in the 2013 EMS System Review.   	    	“Paramedics, administrative staff, fellow health-care workers and residents throughout the Interlake–Eastern Regional Health Authority (IERHA) will all benefit from this new facility,” said Ron Janzen, IERHA vice-president of corporate services and chief operating officer of Selkirk Regional Health Centre. “Work flow out of this station will be fundamentally enhanced to better support the delivery of emergency medical services regionally and provincially, and to better reflect the capabilities of paramedics and their quality of work.”   	    	The new 7,500-sq.-ft. facility in Selkirk, to be constructed on a green-field site adjacent to the former Selkirk hospital, will include a six-bay garage, offices, crew quarters and space for paramedic training.   	    	The total investment in the new facility is $4.2 million, the minister said, adding construction of the facility is expected to begin tomorrow by Three Way Builders, based out of Steinbach.   	    	“From the moment an individual calls 911, emergency response services are mobilized to co-ordinate potentially life-saving response of medical services in a timely manner,” said Louise Alaire, regional director of EMS, Shared Health. “Investing in a new EMS station in Selkirk will provide staff with a larger, modern facility with space for training exercises, further bolstering the service provided to Manitobans living throughout the Interlake-Eastern region.”   	    	Other recent investments and initiatives in emergency services provincewide include:   	• purchasing 65 new ambulances, which will represent a refresh of approximately one-third of the province’s overall fleet when delivered;   	• reducing ambulance fees in the past four years by approximately 50 per cent to $250, making emergency care more affordable and accessible;    	• creating an additional 149.2 full-time equivalent (FTE) paramedic positions since 2016 including 35 FTE positions in the past year; and   	• declaring paramedicine to be a self-regulated profession.   	    	For more information on emergency medical services in Manitoba, visit:  www.gov.mb.ca/health/ems/index.html and https://sharedhealthmb.ca/services/emergency-response/.   	    	- 30 -   	   BACKGROUND INFORMATION ATTACHED  "
