,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-12-13,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0681.html,Government Website,Two new cases of COVID-19,"FREDERICTON (GNB) – Public Health reported two new cases of COVID-19 today. The cases are two people 60 to 69 in Zone 3 (Fredericton region). Both cases are self-isolating and under investigation. The number of confirmed cases in New Brunswick is 557 and 484 have recovered. There have been eight deaths, and the number of active cases is 65 with three cases currently in the hospital, including two in intensive care. As of today, 139,374 tests have been conducted.     13-12-20"
1,2020-12-12,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0680.html,Government Website,REVISED / One new case of COVID-19,"FREDERICTON (GNB) – Public Health reported one new case of COVID-19 today. The new case is an individual 20 to 29 in Zone 2 (Saint John region), who is self-isolating. The number of confirmed cases in New Brunswick is 555 and 475 have recovered. There have been eight deaths, and the number of active cases is 72 with four cases currently in the hospital, including three in intensive care. As of today, 138,121 tests have been conducted.     12-12-20"
2,2020-12-11,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0679.html,Government Website,Zone 4 moving to Orange / eighth death related to COVID-19 / eight new cases / case at Saint Mary’s Academy in Edmundston / changes to mandatory order / exposure notification,"FREDERICTON (GNB) – Zone 4 (Edmundston region) will move to the Orange level effective at midnight tonight under the province’s revised COVID-19 recovery plan. Public Health recommended the move due to the escalating case counts, an outbreak in a high-vulnerability setting where there is risk of transmission to the community, and the impact on the health-care system and its ability to serve the community. “While this is a first for the residents of Zone 4 since the province came out of lockdown, it is the seventh time we have had a region move to the Orange level,” said Health Minister Dorothy Shephard. “The good news is that every time we have had to move a zone to Orange, we have been able to quickly get the situation under control and we are confident we will be able to do that in Zone 4. We will achieve this by working together, and by following the directives of Public Health.” Orange level rules are available online. All other zones in New Brunswick remain at the Yellow level. During this time, Public Health measures and guidelines must still be followed. To find out the boundaries of each health zone, see the map available at:  COVID-19 Dashboard (mobile and most browsers)   COVID-19 Dashboard (for Internet Explorer users)  Province records eighth death related to COVID-19 Public Health confirmed that an individual between 60 and 69 died earlier today in Zone 4 as a result of underlying complications, including COVID-19. “On behalf of all New Brunswickers, I extend sincere condolences to the family and friends of the person who died,” said Shephard. “You are in our thoughts and prayers at this difficult time.” “This reminds us, once again, that behind the numbers and statistics of the COVID-19 pandemic are people,” said Dr. Jennifer Russell, chief medical officer of health. “This was a fellow New Brunswicker who enjoyed life and love, with family and friends who cherished them. I offer my heartfelt sympathy to the family and loved ones of the deceased. Please know that we all share in the grief you are experiencing.” Eight new cases Public Health reported eight new cases of COVID-19 today. Six of the cases are in Zone 4 (Edmundston region). They are close contacts of previously confirmed cases and are self-isolating. They are as follows:  one individual 30-39;   one individual 40-49;   three people 50-59; and   one individual 60 to 69.  The other two cases are travel-related and are self-isolating. They are:  one individual 30 to 39 in Zone 3 (Fredericton region); and   one individual 60 to 69 in Zone 6 (Bathurst region).  The number of confirmed cases in New Brunswick is 554 and 468 have recovered. There have been eight deaths, and the number of active cases is 78 with four cases currently in the hospital, including three in intensive care. As of today, 137,234 tests have been conducted. Case at Saint Mary’s Academy On Thursday, Dec. 11, a positive case of COVID-19 was confirmed at Saint Mary’s Academy in Edmundston. The school community has been notified. Today is an operational response day and staff and students are staying home. School staff will contact families directly if there are any further impacts on learning. At this time, no student-to-student transmission has been determined in any school. If you or a family member have been in close contact with this case, you will be notified by Public Health through contact tracing. If you do not hear directly from Public Health, you have not been identified as a close contact. Mandatory order revised The state of emergency mandatory order was revised today to move Zone 4 to the Orange level and adjust requirements under the recovery levels. A change has been made to the requirements of masks at the Orange level. While masks are still required indoors and outdoors in public spaces, they are only required outdoors when physical distancing of two metres cannot be maintained. The change comes after a review by Public Health weighing the risks of contracting the virus. At the Orange level, masks are required when at a drive-thru window. However, masks are no longer required when accessing a drive-thru in regions at the Yellow alert level. This change was made because the risk level is low. Exposure notifications Public Health follows a standard process when addressing instances where the public may have been exposed to a case of COVID-19. In cases where record-keeping is able to identify anyone who may have been exposed, officials contact these individuals directly and do not issue a separate announcement. In cases where officials cannot be certain of exactly who may have been exposed to the virus in a given location, Public Health issues an announcement to alert those who could have been affected and provide instructions. On Dec.11, Public Health identified a positive case in a traveller who may have been infectious on Dec. 4 while on the following flights:  Air Canada Flight 8372 – from Fort McMurray to Calgary.   Air Canada Flight 144 – from Calgary to Toronto.   Air Canada Flight 8918 – from Toronto to Moncton.  Everyone who travelled on these flights should continue to follow the directives given to them during the travel registration process and when they entered New Brunswick.   11-12-20"
3,2020-12-11,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0677.html,Government Website,Holiday fire safety tips,"FREDERICTON (GNB) – New Brunswickers are reminded to take precautions to protect their families and homes from the risks of fire over the holiday season. “While we celebrate the holidays with decorations such as lights, ornaments and trees, we must be careful because they may pose a fire hazard,” said Justice and Public Safety Minister Hugh J. Flemming. Here are some fire safety tips for the household:  Do not set your tree up near a heat source such as a radiator, television, fireplace, heating duct or sunny window. It should not block doors or windows.   Never use lit candles on the tree.   Water your Christmas tree daily, do not let it dry out.   Remove the tree within 10 to 14 days. After that amount of time in a heated building, even the freshest tree can start to dry out.   Inspect lights before use. Check for cracked bulbs and for frayed, broken or exposed wires and discard the faulty items.   Use Canadian Standards Association (CSA) certified lights.   Indoor lights should not be used outdoors because they lack the weatherproof connections. Also, some outdoor lights generate too much heat for indoor use.   Place candles away from anything that could catch fire.   Never leave lit candles unattended.   Never burn gift wrappings, boxes, cartons, or other types of packaging in the fireplace. They burn too rapidly and generate too much heat.   Do not use Christmas trees for firewood.   Give home smoke and carbon monoxide detectors as gifts.  “It is important to ensure that your home has properly-installed smoke and carbon monoxide alarms and that they are checked on a regular basis,” said Flemming. “A safe and happy holiday season to all New Brunswickers as we help spread the word on fire safety.” More fire safety information is available online. 11-12-20"
2,2020-12-10,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0676.html,Government Website,Outbreak declared at Edmundston Regional Hospital,"EDMUNDSTON (GNB) – Public Health has declared an outbreak at the Edmundston Regional Hospital, following several confirmed cases of COVID-19 at the hospital. Public Health and the Vitalité Health Network are investigating. “Outbreaks are a stark reminder that this virus is still present in New Brunswick and we need to be extremely cautious,” said Dr. Jennifer Russell, chief medical officer of health. The number of cases related to this outbreak include three health-care workers and three COVID-19 admitted patients. All hospital visitations except for palliative care, maternity and pediatrics, have been suspended until further notice. Patients with appointments may attend the facility and must follow Public Health measures. Only urgent cases are being handled at the Emergency department.   10-12-20"
3,2020-12-10,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0675.html,Government Website,Investment in Moncton kombucha brewery,"FREDERICTON (GNB) – The provincial and federal governments are investing a total of $373,000 in Alive Kombucha to help establish a 465 sq. metre (5,000 sq. ft.) commercial Kombucha brewery in Moncton. “The development, growth and sustainability of the local food and beverages sectors is central to the continued strengthening of New Brunswick’s food system,” said Agriculture, Aquaculture and Fisheries Minister Margaret Johnson. “There is a growing interest in locally produced food and beverages, and supporting local companies is crucial to our economy.” The Department of Agriculture, Aquaculture and Fisheries is investing $100,000 through the Canadian Agricultural Partnership, cost-shared with Agriculture and Agri-Food Canada, and Opportunities New Brunswick is investing $72,000 towards the project. The funding will support renovations to an existing building and the purchase of advanced manufacturing equipment. “While COVID-19 has posed challenges for the agriculture and agri-food sector, it is more important than ever to ensure farmers and processors are supported,” said federal Agriculture and Agri-Food Minister Marie-Claude Bibeau. “Through the Canadian Agricultural Partnership, we are helping businesses like Alive Kombucha take advantage of opportunities to diversify, expand production, and make use of innovative and clean technologies, which will have an economic ripple effect for their whole region.” The Canadian Agricultural Partnership is a five-year, $3 billion investment by federal, provincial and territorial governments to strengthen the agriculture and agri-food sector. This investment is cost-shared on a 60:40 (federal/provincial) basis and delivered by provinces and territories to ensure programs are tailored to meet regional needs. “Here at Alive Kombucha we brew our kombucha using solar energy, so that we can provide you with a healthy drink that doesn't negatively affect our planet,” said Louis Leith, company owner. “Our 40 megawatts solar energy production is certified by the Smart Energy Company, is saving 30.7 acres of forest annually and prevents 26.5 tones of CO2 while producing our great tasting kombucha. Our products are made from a minimum of 97 per cent organic ingredients and is certified by the Canadian Digestive Health Foundation.” “This support from the federal government will help Alive Kombucha innovate and create new business opportunities to sustain and invigorate this vital sector, which will support the local economy and help the wider industry compete globally,” said Moncton-Riverview-Dieppe MP Ginette Petitpas Taylor. She spoke for Economic Development and Official Languages Minister Mélanie Joly, who is also minister responsible for the Atlantic Canada Opportunities Agency (ACOA). The federal government, through ACOA, is providing a repayable contribution of $201,710. Alive Kombucha is contributing $1.7 million towards the brewery. 10-12-20"
4,2020-12-10,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0674.html,Government Website,Zone 2 moving to Yellow / COVID-19 vaccine planning / four new cases,"FREDERICTON (GNB) – Zone 2 (Saint John region) will move to the Yellow level effective at midnight tonight. Public Health made the recommendation because the growth in new cases has slowed significantly, compliance with Public Health directives has increased, and the testing backlog has been addressed. “I thank everyone who has done their part by following the rules by staying within their single-household bubble and wearing a mask in all public places,” said Health Minister Dorothy Shephard. “New Brunswick is leading the way by keeping our case numbers low and keeping outbreaks contained when they do happen. While we have had to move zones to the Orange level several times since our province came out of lockdown, we have been able to quickly get the situation under control every single time.” In the Yellow level of recovery, people are no longer required to stick to a one-household bubble and informal indoor gatherings of up to 20 people are permitted. Public Health recommends that these 20 people be limited to the same circle of close family and friends. This will slow the spread of the virus and make it easier to trace contacts when outbreaks happen. “Everyone should aim to keep their social contacts, the people you spend time with without wearing a mask or maintaining physical distance, to no more than 20 individuals,” said Dr. Jennifer Russell, chief medical officer of health. “I strongly suggest that everyone make a list of their close contacts and aim to keep it to the same 20 for the rest of 2020. If we all do this, we stand a better chance of limiting the impact of future outbreaks.” COVID-19 vaccine planning A detailed vaccine plan for New Brunswick is being developed, and priority groups who will receive the vaccine first have been determined. These groups include:  long-term care residents and staff;   staff from Provincial Rapid Outbreak Management Teams who respond to COVID-19 outbreaks;   Extra-Mural/Ambulance New Brunswick staff;   health-care workers;   First Nations nurses; and   seniors 85 or older.  “We expect the first 1,950 doses of the Pfizer vaccine to arrive in New Brunswick next week,” said Greg MacCallum, director of the New Brunswick Emergency Measures Organization. “In a province of more than 700,000 people, a total of 1,950 doses is a small number, but it is the first step in a program of regular deliveries going forward. We need people to understand that it will take much of 2021 to roll out and administer vaccine to all New Brunswickers, and to all Canadians.” New cases Public Health reported four new cases of COVID-19 today. The cases are as follows:  one individual 30-39 in Zone 2 (Saint John region);   one individual 20-29 in Zone 4 (Edmundston region);   one individual 30-39 in Zone 4 (Edmundston region); and   one individual 40-49 in Zone 4 (Edmundston region).  All cases are self-isolating and under investigation. The number of confirmed cases in New Brunswick is 546 and 464 have recovered. There have been seven deaths, and the number of active cases is 75 with four cases currently in the hospital, including three in intensive care. As of today, 136,559 tests have been conducted. Mandatory order renewed The state of emergency mandatory order was renewed today under the authority of the Emergency Measures Act.   10-12-20"
5,2020-12-09,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0672.html,Government Website,One new case of COVID-19 / exposure notification,"FREDERICTON (GNB) – Public Health reported one new case of COVID-19 today. It is an individual 30-39 in Zone 2 (Saint John region). The case is related to travel and is self-isolating. The number of confirmed cases in New Brunswick is 542 and 461 have recovered. There have been seven deaths, and the number of active cases is 74. Three patients are hospitalized and are in intensive care. As of today, 135,266 tests have been conducted. Exposure notifications Public Health follows a standard process when addressing instances where the public may have been exposed to a case of COVID-19. In cases where record-keeping is able to identify anyone who may have been exposed, officials contact these individuals directly and do not issue a separate announcement. In cases where officials cannot be certain of exactly who may have been exposed to the virus in a given location, Public Health issues an announcement to alert those who could have been affected and provide instructions. On Dec. 9, Public Health identified a positive case in a traveller who may have been infectious on Dec. 6 while on the following flights:  Air Canada Flight 865 – from London to Montreal arrived at 4:20 p.m.   Air Canada Flight 8792 – from Montreal to Saint John arrived at 9:20 p.m.  All individuals who travelled on these flights should continue to follow the directives given to them when they registered for travel to New Brunswick.   09-12-20"
6,2020-12-09,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0671.html,Government Website,Students from New Brunswick and France to participate in engaging learning projects,"FREDERICTON (GNB) – A partnership between New Brunswick and France will allow students from both jurisdictions to take part in engaging learning experiences through digital tools. “This increased co-operation with France will provide our students with new educational opportunities that will foster creativity, motivation and openness to the world,” said Education and Early Childhood Development Minister Dominic Cardy. “This is a wonderful initiative that contributes to the social and cultural development of students and to the professional development of teachers while broadening their knowledge about the Francophonie around the world.” This partnership between the Department of Education and Early Childhood Development, the Consulate General of France in the Atlantic provinces and the French Embassy in Canada is made possible through the recent signing of educational co-operation agreements. These agreements are part of the department’s efforts to strengthen its ties with France. An agreement signed between the francophone nord-ouest school district and the Académie de Poitiers will allow for the implementation of a project called Apprendre à mieux se connaître pour mieux connaître les autres (getting to know ourselves to better know others), through the program Une école, un artiste (one school, one artist). The project pairs the Carrefour de la Jeunesse school in Edmundston and a school in the Poitiers region of France. Throughout the 2020-21 school year, both groups will participate in developing an artistic project that explores both their own culture and the other region’s culture. The final project will be presented to the community in the spring of 2021. Under an agreement signed between the francophone sud school district and the Académie de Normandie in France, a number of classes will be paired through a literary and artistic competition called Dis-moi dix mots (tell me 10 words). These projects will rely on digital learning tools, ensuring they can take place during the COVID-19 pandemic. “These kinds of projects are in line with the objectives of the 10-year education plan and echo the Linguistic and Cultural Development Policy,” said Cardy. “I am reminded, among other things, of the efforts made to encourage young people to be open to diversity and to develop critical and creative thinking, but also to ensure that each student can develop the skills they need to achieve their life and career goals.” The sustainable development theme – an issue of common interest to Canada and France – is also at the heart of this partnership. An educational project on phenology – the study of the impact of climate change on ecosystems – is being developed in collaboration with French and Canadian experts. “The agreements between the New Brunswick francophone school districts and French academies foster dialogue at all levels between institutions, teachers and students,” said the Consul General of France in the Atlantic provinces Johan Schitterer. “They contribute to strengthening exchanges in the field of education between our two countries.”   09-12-20"
7,2020-12-08,Canada,New Brunswick,,https://www2.gnb.ca//content/gnb/en/news/news_release.2020.12.0670.html,Government Website,Liquor Control Act changes will allow takeout liquor sales and wine re-corking,"FREDERICTON (GNB) –The provincial government has introduced amendments to the Liquor Control Act to reduce barriers, modernize administrative processes and maximize growth opportunities for the hospitality industry. The changes would allow liquor sales with food takeout or delivery, allow a licensee to close a partly consumed bottle of wine purchased in the establishment and allow a patron to carry that previously opened bottle home. “We acted to allow the sale of liquor with takeout and delivery food orders because of the COVID-19 pandemic,” said Justice and Public Safety Minister Hugh J. Flemming. “These amendments would allow that to continue once the supporting regulations are in place. They will contribute to the government’s key priority of fostering an energized private sector while maintaining the safety of the public as we move to help our communities and our businesses recover and become more resilient.” The amendments would also introduce mandatory server training, as is required in most Canadian provinces, and help ensure the safety of minors by doubling the fine for selling or serving liquor to minors to $480. It would also add to the list of offences that may restrict the issuance of a liquor licence including certain Criminal Code convictions related to organized crime, as well as convictions related to the sale, distribution and production of cannabis under the Cannabis Act and the Cannabis Control Act.   08-12-20"
