,Unnamed: 0,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,0,2020-08-05,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/health/0805n01/,Government Website,Media Advisory: Minister Haggie Available to the Media," The Honourable John Haggie, Minister of Health and Community Services will hold a media availability today (Wednesday, August 5) at 2:00 p.m. to discuss COVID-19. The availability will be live-streamed on the Government of Newfoundland and Labrador’s Facebook and Twitter accounts – @GovNL and on YouTube. As a safety precaution, all media covering the availability will join by teleconference only. To participate, please RSVP to Jillian Hood (jillianhood@gov.nl.ca) who will provide the dial-in details. Media planning to participate must join the teleconference at 1:45 p.m. (NDT) to be included on the call. For sound quality purposes, media calling in are asked to use a land line if at all possible. – 30 – Media contact Kathy Dicks-Peyton Health and Community Services 709-729-6986, 699-1982 kathydickspeyton@gov.nl.ca  2020 08 05 11:05 am  "
1,1,2020-08-05,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/exec/0805n02/,Government Website,Premier-designate Announces Date for Swearing-in Ceremony," The ceremony to swear in Newfoundland and Labrador’s 14th premier and his cabinet will take place on Wednesday, August 19. Premier-designate Dr. Andrew Furey will be sworn in at Government House in St. John’s. Further details on the specifics will be released in the coming days. -30- Media Contacts Fred Hutton 709-330-6397 Meghan McCabe 709-765-6946  2020 08 05 4:30 pm  "
2,2,2020-08-04,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/health/0804n01/,Government Website,Public Advisory: No New Cases of COVID-19 in Newfoundland and Labrador," Today (Tuesday, August 4), Newfoundland and Labrador has no new confirmed cases of COVID-19. Two hundred and sixty people have recovered from the virus. The province now has three active cases, all of which are in the Central Health region. To date, 25,774 people have been tested. In Alert Level 2, individuals should continue to practice good infection prevention and control practices. Daily preventative actions can help to prevent the spread of COVID-19. These actions include:  Stay informed, be prepared, and follow public health advice; Wash your hands frequently with warm water and soap for at least 20 seconds; Use an alcohol based hand sanitizer in the absence of soap and water; Do not touch your face; Practice proper cough and sneeze etiquette; Maintain physical distancing; Wear a non-medical mask or face covering when you are in public and unable to maintain physical distancing; Increase cleanliness and ventilation of public spaces and worksites; and, Stay home if you are sick and avoid contact with others.  For the most up-to-date information related to COVID-19, please visit www.gov.nl.ca/covid-19. – 30 – Media contact  Kathy Dicks-Peyton Health and Community Services 709-729-6986, 699-1982 kathydickspeyton@gov.nl.ca  2020 08 04 2:10 pm  "
3,3,2020-08-03,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/health/0803n01/,Government Website,Public Advisory: No New Cases of COVID-19 in Newfoundland and Labrador," Today (Monday, August 3), Newfoundland and Labrador has no new confirmed cases of COVID-19. The province has four active cases. Two hundred and fifty-nine people have recovered from the virus. To date, 25,452 people have been tested. In Alert Level 2, individuals should continue to practice good infection prevention and control practices. Daily preventative actions can help to prevent the spread of COVID-19. These actions include:  Stay informed, be prepared, and follow public health advice; Wash your hands frequently with warm water and soap for at least 20 seconds; Use an alcohol based hand sanitizer in the absence of soap and water; Do not touch your face; Practice proper cough and sneeze etiquette; Maintain physical distancing; Wear a non-medical mask or face covering when you are in public and unable to maintain physical distancing; Increase cleanliness and ventilation of public spaces and worksites; and, Stay home if you are sick and avoid contact with others.  For the most up-to-date information related to COVID-19, please visit www.gov.nl.ca/covid-19 – 30 – Media contact  Kathy Dicks-Peyton Health and Community Services 709-729-6986, 699-1982 kathydickspeyton@gov.nl.ca  2020 08 03 2:00 pm  "
4,4,2020-08-02,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/health/0802n01/,Government Website,Public Advisory: No New Cases of COVID-19 in Newfoundland and Labrador," Today (Sunday, August 2), Newfoundland and Labrador has no new confirmed cases of COVID-19. The province continues to have four active cases. Two hundred and fifty-nine people have recovered from the virus. To date, 25,329 people have been tested. In Alert Level 2, individuals should continue to practice good infection prevention and control practices. Daily preventative actions can help to prevent the spread of COVID-19. These actions include:  Stay informed, be prepared, and follow public health advice; Wash your hands frequently with warm water and soap for at least 20 seconds; Use an alcohol based hand sanitizer in the absence of soap and water; Do not touch your face; Practice proper cough and sneeze etiquette; Maintain physical distancing; Wear a non-medical mask or face covering when you are in public and unable to maintain physical distancing; Increase cleanliness and ventilation of public spaces and worksites; and, Stay home if you are sick and avoid contact with others.  For the most up-to-date information related to COVID-19, please visit www.gov.nl.ca/covid-19. – 30 – Media contact  Kathy Dicks-Peyton Health and Community Services 709-729-6986, 699-1982 kathydickspeyton@gov.nl.ca  2020 08 02 2:00 pm  "
5,5,2020-08-01,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/health/0801n01/,Government Website,Public Advisory: No New Cases of COVID-19 in Newfoundland and Labrador," Today (Saturday, August 1), Newfoundland and Labrador has no new confirmed cases of COVID-19. The province continues to have four active cases. Two hundred and fifty-nine people have recovered from the virus. To date, 25,126 people have been tested. In Alert Level 2, individuals should continue to practice good infection prevention and control practices. Daily preventative actions can help to prevent the spread of COVID-19. These actions include:  Stay informed, be prepared, and follow public health advice; Wash your hands frequently with warm water and soap for at least 20 seconds; Use an alcohol based hand sanitizer in the absence of soap and water; Do not touch your face; Practice proper cough and sneeze etiquette; Maintain physical distancing; Wear a non-medical mask or face covering when you are in public and unable to maintain physical distancing; Increase cleanliness and ventilation of public spaces and worksites; and, Stay home if you are sick and avoid contact with others.  For the most up-to-date information related to COVID-19, please visit www.gov.nl.ca/covid-19. – 30 – Media contact  Kathy Dicks-Peyton Health and Community Services 709-729-6986, 699-1982 kathydickspeyton@gov.nl.ca  2020 08 01 2:02 pm  "
6,6,2020-07-31,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/aesl/0731n01/,Government Website,Minister Mitchelmore Announces Appointments to Provincial Apprenticeship and Certification Board," The Honourable Christopher Mitchelmore, Minister of Advanced Education, Skills and Labour, today announced the appointment of 13 individuals to the Provincial Apprenticeship and Certification Board (PACB). The appointments were recommended through the Independent Appointments Commission. The following individuals were re-appointed for three-year terms:  Joann Greeley, employer representative Jennifer Hillier, employer representative Tyson Hedge, employee representative  The following individuals were appointed for three-year terms:  Lorna Harnum, chairperson Barry Thomson, employer representative Scott Randell, alternate employer representative Bobby Meade, employee representative Marion Isaacs, employee representative Krista Piercey, alternate employee representative Krista Cox, at-large representative Steven Downer, at-large representative Barry Roberts, at-large representative Chris Hewitt, alternate at-large representative  Biographical information is included in the backgrounder below. The PACB is a tier two board and is responsible for the oversight and direction of the province’s apprenticeship system. The PACB is composed of equal representation of employers, employees and at-large representatives who have knowledge and experience in the skilled trades, organized labour groups and the apprenticeship certification process. The Public Service Commission Act applies to all appointed members to the PACB. The Independent Appointments Commission was established to create a merit-based process for appointments to agencies, boards and commissions to make certain the process for appointing individuals to agencies, boards and commissions is open and transparent. Individuals from all regions of the province are encouraged to put their names forward through the Independent Appointments Commission process for consideration for future appointment opportunities. Applications are available at www.iacnl.ca. Quote “I am pleased to announce the re-appointment of three individuals and the appointment of 10 other highly qualified individuals to the Provincial Apprenticeship and Certification Board, including Chairperson Lorna Harnum. Their valuable insight and expertise will help ensure we are well positioned to take advantage of every opportunity in the skilled trades in the province.” Honourable Christopher Mitchelmore Minister of Advanced Education, Skills and Labour – 30 – Learn more Follow us on Twitter: @GovNL and @AESL_GovNL Media contact Ryan Crocker Advanced Education, Skills and Labour 709-729-1795, 725-9595 ryancrocker@gov.nl.ca   BACKGROUNDER Biographical Information for Appointees to Provincial Apprenticeship and Certification Board Jennifer Hillier of Green’s Harbour employs journeypersons and apprentices at AirCo Sheetmetal Inc. and has experience in the skilled trades, education, and child services. Ms. Hillier is especially passionate about education, including apprenticeship training and certification. Joann Greeley of St. John’s owns and operates her own electrical business, Joann Greeley Electric. A Red Seal electrician, Ms. Greeley has worked on major natural resource projects in Newfoundland and Labrador and served on various boards and advisory panels. Tyson Hedge of Labrador City is currently an employee of the Iron Ore Company of Canada and has extensive experience in the electrical and instrumentation field, earning a Red Seal in both. Mr. Hedge also has experience in training electricians. Krista Cox of Harbour Grace is the Director of BAC Local 1, NL/BAC Masonry College, and is responsible for overseeing apprenticeship training as well as supporting the development of provincial apprenticeship standards and curriculum. Steven Downer of Grand Falls-Windsor is a Red Seal certified automotive service technician and is an instructor at the Gander Campus of the College of the North Atlantic. In this role, he observes first-hand how well provincial training is received by apprenticeship students. Lorna Harnum of Green’s Harbour is a representative of the International Union of Operating Engineers. She has been involved with the apprenticeship system in Newfoundland and Labrador and on a national level for over 25 years. Chris Hewitt of Mount Pearl is owner-operation of Classic Woodwork Ltd and is a Red Seal cabinet-maker and Red Seal carpenter. He has worked in the cabinet making industry for over 40 years and has owned his own business since 1986, which currently employs over 20 people. Marion Isaacs of St. John’s is a Red Seal plumber apprentice who has worked on a local commercial site and has experience in the residential sector. She is presently an employee with the Department of Transportation and Works within the Government of Newfoundland and Labrador. Bobby Meade of St. John’s is a Red Seal industrial electrician and an employee of Newfoundland Power. Krista Piercey of Norman’s Cove-Long Cove is a journeyperson welder and also has training and work experience as an iron worker. Scott Randell of Paradise is a journeyperson carpenter and the owner of Shed City and Outdoor Living Ltd. Barry Roberts of St. John’s has held many senior leadership positions during his tenure in both secondary and post-secondary education. Over the past 12 years, he has worked extensively with industry on training and certification requirements for trades workers on major projects in Newfoundland and Labrador. Barry Thompson of Gander is President of CECON Ltd, responsible for management, business development, project design and project management of various buildings and municipal projects.  2020 07 31 9:30 am  "
7,7,2020-07-31,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/exec/0731n01-2/,Government Website,Premier Ball Announces Funding for the Town of Deer Lake," Today, the Honourable Dwight Ball, Premier of Newfoundland and Labrador, was joined by Gudie Hutchings, Member of Parliament for Long Range Mountains, on behalf of the Honourable Catherine McKenna, Minister of Infrastructure and Communities and Dean Ball, Mayor of Deer Lake, announced funding for two water and wastewater projects in Deer Lake. The two projects will replace 320 metres of water, sanitary, and storm sewer mains on Canal Road and the same on Garden Road. Roadways will be upgraded with new sidewalks and curbs. The projects will provide more reliable and safe infrastructure for residents and increase the capacity to manage wastewater and storm water. The governments of Canada and of Newfoundland and Labrador are each investing more than $813,000 in these projects through the Green Infrastructure Stream (GIS) of the Investing in Canada infrastructure plan. The Town of Deer Lake is contributing more than $615,000. Quotes “Long-term investments in infrastructure are key to building strong communities and providing important services to our residents. By supporting the development of this municipal infrastructure, residents will have improved access to quality drinking water and better wastewater and road systems. The projects announced today will make Deer Lake a more attractive community in which to live and raise a family.” Honourable Dwight Ball Premier of Newfoundland and Labrador “Investing in modern and reliable water and wastewater infrastructure is essential to building healthy and resilient communities. The projects announced today will ensure residents have access to safe drinking water and reliable wastewater services for years to come. These projects will also provide jobs as we recover from the economic effects of the pandemic, helping communities build back and grow.” Gudie Hutchings MP for Long Range Mountains  “The Town of Deer Lake thanks both the Federal and Provincial Governments for their financial assistance with this important project of upgrading Garden Road and Canal Road including water, sewer and storm systems. Partnerships like this are vital in improving aging infrastructure in our municipalities.” Dean Ball Mayor of Deer Lake – 30 – Media contacts Jeremy Reynolds Office of the Premier 709-729-3558 jeremyreynolds@gov.nl.ca  Infrastructure Canada 613-960-9251 Toll free: 1-877-250-7154 infc.media-medias.infc@canada.ca Town of Deer Lake 709-635-2451 deerlaketownclerk@nf.aibn.com  2020 07 31 11:50 am  "
8,8,2020-07-31,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/exec/0731n03/,Government Website,"Milk, Butter and Beyond: Province Commits $5 million for Secondary Processing"," The Honourable Dwight Ball, Premier of Newfoundland and Labrador, and the Honourable Gerry Byrne, Minister of Fisheries and Land Resources, today announced $5 million in Provincial Government funding to help establish a proposed $25-million secondary processing dairy facility in Deer Lake. The initiative will support economic growth in the dairy sector and enhance food self-sufficiency in Newfoundland and Labrador. The Real Dairy Company of Newfoundland Ltd. – a new company consisting of 13 Newfoundland and Labrador dairy farmers and partner Glenstal Foods Limited of Limerick, Ireland – is proposing to establish a facility that will process milk into salted butter and skim milk powder, with potential to eventually expand into cultured products such as cream cheese, sour cream, and yogurt. Provincial Government funding for this project was identified to support employment in rural communities and help open new markets and products for renewable resource-based businesses during the COVID-19 global pandemic. Along with Provincial Government and private investment, the proponent is also seeking Federal Government funding to support this initiative, expected to employ eight to 10 people. More information on the dairy industry in Newfoundland and Labrador can be found in the backgrounder below. The Way Forward on Agriculture – Agriculture Sector Work Plan established growth targets to increase food self-sufficiency by at least 20 per cent by 2022, and to increase secondary processing of food products, including industrial milk. Quotes “Newfoundland and Labrador’s dairy sector is strong and vital, despite the gap left by the loss of local secondary dairy processing facilities in 2013 and 2016. With a combined production and processing value of $125 million annually – and a skilled workforce of more than 1,200 people at 24 dairy facilities across the province – our dairy producers have the knowledge and drive required to bring secondary dairy processing back to this province to create more local jobs and support food self-sufficiency. I’m pleased to offer the Provincial Government’s support for this important and welcome initiative.” Honourable Dwight Ball Premier of Newfoundland and Labrador “Newfoundland and Labrador’s dairy producers work tirelessly to ensure high-quality, nutritious, local dairy products are sustainably produced for, distributed to, and enjoyed by the people of the province. Our dairy producers have identified an exciting and much-needed opportunity to process milk into secondary products that can and should be made right here, the way our supply management system intended. I look forward to seeing this initiative move forward with the full support and cooperation of our federal counterparts.” Honourable Gerry Byrne Minister of Fisheries and Land Resources “We thank the Provincial Government, and particularly Premier Ball and Minister Byrne, for their wholehearted support of this exciting new initiative, and look forward to getting down to the business of once again processing local milk right here at home.” Lee Noel Chair, Dairy Farmers of Newfoundland and Labrador – 30 – Follow us on Twitter: @GovNL and @FLR_GovNL Media contacts Jeremy Reynolds Office of the Premier 709-729-3558 jeremyreynolds@gov.nl.ca Linda Skinner Fisheries and Land Resources 709-637-2284, 632-8167 lindaskinner@gov.nl.ca Lee Noel Dairy Farmers of Newfoundland and Labrador 709-636-1890 lee.noel@nf.sympatico.ca   BACKGROUNDER Information on the Dairy Industry in Newfoundland and Labrador Newfoundland and Labrador’s dairy sector is comprised of fluid milk consumed as table milk, and industrial milk utilized for further processing. Industrial milk can be processed into products such as butter, ice cream, milk powders, and cheese. The closure of two secondary dairy processing facilities in 2013 and 2016 eliminated most industrial milk processing in the province. Smaller niche processors produce less than one per cent of Newfoundland and Labrador’s industrial milk production. As a result, most industrial milk – approximately 16.5 million litres annually, is shipped out of province. The Deer Lake Industrial Park was selected as the site due to its proximity to dairy farms, adjacency to the Trans-Canada Highway, and available site services. The proponent’s initial product development will involve 20 million litres at start-up and increase to 30 million litres of industrial milk annually as new markets are developed.  2020 07 31 12:01 pm  "
9,9,2020-07-31,Canada,Newfoundland and Labrador,,https://www.gov.nl.ca/releases/2020/hoa/0731n04/,Government Website,Select Committee on Democratic Reform Holds First Meeting," The House of Assembly Select Committee on Democratic Reform held its first meeting yesterday. The Committee was established by resolutions of the House passed on December 2, 2019 and March 5, 2020 (the complete resolutions are provided below). In accordance with the resolution of March 5, the Committee must report its progress to the House before the end of the 2021 winter-spring sitting. At its first meeting, the Select Committee elected the Member for Mount Pearl-Southlands as Chair and the Member for St. John’s East-Quidi Vidi as Vice Chair. It also began discussions respecting priorities for its work and confirmed the next meeting for the second week of August. Further updates will be provided as the Committee moves forward with its priorities over the coming months. Members of the Select Committee on Democratic Reform include: Paul Lane – Mount Pearl-Southlands (Chair) Alison Coffin – St. John’s East-Quidi Vidi (Vice Chair) Steve Crocker – Carbonear-Trinity-Bay de Verde Sarah Stoodley – Mount Scio James Dinn – St. John’s Centre Paul Dinn – Topsail-Paradise Ches Crosbie – Windsor Lake – 30 – Media contact Bobbi Russell Policy and Communications Officer House of Assembly 709-693-9434 bobbirussell@gov.nl.ca BACKGROUNDER Resolution – December 2, 2019 WHEREAS democratic reform is an important issue facing our province; and WHEREAS many individuals and organizations living in our province believe our democracy can and must be reformed, modernized and strengthened; and WHEREAS the All-Party Committee on Democratic Reform, struck before the last election, has too narrow a mandate and is not the best mechanism for achieving meaningful, non-partisan democratic reform; and WHEREAS a better approach to democratic reform would be to establish a non-partisan select committee on democratic reform that works on behalf of and reports directly to the House of Assembly; THEREFORE BE IT RESOLVED that this House urge government to disband the All-Party Committee on Democratic Reform; and BE IT FURTHER RESOLVED that this House establish a select committee on democratic reform with a mandate to review and make recommendations on voting systems and methods, voting age, funding of political parties, the role of third party groups in election campaigns, timing and date of elections and other items at the committee’s discretion; and BE IT FURTHER RESOLVED that given this select committee needs to be and must be seen to be non-partisan in nature, that the select committee consist of the following: two Members of government, two Members of the Official Opposition, two Members of the Third Party and an independent Member, and that the chair of the select committee be elected from within; and BE IT FURTHER RESOLVED that the House consider how to ensure the select committee has the resources it needs to conduct this work. Resolution – March 5, 2020 BE IT RESOLVED that the Select Committee on Democratic Reform to be established further to a private Member’s resolution passed in this House on December 4, 2019, will comprise of the following Members: the Member for Carbonear – Trinity – Bay de Verde, the Member for Mount Scio, the Member for Windsor Lake, the Member for Topsail – Paradise, the Member for St. John’s East – Quidi Vidi, the Member for St. John’s Centre, the Member for Mount Pearl – Southlands; and BE IT FURTHER RESOLVED that the Committee shall establish its priorities within the scope of authority set for it in the resolution adopted by the House on December 4, 2019; and BE IT FURTHER RESOLVED that the Select Committee on Democratic Reform may, in the completion of its work, travel from time to time within the province; and BE IT FURTHER RESOLVED that the Select Committee on Democratic Reform report its progress to this hon. House before the end of the winter-spring sitting of this House, 2021; and BE IT FURTHER RESOLVED that the resolution of any further matters relating to the mandate or operations of said Committee be brought to this House for approval.  2020 07 31 12:30 pm  "
