,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2021-06-15,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/legacy-arsenic-health-and-human-risk-assessment-results-be-presented,Government Website,Legacy Arsenic Health and Human Risk Assessment Results to be Presented,"The results of the Legacy Arsenic Health and Human Risk Assessment will be presented via webinar on June 17, 2021.  This is the final stage of the Human Health Risk Assessment for arsenic in Yellowknife, Ndilo and Dettah.  A virtual public information session will share the results and what they mean for people wanting to enjoy the  land and water, including fishing, foraging and hunting. The session will be held on Thursday, June 17th from 5:30 to 8pm. After a presentation, questions and answers from the public will be accepted. The final report and plain language summary will be publically available online after the public information session.  Media can submit questions to the department.  To join online:  https://us02web.zoom.us/j/82399845959  To participate by telephone:  +1 778 907 2071 OR  +1 647 558 0588 Webinar ID: 823 9984 5959  "
1,2021-06-14,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/ministerial-activities-advisory-week-june-15-21-2021,Government Website,"Ministerial Activities Advisory for the week of June 15-21, 2021","Ministerial Activities Advisory for the week of June 15-21, 2021 Ministerial Travel Please note that travel schedules may change with little or no notice. This schedule is accurate as of June 14, 2021 There is no travel scheduled for this time period. Meetings and Appearances Please note that event organizers may have attendance restrictions­­­ for their event. Contact organizers for more information. Caroline Wawzonek will be attending a 2022-2023 Budget Dialogue Engagement Sessions on June 15-17. Caroline Cochrane and Diane Archie will be participating in the Western Premiers Conference on June 15. Caroline Cochrane will be speaking at the Arctic Development Expo on June 15. Shane Thompson will be participating in a Provincial/Territorial Ministers Responsible for Local Government via videoconference on June 16. Shane Thompson will be attending the 2021 Council of Ministers of Environment Meeting teleconference on June 17. Shane Thompson and Caroline Wawzonek will be virtually meeting with the Honourable Jonathan Wilkinson, Minister of Environment and Climate Change on June 17. R.J. Simpson will be attending a virtual meeting with Provincial/Territorial and Federal/Provincial/Territorial of the Minister’s Council on the Canadian Francophonie on June 18.   For Ministerial Media Requests, Contact: Cabinet Communications 	Government of the Northwest Territoriespresssecretary@gov.nt.ca"
2,2021-06-14,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/gnwt-launches-emergency-disaster-assistance-advance-program,Government Website,GNWT Launches Emergency Disaster Assistance Advance Program,"Today, Honourable Shane Thompson, Minister of Municipal and Community Affairs and Honourable Caroline Wawzonek, Minister of Finance, announced the creation of the Emergency Disaster Assistance Advance Program (EDAAP). The Emergency Disaster Assistance Advance Program allows for immediate payments to provide funding to residents, small businesses and community governments impacted by this year’s flooding in the Northwest Territories. Residents, small businesses and community government who will be submitting a claim for assistance through the regular Disaster Assistance Policy (DAP) process are able to access an advance of up to 50% now. Once they do submit their claim, any funding provided under this new policy would be deducted from their final eligible claim under the DAP. Maximum funding available under this program is as follows: Residential Property – 50% of the preliminary assessment up to $10,000; Small business owners - 50% of the preliminary assessment up to $10,000; Community Governments – 50% of the preliminary assessment up to $100,000. Eligible expenses include: Emergency provision of essential community services; Security measures including the removal of valuable assets and hazardous materials from a threatened area; Repairs to public buildings and related equipment; Repairs to public infrastructure such as roads and bridges; Removal of damaged structures constituting a threat to public safety; Restoration, replacement or repairs to an individual's dwelling (principal residence only); Restoration, replacement or repairs to essential personal furnishings, appliances and clothing; Restoration of small businesses including buildings and equipment; and Costs of damage inspection, appraisal and clean up. Ineligible expenses include: Repairs that are eligible for reimbursement through insurance; Costs already reimbursed by another government program; and Normal operating expenses of a government department or agency. Affected residents, small businesses and community governments should contact their MACA Regional Offices with any questions related to their eligibility to apply and to submit their applications for the EDAAP. Additional information can be found on the MACA Flood website: https://www.maca.gov.nt.ca/en/services/flooding Quotes “We are pleased to announce this funding program to help those who have been impacted by flooding along the Mackenzie River. This program will quickly provide funds to affected residents, small businesses and community governments so that repairs can begin, and so that residents in affected communities can begin the work to return life to normal.” - Caroline Wawzonek, Minister of Finance “Flood recovery requires collaboration between community residents and all levels of government. The GNWT recognizes that flood recovery can be a lengthy process. We understand that for those affected, there are immediate needs to be addressed. By launching this program, we intend to assist in addressing those needs.” - Shane Thompson, Minister of Municipal and Community Affairs Quick facts The Emergency Disaster Assistance Advance Program is new, and different from the existing Disaster Assistance Policy. Applications will be accepted until July 31, 2021. Funding must be spent on eligible expenses by October 31, 2021. Current status of damage assessments: 							Assessment in Jean Marie River has been complete. Reports are now starting to come in from the consultant. Assessment is complete in Fort Good Hope. Reports will begin to come in shortly. Assessment in Fort Simpson continues and is expected to be complete by the end of this week. Reports to follow. We are in the process of scheduling assessments for Hay River and Little Buffalo River.  The GNWT has begun work to undertake urgent repairs to prevent further damage and do mould abatement has begun in flood affected communities. MACA Regional Offices Dehcho Region (867) 695-7220 Inuvik Region (867) 777-7121 North Slave Region (867) 767-9167 Sahtu Region (867) 587-7100 South Slave Region (867) 872-6525 Related links Emergency Disaster Assistance Advance Program MACA Flooding Disaster Financial Assistance   For media requests, please contact: Todd Sasaki Spokesperson Department of Finance Government of the Northwest Territories Todd_Sasaki@gov.nt.ca"
3,2021-06-14,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/premier-cochrane-re-appointment-commissioner-margaret-thom,Government Website,Premier Cochrane on the re-appointment of Commissioner Margaret Thom,"Premier Cochrane issued the following statement on the re-appointment of Northwest Territories Commissioner Margaret Thom: “I want to congratulate Commissioner Margaret Thom on her re-appointment as Commissioner of the Northwest Territories by Prime Minister Justin Trudeau last week. “In the last 116 years, Commissioner Thom is only the third woman in the history of the Northwest Territories to hold the position. As a strong Dene woman from the Deh Cho region, Commissioner Thom has impacted the lives of many Northerners, especially in her home region. As an educator, counselor, facilitator, and volunteer, Commissioner Thom has dedicated her life to preserving Dene Zhatie and the Dene culture. A residential school survivor, Commissioner Thom has contributed to the health and wellness of Northerners in a variety of areas, including post-secondary education, community health, and mental health and addictions treatment, to name a few. She has supported her community and youth through her work as a school community counselor in Fort Providence, and as a program officer with the Deh Gah Got’ine First Nation.  “As our government has evolved over time, so has the role of the Commissioner. It was just over 30 years ago that the Commissioner would have been directly involved in the day-to-day operations of the Government of the Northwest Territories, holding many of the same responsibilities that I hold today. “In her role, Commissioner Thom represents the interests of the North, and the powerful symbol of her role that unites us as Northerners. The demands of being Commissioner require a person with unique characteristics. To represent and reflect their interests, the Commissioner needs to know and be in touch with people all across the Northwest Territories. “Commissioner Thom is just this person – she carries herself with dignity and dedication, and cares deeply about the institutions of government and her role. She rises above personal interest with such selflessness: a true representative of all residents of the Northwest Territories. “It has been an honour and privilege to work with Commissioner Thom, and I look forward to working with her over the next year.”"
3,2021-06-11,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/premier-cochranes-itinerary-week-june-13-2021,Government Website,"Premier Cochrane's Itinerary for the week of June 13, 2021 ","Premier Cochrane's Itinerary for the week of June 13, 2021 Issued June 11, 2021. If there are any changes, an updated version of the itinerary will be provided on June 16, 2021. Public Events and Meetings No public events or meetings are scheduled. Closed Events and Meetings The following events are closed to the media June 14 The Premier will be participating in the Northern Premiers’ Forum with Nunavut Premier Joe Savikataaq and Yukon Premier Sandy Silver. The Premier will be chairing a COVID-19 Committee of Cabinet meeting. The Premier will be Participating in a Child and Family Committee-of-Cabinet meeting. Internal meetings June 15 The Premier will be delivering opening remarks virtually at the Arctic Development Expo on June 15. The Premier will be participating in the Western Premiers’ Conference. Internal meetings June 16 Regular Business June 17 The Premier will be chairing a Cabinet meeting. Internal meetings June 18 Internal meetings All meetings and events subject to change.   For Ministerial Media Requests, Contact: Cabinet Communications 	Government of the Northwest Territoriespresssecretary@gov.nt.ca"
4,2021-06-10,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/nominations-open-2021-nwt-ministerial-literacy-awards,Government Website,Nominations Open for 2021 NWT Ministerial Literacy Awards,"The Department of Education, Culture and Employment (ECE), the Premiers of Canada Council of the Federation, and the NWT Literacy Council are pleased to be accepting nominations for the annual NWT Ministerial Literacy Awards. These awards provide an opportunity to honour the literacy achievements of youth and adult learners, exceptional educators, and organizations and businesses across the territory.  Up to nine literacy awards may be given each year, including eight Ministerial Literacy Awards and the Premiers of Canada Council of the Federation of Literacy Award for the NWT. Ministerial Literacy Awards include: ·       Youth Learner Literacy Award ·       Adult Learner Literacy Award ·       Youth Indigenous Language Champion Award ·       Outstanding NWT Educator Award ·       Outstanding Support for Literacy Development NWT Business Award ·       Second Language Learner Award ·       Supporting Literacy Through Technology Award ·       Outstanding Non-Profit Support for Literacy/Language Development Nomination forms are available on ECE’s website. or contact Deana Twissell to assist at deana_twissell@gov.nt.ca or 867 767-9309 ext 71375. Deadlines for 2021: ·       July 15, 2021 - Premiers of Canada Council of the Federation of Literacy Award nominations due ·       August 20, 2021 – Ministerial Literacy Awards nominations due This year the awards will be presented virtually.   For media requests, please contact: Communications and Public Affairs Education, Culture and Employment Government of the Northwest Territories ecepublicaffairs@gov.nt.ca"
5,2021-06-09,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/government-northwest-territories-introduces-new-step-step-approach-ending-pandemic,Government Website,Government of the Northwest Territories introduces new step-by-step approach to ending pandemic restrictions,"Today, the Government of the Northwest Territories (GNWT) released Emerging Wisely 2021: Step by Step Together, its plan for easing and ending pandemic restrictions. The plan outlines the public health restrictions that will be eased starting today. This plan sets specific targets based on vaccination levels in the NWT and across Canada as well as COVID-19 case counts. As these targets are reached, restrictions will be eased or discontinued until eventually no public health restrictions remain. Specific targets have been established based on an informed risk analysis and are outlined in the plan. The Chief Public Health Officer (CPHO) has determined, based on vaccination levels in the NWT, that it is now safe to ease restrictions on outdoor gatherings in the NWT.  Indoor gathering restrictions will be eased next. The CPHO is targeting the end of the current school year for this change to take effect. Waiting until the school year has finished will help to ensure that a level of safety remains in place for the most vulnerable population; children under 12-years-old.  Emerging Wisely 2021 – Step by Step Together also outlines changes to self-isolation requirements and travel restrictions in the NWT for both residents and out-of-territory leisure travellers. It is anticipated that the self-isolation period for fully vaccinated travellers may be eliminated by early summer. By fall, leisure travel is expected to resume and be open to all visitors without the need for an exemption. Quotes “Emerging Wisely 2021 – Step by Step Together is a plan tailored to the Northwest Territories and will provide a path forward so we can emerge from the pandemic, safely. This is an evidence-based plan built on data, rather than firm dates, and supports our efforts to ensure we make the best decisions for our residents. With this new plan, we are positioned to respond to the pandemic’s evolving nature and ease restrictions as conditions and information allow, enhance restrictions as required, and target restrictions as necessary.  - Caroline Cochrane, Premier “Our healthcare system is critical to the health and safety of NWT residents and it can’t be taken for granted. Whether you are healthy, or you are recovering from a COVID-19 infection, or you have been diagnosed with another illness, this plan protects all of us while allowing each of us to determine our own risk tolerance. We all need to continue to do our very best to understand the risk associated with the choices that we make, and how to stay safe while managing that risk.” - Julie Green, Minister of Health and Social Services “In the world of public health no one is safe until everyone is safe. While I understand that individual choice about these restrictions is valuable to residents, we will continue to work toward the common health of the entire NWT population. I am pleased to see vaccination levels rising and COVID-19 cases decreasing in other jurisdictions. You have done your part well, and we need to take cautious steps toward easing restrictions so that we can continue to keep our communities and residents safe.” - Dr. Kami Kandola, Chief Medial Health Officer Quick Facts The GNWT will now include community-level vaccination data on the GNWT dashboard each week along with regional and territorial coverage updates. It can be filtered by eligible population aged 18+, eligible population aged 12+, or overall population of the NWT, like in other jurisdictions. Beginning today, public health restrictions on outdoor gatherings will be relaxed for events up to 200 people if physical distancing is possible. By early summer, it is anticipated that self-isolation and testing requirements for domestic travellers will be eased. This will allow fully vaccinated travellers to travel without being required to self-isolate upon their return and will allow shortened self-isolation periods for partially vaccinated and unvaccinated travellers. By the fall of 2021, it is anticipated that all public health restrictions in the NWT will be lifted. Related links FAQ   For media requests, please contact: Dawn Ostrem 						Manager, COVID Communications Operations 						Health and Social Services 						COVID-19 Coordinating SecretariatDawn_Ostrem@gov.nt.ca"
6,2021-06-08,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/gnwt-releases-what-we-heard-report-round-1-engagement-public-land-act-regulations,Government Website,GNWT Releases What We Heard Report on Round 1 Engagement for the Public Land Act Regulations ,"The Department of Lands (the Department) has released a What We Heard Report following the first round of engagement on the development of the Public Land Act (PLA) regulations. The report provides a summary of feedback from the public and stakeholders and early ongoing engagement with Intergovernmental Council Secretariat members, Indigenous and community governments, and stakeholders. The Department received substantial input through an online engagement platform hosted on the Department’s webpage and through virtual meetings. The engagement page was visited a total of 2,600 times and received over 200 comments, questions, and survey responses. Engagement letters and correspondence were also sent to Indigenous governments, community governments, federal government departments, and non-governmental organizations. From December 10, 2020 to February 19, 2021, the Department sought feedback on issues with the current legislation, suggestions of what to consider in the new PLA regulations, and answers to specific questions regarding land pricing, tenure requirements, agriculture, quarry management and security requirements. Overall, participants expressed an interest in seeing new land administration regulations that provide greater public clarity, transparency, and consistency for dispositions of public land. The results of the round 1 engagement, along with cross-jurisdictional reviews and additional policy research will be used to help inform the development of the regulations to bring the new Public Land Act into force. Engagement with Intergovernmental Council Secretariat members, Indigenous and community governments, and stakeholders will be ongoing throughout the regulations development. The Department will be releasing the report on its website and sending a link of the report to the organizations that engaged with the Department between December 2020 and March 2021. The report can be viewed at: https://www.lands.gov.nt.ca/en/what-we-heard-public-land-act-regulations... Quote “I am very pleased to share the What We Heard Report for round 1 engagement for the Public Land Act regulations. All the feedback received is being analyzed and helping guide the drafting of the regulations. Developing new tools for managing land and natural resources is an ongoing commitment since devolution and these regulations are part of that ongoing work. The second round of public engagement is targeted for the Fall of 2021 or early 2022. This is an opportunity for NWT residents to contribute to decisions about NWT land and resources according to their priorities. -Shane Thompson, Minister of Lands   For media requests, please contact: Ashley Makohoniuk Manager, Communications Department of Lands Government of the Northwest Territories Ashley_Makohoniuk@gov.nt.ca (867) 767-9182 ext 24058"
7,2021-06-08,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/2021-persons-disabilities-accessibility-and-inclusion-awards-recipients,Government Website,2021 Persons with Disabilities Accessibility and Inclusion Awards Recipients,"Julie Green, Minister Responsible for Persons with Disabilities is pleased to announce the recipients of the 2021 Persons with Disabilities Inclusion Awards. The Persons with Disabilities Accessibility and Inclusion Awards Ceremony is hosted annually by the Minister Responsible for Persons with Disabilities and coincides with National AccessAbility Week. This year’s recipients are: The Minister Responsible for Persons with Disabilities’ Award for Accessibility and Inclusion: Laurie McLean, Yellowknife – For many years Laurie has been the force behind, and the leader of the Multiple Sclerosis (MS) Society of Canada, Yellowknife chapter, which she began in 2012. Laurie continues to volunteer tirelessly to advocate for and assist persons with MS. The NWT Disabilities Council Community Champion Award: Samantha Morandin, Yellowknife – Since 2018, Samantha has volunteered at the North Country Stables in Yellowknife where she provides horse riding lessons to youth with disabilities. Samantha’s efforts and commitment to providing equine-assisted therapy has enabled immense emotional and physical benefits for these youth as they learn to work with and care for horses. The Human Rights Commission Accessibility Award: Zhahti Koe Friendship Centre, Fort Providence – Through a culmination of community effort and generosity, the Zhahti Koe Friendship Centre was able to obtain an accessible van to assist persons with disabilities in Fort Providence to attend appointments and health services, thus making strides toward a more inclusive and accessible community. These awards provide an opportunity to recognize the compassion and commitment of the many outstanding volunteers, community members, and businesses who devote their time to enhancing the quality of life of those living with disabilities in the NWT. These individuals and businesses help all year long to make the NWT more inclusive and accessible. This year, because of COVID-19 restrictions, a special video was produced to celebrate the 2021 recipients. The video can be viewed on the Department of Health and Social Services website.  https://www.hss.gov.nt.ca/en/services/services-persons-disabilities/persons-disabilities-accessibility-and-inclusion-awards   Media Requests, please contact: Umesh Sutendra A/Manager of Communications 						Department of Health and Social Services 						Government of the Northwest Territories 						1-867-767-9090 ext. 49034 umesh_sutendra@gov.nt.ca"
8,2021-06-08,Canada,Northwest Territories,,https://www.gov.nt.ca//en/newsroom/premier-cochrane-announces-cabinet-portfolio-changes-support-government-priorities,Government Website,Premier Cochrane announces Cabinet portfolio changes to support government priorities ,"Premier Caroline Cochrane announced the following changes to portfolio assignments for Members of the Executive Council today: Hon. Shane Thompson: Minister of Municipal and Community Affairs, Minister Responsible for Youth Hon. Paulie Chinna: Minister Responsible for the Workers Safety and Compensation Commission. Both Ministers retain the other portfolios already assigned to them. Appointment orders are being prepared for the Commissioner’s signature and took effect at 5:00pm on Monday, June7, 2021. Quotes “As a Cabinet we have been faced with a number of challenges, including a pandemic and more recently floods. Housing is our government’s top priority, and these changes will help support our efforts to improve the quality of housing in the Northwest Territories, while ensuring other government priorities continue to move ahead. Ministers are looking forward to continuing to focus their attention on the needs of NWT residents and the priorities of the 19th Legislative Assembly.” -Caroline Cochrane, Premier of the Northwest Territories Quick Facts: Under the Legislative Assembly and Executive Council Act (LAEC Act), the Executive Council is composed of a Premier chosen by the Legislative Assembly and persons appointed by the Commissioner on the advice of the Legislative Assembly. The Commissioner, on the advice of the Premier, may appoint Ministers from among the Members of the Executive Council. The Commissioner may also revoke appointments as Minister on the advice of the Premier. The Executive Council is responsible for the overall management and direction of the executive government of the Northwest Territories, including matters of policy. Related Links Legislative Assembly and Executive Council Act Executive Council Submissions Handbook   For Media Requests, contact: Cabinet Communications Government of the Northwest Territories presssecretary@gov.nt.ca  "
