,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-11-04 12:40:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201104005,Government Website,"New Tancook Islands Ferry, Shorter Route Announced "," Residents of Little and Big Tancook Islands will benefit from a new car ferry, the province announced today, Nov. 4. The new vessel will provide shorter, more frequent trips and allow transport trucks and emergency response vehicles to access the islands. The province and the Government of Canada are each investing $4.9 million for a new 18-car ferry. The new vessel will replace the existing 38-year-old foot passenger ferry.  The Tancook Islands ferry departure route is also changing to accommodate a car ferry. The landing will move to Blandford, Lunenburg Co. from Chester. Travel time on the new route will drop from 50 to 30 minutes. The number of daily crossings will increase from four to about 11. “The new ferry will help ensure a safe and reliable service to residents and visitors of Tancook Islands,” said Transportation and Infrastructure Renewal Minister Lloyd Hines. “It will also improve access to essential services such as ambulances, as well as economic and tourism opportunities.”   Construction of the new car ferry is expected to start this winter with an estimated completion date of Spring 2022.  Quotes: Strong and modern infrastructure is an essential building block for healthy and prosperous rural communities. The Tancook Island ferry replacement will improve access to essential services for residents, while opening the community to new tourism and business opportunities. Bernadette Jordan, Minister of Fisheries, Oceans and Canadian Coast Guard, on behalf of Maryam Monsef, Minister for Women and Gender Equality and Rural Economic Development  Not only will a new car ferry bring better services to the islands from all levels of government and create economic opportunities, it shows commitment to rural Nova Scotia. It means a safe, reliable service for the residents of these islands and makes living here more attractive to future residents, ensuring the viability of these Islands for years to come. Jason Keddy, Captain of the Tancook Islands ferry    Quick Facts:  about 200 people live on the Tancook Islands the Tancook Islands ferry is currently a passenger-only ferry that makes four return trips daily, seven days a week from Chester the existing ferry is 39 years old Chester is not able to accommodate the new 18-car ferry Tancook Island ferry is one of three provincial ferries being replaced. Others include the Country Harbour ferry in Guysborough County and the Little Narrows ferry in Victoria County   -30- "
1,2020-11-04 12:08:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201104003,Government Website,Four New Cases of COVID-19 ," As of today, Nov. 4, Nova Scotia has 19 active cases of COVID-19. Four new cases were identified Tuesday, Nov. 3.  Two of the new cases are in Central Zone and travelled outside of Atlantic Canada together. The individuals are self-isolating, as required. The other two cases are in the Northern Zone and are household contacts of a previously reported case.  Nova Scotia Health Authority's labs completed 853 Nova Scotia tests on Nov. 3.  To date, Nova Scotia has 114,037 negative test results, 1,118 positive COVID-19 cases and 65 deaths. No one is currently in hospital. Cases range in age from under 10 to over 90. One thousand and thirty-four cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated.  Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)   Or:  Two or more of the following symptoms (new or worsening):  sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those individuals who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives -- practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
2,2020-11-04 11:42:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201104002,Government Website,COVID-19 Support for Municipalities ," Nova Scotians count on local governments to provide essential programs and services. That is why the province and the federal government are making sure municipalities have the resources they need during the pandemic. As part of the Safe Restart Agreement, municipalities in the province will receive $67.5 million today, Nov. 4, to help meet operating costs while impacted by lower revenue from transit and fees, as well as increased costs associated with COVID-19 infection prevention measures. “We know the pandemic has presented challenges to our municipalities and supporting our communities is critical if we are going to restart our economy while staying safe and healthy,” said Municipal Affairs and Housing Minister Chuck Porter. “I am grateful to the Nova Scotia Federation of Municipalities and the Association of Municipal Administrators Nova Scotia for working closely with us to understand the impact the pandemic is having on local governments, and to help address those needs.” In June, the Nova Scotia Federation of Municipalities published the COVID-19: Lost Revenue Report. Through a survey of municipal leaders, the report indicated local governments could have a $66.5 million revenue shortfall because of the pandemic.  Quote: Everyone worked hard on this outcome. Members of the federation worked hard to identify the dramatic revenue losses created by COVID-19 and the three levels of government pulled together in the best interest of the people we all serve. When we all work together, this is the success that is possible to support the growth and success of our communities. Pam Mood, president, Nova Scotia Federation of Municipalities    Quick Facts:  since April 1, government has invested more than $100 million in Nova Scotia municipalities, not including the funding announced today  funding includes $10 million for road paving and $500,000 for personal protective equipment the province has also created a $380 million low-cost operating loan program for municipalities    Additional Resources: List of funding for municipalities: https://novascotia.ca/coronavirus/docs/safe-restart-fund.pdf  COVID-19: Lost Revenue Report: https://www.nsfm.ca/1586-nsfm-covid-19-lost-revenue-report/file.html  Safe Restart Agreement News Release: https://novascotia.ca/news/release/?id=20200916006  Municipal Affairs and Housing Twitter Account: https://twitter.com/dma_ns   -30- "
3,2020-11-04 10:05:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201104001,Government Website,Province Continues Support for Film and Television Fund ," Film and television productions employ local tradespeople and film crews, develop local creative talent and showcase the province on the world stage. That is why government is continuing the Nova Scotia Film and Television Production Incentive Fund for another five years, until 2025-26. “The fund is doing what it was designed to do – encouraging productions and supporting and expanding our local creative industry,” said Geoff MacLellan, Minister of Business. “Nova Scotia is home to some of the country’s best film producers, screenwriters and technicians and we want to keep them here. We recognize the important positive contribution of the creative economy to our province and we’re pleased to provide the industry some certainty by continuing this fund for the next five years.” Film and television productions provide employment opportunities for over 100 Nova Scotia producers and more than 800 production technicians and 600 professional performers from the Atlantic region. The Nova Scotia screen industry is currently experiencing an upswing because of the province’s low COVID-19 case numbers. Nova Scotia invested $77.5 million in 162 film and television projects in the past four years through the incentive fund. That investment resulted in $292 million in production spending, supporting important economic contributors such as salaries, taxes and the sale of local goods and services. The fund was established in 2015.  Quotes: We’re pleased by the government’s decision. It reflects its understanding that before, during and after this time of crisis, the film and television industry is one that can be relied upon to generate economic gains for the province, contributing to economic recovery. The film and television industry in Nova Scotia creates jobs and injects both domestic and foreign investment into the payroll of Nova Scotians and locally owned small businesses – the heart of our economy. Laura Mackenzie, executive director, Screen Nova Scotia  Shows like Diggstown generate provincial return on investment; they grow a young tech-savvy crew and they showcase Nova Scotia to the world. The incentive fund is one of the most important tools in our industry toolbox. The fund makes it possible for us to compete globally. It helps us bring interprovincial and foreign investment into the province and then allows us to export the product we create – TV shows and movies – to the world. Karen Wentzell, producer, Diggstown    Quick Facts:  the fund was established as a financial incentive for eligible productions, based on expenditures within Nova Scotia and is designed to stimulate and support the production of projects in the province since 2015, Nova Scotia has been home to the critically acclaimed feature film The Lighthouse, television shows This Hour Has 22 Minutes, Diggstown, The Curse of Oak Island, Feudal and Hope for Wildlife, and Netflix production Locke and Key supporting the film industry is an action in the province’s Cultural Action Plan    Additional Resources: Nova Scotia Film and Television Incentive Production Fund: https://www.novascotiabusiness.com/do-business/film-television-production/nova-scotia-film-television-production-incentive-fund Approved film productions: https://www.novascotiabusiness.com/news/film-productions-announced Film fund accountability reporting: https://beta.novascotia.ca/accountability-reporting-government-investment-funds  -30- "
4,2020-11-03 12:40:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201103003,Government Website,One New Case of COVID-19 ," As of today, Nov. 3, Nova Scotia has 16 active cases of COVID-19. One new case was identified Monday, Nov. 2.  The new case is in the Northern Zone and is currently under investigation by public health. Nova Scotia Health Authority’s lab is updating their system and the complete number of Nova Scotia tests, number of negative test results and hospitalization data is not currently available. Please visit https://novascotia.ca/coronavirus/data/ later today to get the most up-to-date data. To date, Nova Scotia has 1,114 positive COVID-19 cases and 65 deaths. Cases range in age from under 10 to over 90. One thousand and thirty-three cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated in Panorama.  Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)   Or:  Two or more of the following symptoms (new or worsening):  sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those individuals who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives -- practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
5,2020-11-03 11:10:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201103001,Government Website,School Gyms to Reopen for Community Physical Activity and Sports ," Following a safe and successful start to the school year and with appropriate measures in place, Nova Scotia public school gyms will gradually reopen to community groups for physical activity and sports. “We know the important role school facilities have in our communities and we’ve been working to ensure we can safely reopen to community access,” said Zach Churchill, Minister of Education and Early Childhood Development. “Physical activity and sport are vital to our well-being, particularly during this difficult time. As the weather turns cold, it’s important for community members to have safe spaces to bring these activities indoors.” Community access will be restricted to gyms and washrooms. Nova Scotia is allotting $5.5 million of federal funding from the Safe Return to Class Fund so regional centres for education and Conseil scolaire acadien provincial can hire additional staff and ensure that access is contained to the appropriate area of the school. The additional cleaning also ensures students will come back to schools that have been cleaned in accordance with public health COVID-19 protocols following a community sporting activity.  To ensure equitable access to facilities, rental fees are being waived for this school year. Regional centres for education and Conseil scolaire acadien provincial have posted a list of school gyms now open for bookings on their websites. These lists will be updated as more schools become available.  Quotes: Sport Nova Scotia is pleased to see that school gyms will once again be opened up for community use. Countless sport organizations rely on these facilities in order to provide sport programs for thousands of people across the province. We appreciate the work that has been done by all parties to ensure our children will once again be able to safely participate in sport and reap the physical, mental and social benefits sport can provide. Jamie Ferguson, chief executive officer, Sport Nova Scotia  The vast majority of volleyball clubs in Nova Scotia use school gyms to offer their programming and I can tell you they are incredibly excited about getting back into schools. We're especially happy for our youth, as we all know sport helps children grow into amazing leaders and outstanding members of the community. Thank you to everyone who helped make this possible. Jason Trepanier, executive director, Volleyball Nova Scotia  Basketball Nova Scotia is thrilled with the announcement to allow community access to our schools. The benefits of sport are crucial parts of our physical, mental and social well-being, key factors in helping us all cope with COVID-19. The majority of our groups use our schools across the province to facilitate programming and this will allow our clubs and leagues to get back on court safely. Katherine Brien, executive director, Basketball Nova Scotia  We can't overstate the importance of school gymnasium access to the sport of soccer throughout many communities in Nova Scotia. Community access to school gyms will allow many children the opportunity to participate in the game they love, while benefiting from the physical, mental and social aspects of our game. Thank you to everyone that played a role in making this happen. Brad Lawlor, executive director, Soccer Nova Scotia    Quick Facts:  following Nova Scotia’s back to school plan, only essential adults will be permitted in schools during community use. This includes players/participants, officials, coaches, instructors or anyone else who is required to be on or near the field of play    Additional Resources: Regional Centres for Education and Conseil scolaire acadien provincial: https://www.ednet.ns.ca/our-schools-regional-centres-education Nova Scotia Back to School Plan: https://novascotia.ca/coronavirus/docs/back-to-school-plan.pdf Nova Scotia Back to School site: https://www.novascotia.ca/backtoschool  -30- "
6,2020-11-02 12:59:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201102001,Government Website,Two New Cases of COVID-19 ," As of today, Nov. 2, Nova Scotia has 15 active cases of COVID-19. Two new cases were identified Sunday, Nov. 1.  The new cases are related to travel outside of Atlantic Canada. One is a person in the Northern Zone who self-isolated, as required. The other case is in the Central Zone and is connected to the two cases reported Sunday, Nov. 1. Those three linked cases remain under investigation.  Nova Scotia Health Authority's labs completed 466 Nova Scotia tests on Nov. 1.  To date, Nova Scotia has 112,750 negative test results, 1,113 positive COVID-19 cases and 65 deaths. No one is currently in hospital. Cases range in age from under 10 to over 90. One thousand and thirty-three cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated in Panorama.  Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)  Or: Two or more of the following symptoms (new or worsening): sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those people who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives -- practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
7,2020-11-01 12:24:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201101001,Government Website,Two New Cases of COVID-19 ," As of today, Nov. 1, Nova Scotia has 13 active cases of COVID-19. Two new cases were identified Saturday, Oct. 31.  The new cases are in Central Zone and are under investigation. Nova Scotia Health Authority's labs completed 554 Nova Scotia tests on Oct. 31.  To date, Nova Scotia has 112,339 negative test results, 1,111 positive COVID-19 cases and 65 deaths. No one is currently in hospital. Cases range in age from under 10 to over 90. One thousand and thirty-three cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated in Panorama.  Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)  Or: Two or more of the following symptoms (new or worsening): sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those individuals who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives -- practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
8,2020-10-31 12:12:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201031001,Government Website,Five New Cases of COVID-19 ," As of today, Oct. 31, Nova Scotia has 11 active cases of COVID-19. Five new cases were identified Friday, Oct. 30.  Of the new cases, two are in the Western Zone, two are in Northern Zone and one in Central Zone. Four are related to travel outside Atlantic Canada and one is related to a previous case. All have been self-isolating as required. “These new cases show that with the second COVID-19 wave happening, travel outside the Atlantic Bubble is more risky,” said Dr. Robert Strang, chief medical officer of health for Nova Scotia. “Our recent new cases are all related to travel. Nova Scotians should reduce non-essential travel outside of the Atlantic Bubble. In addition, having all Nova Scotians following the public health measures reduces the chance of the virus spreading when it does get here.” Nova Scotia Health Authority's labs completed 652 Nova Scotia tests on Oct. 30.  To date, Nova Scotia has 111,911 negative test results, 1,109 positive COVID-19 cases and 65 deaths. No one is currently in hospital. Cases range in age from under 10 to over 90. One thousand and thirty-three cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated in Panorama.  Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)  Or: Two or more of the following symptoms (new or worsening): sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those individuals who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives -- practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
9,2020-10-30 14:59:00,Canada,Nova Scotia,,https://novascotia.ca/news/release/?id=20201030005,Government Website,"Two New Cases of COVID-19, State of Emergency Renewed "," As of today, Oct. 30, Nova Scotia has six active cases of COVID-19. Two new cases were identified Thursday, Oct. 29.  The two new cases are in the Northern Zone and are related to travel outside Atlantic Canada. One individual has been in self-isolation since returning to the province, as required. The other individual was not required to self-isolate under the Health Protection Act Order, but did self-isolate as symptoms developed. The order allows workers who are essential to the movement of people and goods and who must enter Nova Scotia as part of their work, to be exempt from the requirement to self-isolate. Nova Scotia Health Authority's labs completed 950 Nova Scotia tests on Oct. 29.  To date, Nova Scotia has 111,395 negative test results, 1,104 positive COVID-19 cases and 65 deaths. No one is currently in hospital. Cases range in age from under 10 to over 90. One thousand and thirty-three cases are now resolved. Cases have been identified in all parts of the province. Cumulative cases by zone may change as data is updated in Panorama.  The province is renewing the state of emergency to protect the health and safety of Nova Scotians and ensure safety measures and other important actions can continue. The order will take effect at noon Sunday, Nov. 1 and extend to noon Sunday, Nov. 15, unless government terminates or extends it. Visit https://covid-self-assessment.novascotia.ca/ to do a self-assessment if in the past 48 hours you have had or you are currently experiencing:  fever (i.e. chills/sweats) or cough (new or worsening)  Or: Two or more of the following symptoms (new or worsening): sore throat runny nose/ nasal congestion headache shortness of breath  Call 811 if you cannot access the online self-assessment or wish to speak with a nurse about your symptoms. When a new case of COVID-19 is confirmed, public health works to identify and test people who may have come in close contact with that person. Those individuals who have been confirmed are being directed to self-isolate at home, away from the public, for 14 days. Anyone who has travelled outside of Atlantic Canada must self-isolate for 14 days. As always, any Nova Scotian who develops symptoms of acute respiratory illness should limit their contact with others until they feel better.  It remains important for Nova Scotians to strictly adhere to the public health order and directives - practise good hand washing and other hygiene steps, maintain a physical distance when and where required. Wearing a non-medical mask is mandatory in most indoor public places. As of July 3, interprovincial travel within Nova Scotia, New Brunswick, Prince Edward Island and Newfoundland and Labrador, without the requirement to self-isolate for permanent Atlantic Canadian residents, is permitted. All public health directives of each province must be followed. Under Nova Scotia's Health Protection Act order, visitors from other Canadian provinces and territories must self-isolate for 14 days. Other visitors from outside the Atlantic provinces who have self-isolated for 14 days in another Atlantic province may travel to Nova Scotia without self-isolating again. On Oct. 22, New Brunswick announced further restrictions related to a COVID-19 outbreak in the Campbellton-Restigouche region of northern New Brunswick. Nova Scotians should avoid unnecessary travel to that area.  Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at https://novascotia.ca/coronavirus . Businesses and other organizations can find information to help them safely reopen at https://novascotia.ca/reopening-nova-scotia .  Quick Facts:  testing numbers are updated daily at https://novascotia.ca/coronavirus a state of emergency was declared under the Emergency Management Act on March 22 and extended to Nov. 15 online booking for COVID-19 testing appointments is available for Nova Scotians getting a test through primary assessment centres in the Central Zone or at the IWK Health Centre in Halifax    Additional Resources: Government of Canada: https://canada.ca/coronavirus Government of Canada information line 1-833-784-4397 (toll-free) The Mental Health Provincial Crisis Line is available 24/7 to anyone experiencing a mental health or addictions crisis, or someone concerned about them, by calling 1-888-429-8167 (toll-free) Kids Help Phone is available 24/7 by calling 1-800-668-6868 (toll-free) For help or information about domestic violence 24/7, call 1-855-225-0220 (toll-free) For more information about COVID-19 testing and online booking, visit https://novascotia.ca/coronavirus/symptoms-and-testing/ The COVID-19 self-assessment is at https://covid-self-assessment.novascotia.ca/  -30- "
