,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-09-24,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/statement-premier-king-federal-speech-throne,Government Website,Statement by Premier King on Federal Speech from the Throne,"   Breaking      Prince Edward Island Premier Dennis King issued the following statement in response to the federal Throne Speech:  		  		“Collectively, as a federation, we need to continue to work together to ensure the safety and wellbeing of Canadians from the COVID-19 virus, while at the same time rebuilding our country. We can only do this if we work together as a country and as leaders. The Speech from the Throne shows that the federal government is willing to continue to invest in and support Canadians at a time when there is so much uncertainty ahead. For the past six months during our weekly First Minister’s calls, I have been advocating for supports that will help Islanders navigate these challenging times, and I am pleased to see reference to these issues. These supports include the extension of the Canadian Emergency Wage Subsidy (CEWS), sector specific funding for industries such as tourism, increased funding for expanding access to high speed internet, and the need to modernize our employment insurance program. These supports will help communities, businesses, and everyday Islanders in the months ahead. As we rebuild as a country, we need to commit to a more sustainable future. We need our federal government’s support for industries such as tourism, fisheries, agriculture and clean energy to ensure these industries are resilient and continue to be key pillars of our economy for years to come. Climate change drastically impacts these key economic drivers and I will continue to advocate to the federal government for the need to rebuild these industries to be more resilient in the face of a changing climate.   For the past number of years, we have led the country when it comes to early childhood and childcare. I look forward to working with the federal government on a national early learning and childcare system, to enhance what already exists in our province and further support young families on Prince Edward Island.  Canadians got us to where we are today – both historically and during this pandemic – by staying united.  Collectively, we need to continue to address gender inequality, racism, and work towards reconciliation with our indigenous communities. Our federal government reaffirmed their commitment to work with provinces and Canadians to address these, and other inequities in our country.  Last, I look forward to future discussions among my provincial counterparts and our federal government on more stable and sustained health care funding and reaching a long-term agreement on the Canadian Health Transfer in advance of the next fiscal year.”   Media Contact:  	Amanda Hamel 	Executive Director, Communications and Public Affairs 	Office of the Premier 	(902) 368-4400ahamel@gov.pe.ca       Share this page:Email this page to a friend   "
1,2020-09-24,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/pei-emergency-measures-organizations-returns-normal-operations,Government Website,PEI Emergency Measures Organizations returns to normal operations,"   Islanders experienced minimal impacts due to post-tropical storm Teddy. As of this morning, PEI EMO returned their operations to routine monitoring.  “I am very proud of how seriously Islanders took EMO’s advice. Today, we’re all breathing a sigh of relief that Teddy was not as damaging as it could have been. We still have many weeks left in the hurricane season so we should all have plans in place to stay safe. It never hurts to be prepared for an emergency.”   Minister of Justice and Public Safety, Bloyce Thompson.   The PEI Emergency Measures Organization monitors for any situations that may put residents’ lives, environment or economy at risk and utilizes the four phases of emergency management to address those situations as needed. “We learned a great deal from last year’s hurricane season and are continually looking at ways to doing things differently. As PEI EMO goes back to routine monitoring, we continue to encourage Islanders to regularly check on their household preparedness plans,” adds Tanya Mullally, Provincial Emergency Management Coordinator.  The Province thanks all Islanders, municipalities, community organizations, public utilities, firefighters, law enforcement, Island EMS and peace officers for their hard work preparing and supporting the minimal impacts of post-tropical storm Teddy. Learn more about the PEI Emergency Measures Organization Media contact: 	Vicki Tse 	Department of Justice and Public Safetyvickitse@gov.pe.ca  	       Share this page:Email this page to a friend   "
2,2020-09-24,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/pei-welcomes-new-rheumatologist,Government Website,PEI welcomes new rheumatologist,"   Prince Edward Island is honoring September as Arthritis Awareness Month and celebrating with the addition of a new rheumatologist. Dr. Stephen Morais began caring for Island patients earlier this month at his Charlottetown office.   “Dr. Morais is highly skilled and qualified and he will be a valuable addition to the health care team here in Prince Edward Island. One in five Islanders lives with arthritis and it is extremely important that Islanders have access to the best possible care and treatment for this chronic disease.”  - Health and Wellness Minister James Aylward  Among many impressive academic milestones, Dr. Morais most recently completed his Rheumatology Fellowship at the University of Massachusetts Medical School and a Critical Care Medicine Fellowship at Dartmouth Hitchcock Medical Centre in New Hampshire. “There are many forms of arthritis, all of which can have a profound effect on quality of life and overall health,” said Dr. Morais. “I’m excited to be back home on PEI providing this service to patients and their health care providers.” September is Arthritis Awareness Month across Canada and the Arthritis Society is encouraging everyone living with arthritis to raise awareness with the slogan, “Arthritis Won’t Stop Me.” More than 27,000 Islanders of all ages live with the devastating effects of the disease. ”The Arthritis Society believes patients need access to arthritis care where they live and we are thrilled that the provincial government  supported the addition of Dr. Morais to provide that care for Islanders with inflammatory arthritis,” says Jone Mitchell, executive director, Arthritis Society, Atlantic Region. For more information on Arthritis Awareness Month visit the Arthritis Society. Media contact: 	Samantha Hughes 	Senior Communications Officer 	Health and Wellness 	(902) 368-5610shughes@gov.pe.ca      Share this page:Email this page to a friend   "
3,2020-09-24,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/support-healthy-island-forests-healthy-future,Government Website,Support healthy Island forests for a healthy future,"                 As part of National Forest Week, Islanders are encouraged to take time to recognize the importance of Island forests and trees to their own health and the Island’s future.  “National Forest Week is a time for all Islanders to appreciate the great benefits that trees provide us – clean air, wildlife habitat, renewable forest products, reducing energy demand and connecting with nature. Fall is a great time to plant some trees or just appreciate their beauty. Every tree we plant leaves a better Island for future generations.” - Environment, Water and Climate Change Minister Natalie Jameson  Prince Edward Island has one of the most diverse provincial tree nurseries in Canada. The J. Frank Gaudet Tree Nursery grows more than two dozen species of native trees and shrubs for reforestation and watershed enhancement efforts across PEI. In the past year, the Department of Environment, Water and Climate Change has partnered with local watershed groups,  municipalities, schools, kindergartens, day cares, churches and community groups to see trees planted for a variety of purposes. To monitor the Island’s forests, the 2020 Corporate Land Use Inventory is currently underway to map every inch of the Island and all its land uses.  This work will help government assess the current state of Prince Edward Island’s forests and plan for the future. Healthy forests require the involvement of all Islanders, especially those who own forested land.  The department has programs that provide technical advice and financial assistance to landowners such as the Forest Enhancement Program. The Province also recognizes the important role forests play in mitigating climate change.  The Carbon Capture Tree Planting Program is designed for landowners willing to plant cleared land, so it will become a future forest. This program is financially support by the Province of Prince Edward Island and Environment and Climate Change Canada. Most of Prince Edward Island is private land, but there are about 30,000 hectares of public land that are open for people to explore, which include forests, ponds, bogs, marshes and other areas where people can reconnect with nature.  Learn more about these lands at Public Lands  here and find them on the Public Land Atlas. 	 Media contact: 	Leanne Ritchie 	Department of Environment, Water and Climate Change 	(902) 314-0134lpritchie@gov.pe.ca      Share this page:Email this page to a friend   "
4,2020-09-23,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/gender-equality-makes-prince-edward-island-stronger,Government Website,Gender equality makes Prince Edward Island stronger,"   Islanders are encouraged to recognize and support women and the contributions they make to the growth, development and character of Prince Edward Island as part of Gender Equality Week. September 20 to 26, 2020 is Gender Equality Week in Canada. This year’s theme, #BecauseOfYou, celebrates the many trailblazers, activists and advocates who are working to advance gender equality in their communities. Minister Responsible for the Status of Women, Natalie Jameson encourages everyone across the province to join the national conversation #BecauseOfYou.  “Many of us have people in our lives who have inspired us to make our province a better, more equitable place to live. This is a great opportunity to acknowledge their leadership and positive impact. - Minister Responsible for the Status of Women, Natalie Jameson  One of motivators in establishing Gender Equality Week was to increase awareness of the significant and substantive contributions that Canadian women have made and continue to make to the growth, development, character and identity of Canada.  The Gender Equality Week Act recognizes that challenges faced by Canadian women are also experienced by individuals of minority gender identity and expression. The Act encourages all Canadians, in particular men and those who do not identify as women, to become and remain engaged, during Gender Equality Week and throughout the year, in achieving greater inclusiveness and full gender equality in Canada. For more information about Gender Equality Week and this year's #BecauseOfYou campaign, visit: Status of Women Canada. Media contact: 	Leanne Ritchie 	Department of Environment, Water and Climate Change and Status of Women 	902-314-0134lpritchie@gov.pe.ca       Share this page:Email this page to a friend   "
5,2020-09-23,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/one-new-positive-covid-19-case-pei,Government Website,One new positive COVID-19 case in PEI,"   Prince Edward Island’s Chief Public Health Officer, Dr. Heather Morrison, has confirmed one new positive case of COVID-19 in province. The individual is a woman in her 20s, who travelled internationally to Prince Edward Island for work that is non-health care related. She has been in self-isolation since arriving in PEI on September 20. She underwent routine testing as part of the standard public health protocols in place for individuals who arrive in the province from outside the Atlantic travel bubble. She is doing well and remains in self-isolation. Contact tracing of close contacts is completed.  The individual traveled from Vancouver to Charlottetown with Air Canada. She departed Vancouver on September 19 on Air Canada flight AC128, arriving in Toronto on September 20. She then flew to Charlottetown the same day on Air Canada flight AC7460.  The Chief Public Health Office has been in communication with the airline and, out of an abundance of caution, all passengers who travelled on these flights should monitor for symptoms. If any passengers develop symptoms of COVID-19 they should visit a Drop-in Testing Clinic to be tested. At this point, there is no evidence of community spread of COVID-19 in Prince Edward Island and the risk of transmission in the province remains low. Prince Edward Island has had a total of 58 positive cases of COVID-19 since the onset of the pandemic. All cases to date have been travel-related. Information about the province’s COVID-19 cases is available online. Backgrounder:  The Chief Public Health Office continues to work closely with the federal government, provincial and territorial counterparts, government departments and Health PEI to monitor the pandemic situation and prepare for all COVID-19 related impacts to the province, including health, social and economic. The public health risk of COVID-19 is continually reassessed and Islanders will be updated as new information becomes available. Everyone is encouraged to follow routine prevention measures: Washing hands frequently with soap and water Cough and sneeze into your elbow or a tissue Stay home if you are not feeling well Limit touching your eyes, nose and mouth Keep your circle of contacts small Wear a mask in closed, indoor public spaces Maintain a distance of two meters from others as much as possible Don’t share items like drinking glasses and water bottles Frequently clean surfaces like taps, doorknobs and countertops Media Contact: 	Samantha Hughes 	Health and Wellnessshughes@gov.pe.ca       Share this page:Email this page to a friend   "
6,2020-09-23,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/pei-emergency-measures-organizations-prepares-recovery-efforts,Government Website,PEI Emergency Measures Organizations prepares for recovery efforts,"   Government, public utilities, road crews and municipal partners continue to work together to shift from preparedness to potential recovery efforts across Island communities.  Post-tropical storm Teddy continues to impact communities across the province. Islanders are encouraged to remain vigilant and to stay home as much as possible until the impacts of the post-tropical storm are understood. The safety and wellbeing of Islanders remains a top priority. Provincial road crews, municipal and community partners are ready to begin an on the ground assessment of Teddy’s impacts and begin restoration work, if needed, as early as tomorrow morning. Key activities include: Road crews will be clearing the provincial roads of potential debris; Schools in the Public School Branch and La Commission scolaire de langue française are closed for the day; Island Waste Management deferred regular Wednesday curbside pickup for the Eastern Region to Saturday; Confederation Bridge implemented high-sided vehicle restrictions; Northumberland Ferries cancelled sailings for the day; and Emergency Measures Organization will continue to work closely with municipalities and help Islanders locate their reception centre, if operational.   PEI EMO continues to support public utilities like Maritime Electric, Bell Alliant and Eastlink on an expedited travel process for out of region crews if needed for restoration efforts. Crews arriving from outside of the Atlantic region would be required to follow all public health measures and to work-isolate for the duration of their time in Prince Edward Island. In the coming days, depending on the impacts of post-tropical storm Teddy, Islanders are reminded to: Use generators safely outside only and at least five feet away from anything that can catch fire, and always allow them to cool before refueling;  Contact your local municipality for reception centre openings and closures; Call ahead to confirm any health appointments before traveling; Take photos and videos to use when reporting damages to your insurance company; Always call 911 in case of any emergency; and Get reliable information from local media, @peipublicsafety on Facebook and Twitter, as well as municipal and community social media pages.  The Province is thankful to all first responders such as law enforcement, Island EMS and firefighters and to municipalities, community partners and Islanders who are all working together to support the provincial recovery efforts for post-tropical storm Teddy.  For the latest information on the provincial storm response, visit Storm Response. Media contact: 	Vicki Tse 	Department of Justice and Public Safetyvickitse@gov.pe.ca      Share this page:Email this page to a friend   "
7,2020-09-22,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/chief-public-health-office-looks-ahead-new-normal-pei,Government Website,Chief Public Health Office looks ahead to ‘new normal’ for PEI,"   Chief Public Health Officer, Dr. Heather Morrison, says continuing to follow public health measures is key as we continue to manage COVID-19 and look ahead to the ‘new normal.’ Islanders are reminded that they should only travel outside of the Atlantic Bubble for essential reasons. Dr. Morrison recognized that as more Islanders return to work, many of them may be required to travel outside of the Atlantic Bubble for their work. With this in mind, Islanders are reminded to follow self-isolation protocols when returning to the province from outside the Atlantic Bubble.  Individuals who can work from home throughout the 14-day self-isolation period should have a plan in place for contactless delivery of essentials during this period of time. Individuals who must return to work following travel outside the Atlantic Bubble (but within Canada), must follow work-isolation protocols and public health measures, including: self-isolating when not at the workplace, monitoring for symptoms of COVID-19, physical distancing as much as possible, wearing a non-medical mask when at work, and have a plan in place for contactless delivery of essentials.  Islanders who are rotational workers (those who travel frequently or routinely outside the Atlantic Bubble (within Canada), spending at least half of their time working outside of Atlantic Canada), do not need to self-isolate or work-isolate. Instead, rotational workers must be tested on a regular basis, monitor for symptoms and follow public health measures such as physical distancing, frequent hand washing and wearing a non-medical mask when physical distancing is not possible. This protocol has been in place since the early onset of the pandemic to balance an acceptable risk of transmission with the need for rotational workers to see their families for the limited time they are home. Effective October 1, individuals who work outside of the Atlantic Bubble (within Canada) who are required to work outside of their home upon return to PEI can apply to work-isolate, via a self-declaration form that will be available on the provincial website. A letter from the worker’s employer indicating their schedule is required. More information on the work-isolate declaration will be available online early next week.  Anyone experiencing symptoms related to COVID-19, can access drop-in testing clinics for a test. These clinics do not require a call to 8-1-1 or an appointment. New guidance documents have been added to the Renew PEI, Together webpage, including: multiple gatherings; sports and recreational activities; school outbreaks; CPHO school directives; and holiday guidance.  Holiday guidance permits door-to-door trick-or-treating, but with precautions in place. Children should only visit households in their neighborhood/apartment building and those that they know; no contact treat pick up is recommended; and be respectful of households that do not wish to participate this year.  	 Backgrounder:  The Chief Public Health Office continues to work closely with the federal government, provincial and territorial counterparts, government departments and Health PEI to monitor the pandemic situation and prepare for all COVID-19 related impacts to the province, including health, social and economic. The public health risk of COVID-19 is continually reassessed and Islanders will be updated as new information becomes available. Everyone is encouraged to follow routine prevention measures: 	•    Washing hands frequently with soap and water 	•    Cough and sneeze into your elbow or a tissue 	•    Stay home if you are not feeling well 	•    Limit touching your eyes, nose and mouth 	•    Keep your circle of contacts small 	•    Wear a mask in closed, indoor public spaces 	•    Maintain a distance of two meters from others as much as possible 	•    Don’t share items like drinking glasses and water bottles 	•    Frequently clean surfaces like taps, doorknobs and countertops   Media Contact: 	Samantha Hughes 	Health and Wellnessshughes@gov.pe.ca  	       Share this page:Email this page to a friend   "
8,2020-09-22,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/environmental-health-professionals-recognized,Government Website,Environmental Health Professionals recognized,"                 Every day environmental health professionals are working across Prince Edward Island to proactively protect the health and safety of Islanders from disease and injury.  Environmental Health Officers are being recognized all over Canada as part of Environmental Public Health Week, September 21 to 25, 2020. The national campaign is headed by the Canadian Institute of Public Health Inspectors (CIPHI). This year’s theme is Public Health is a Collective Effort.   “Environmental health officers work together with the industry and facility operators to reduce the chance of illness and to prevent disease in PEI. They provide a tremendous support to the Chief Public Health Office and play a big role in protecting the health of Islanders.”   - Health and Wellness Minister James Aylward  The work of environmental health professionals often goes unnoticed until a crisis arises, such as the COVID-19 pandemic.  Environmental health professionals are dedicated individuals, committed to promoting and protecting the health and safety of Islanders, especially during these uncertain times.  These professionals are working the front line of the COVID-19 pandemic response led by the Chief Public Health Office.   In PEI, there are 11 Environmental Health Officers involved in inspection, enforcement and education activities in a wide variety of settings and service areas. Some of these areas include: food premises, recreational water, long term care facilities, childcare facilities, personal services, drinking water systems, sewage systems, air quality, and rental accommodations.   In addition to routine work duties, Environmental Health Officers have been deployed as front line staff for the Chief Public Health Office as part of the response to the COVID-19 pandemic.  “Our Environmental Health Officers have been instrumental throughout the response to the COVID-19 pandemic as they have a distinct skill set to complete risk assessments, enforce regulations and provide education, often simultaneously,” said Dr. Morrison.  Additional duties have included: completing COVID inspections at PEI businesses; reviewing and approving COVID-19 operational plans;   responding to COVID-19 concerns and complaints from Islanders and local businesses;   completing health screenings of travelers at all entry points to PEI and identifying when self-isolation is required; providing infection prevention and control guidance and support to Islanders and businesses.   Environmental Health Officers in PEI hold national certification with the Canadian Institute of Public Health Inspectors.  As part of this certification, all have achieved the education, training and testing requirements as designated by the national organization.  They must complete yearly professional development hours to maintain their certification.  Media contact: 	Samantha Hughes 	Senior Communications Officer 	Health and Wellness 	(902) 368-5610shughes@gov.pe.ca      Share this page:Email this page to a friend   "
9,2020-09-21,Canada,Prince Edward Island,,https://www.princeedwardisland.ca/en/news/keep-yourself-and-your-homes-safe-easy-fire-prevention-steps,Government Website,Keep yourself and your homes safe with easy fire prevention steps,"   Taking easy fire prevention measures at home can help save lives, homes and personal property. After a particularly dry summer, with recent fires and in preparation for Hurricane Teddy, Islanders are reminded to take fire prevention measures to keep themselves and their homes safe.  “A fire can start from a single ember. We all can do our part to keep ourselves and our homes safe by taking simple steps,” said David Rossiter, PEI Fire Marshal. “With Teddy arriving this week, it’s a good reminder for us all to check our smoke and carbon monoxide alarms. It will be especially important to practice safe generator use and to be extra careful with candles and cooking appliances if we experience any power outages.”  Easy fire measures can include: Regularly changing batteries for all smoke and carbon monoxide alarms. Practicing home fire drills with all household members. Keeping anything that can burn at least three feet away from heating equipment. Never leaving any cooking appliance unattended. Keeping matches and lighters out of reach and out of sight of children. Properly disposing of any ignition source materials  Having any heating equipment or generators installed by professionals and scheduling regular maintenance. To learn more about fire prevention, visit: Fire Prevention Resources. Media contact: 	Vicki Tse 	Department of Justice and Public Safetyvickitse@gov.pe.ca      Share this page:Email this page to a friend   "
