,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-08-14,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/14/covid-19-update-august-14,Government Website,"COVID-19 Update: 30 New Cases, 10 In Hospital, 22 More Recoveries"," Released on August 14, 2020 There are 30 new cases of COVID-19 to report in Saskatchewan on August 14, bringing the total to 1,541 total cases.  The new cases are located in the North Central (1), South West (23) and South Central (6) regions.  One case is pending residence information.  Of the 1,541 reported cases, 174 are considered active.  A total of 1,347 people have recovered.  Ten people are in hospital.  Five people are receiving inpatient care; three in Saskatoon, one in Regina and one in the North Central region.  Five people are in intensive care; three in Saskatoon, one in the North Central region and one in the South West.  All of today’s 30 new cases and 108 of 174 active cases are in communal living settings.    Of the 1,541 cases in the province:  220 cases are travellers; 788 are community contacts (including mass gatherings); 435 have no known exposures; and 98 are under investigation by local public health.  Overall in Saskatchewan:  64 cases are healthcare workers; however, the source of the infections may not be related to healthcare in all instances. There are:      388 cases are from the south area (201 south west, 176 south central, 11 south east); 352 cases are from the far north area (346 far north west, 0 far north central, 6 far north east); 245 cases are from the Saskatoon area; 234 cases are from the north area (101 north west, 68 north central, 65 north east); 190 cases are from the central area (160 central west, 30 central east); 131 cases are from the Regina area; and One case is pending residence information.    252 cases involve people 19 years of age and under, while the remainder are adults. 486 cases are in the 20-39 age range; 486 are in the 40-59 age range; 262 are in the 60-79 age range; and 55 are in the 80-plus range. 51 per cent of the cases are females and 49 per cent are males. 20 deaths related to COVID-19 have been reported to date.  To date, 118,470 COVID‐19 tests have been performed in Saskatchewan.  As of August 12, 2020, when other provincial and national numbers were available from the Public Health Agency of Canada, Saskatchewan’s per capita rate was 85,474 people tested per million population.  The national rate was 123,309 people tested per million population. Yesterday, 1,666 COVID-19 tests were performed in Saskatchewan. COVID-19 Testing The Saskatchewan Health Authority is working to increase testing capacity to 4,000 tests per day by the beginning of September.  COVID-19 testing is now available to anyone who requests it, regardless of whether they have symptoms or not.  A referral for testing can be made by contacting HealthLine 811.  Contact your physician’s office if you are experiencing worsening symptoms.  If you require urgent care, call 911. Saskatchewan Health Authority Advisories Over the past few days, the Saskatchewan Health Authority has issued several precautionary advisories for Regina and Saskatoon regarding the possibility of COVID-19 transmission at local businesses.  Residents can find more details on these advisories at https://www.saskhealthauthority.ca/.  Everyone should continue to take measures to stop the spread of COVID-19, including:  Practice proper cough and sneezing etiquette (into a tissue or the bend of your elbow); Wash your hands often with soap and water; if soap and water are not available, use an alcohol-based hand sanitizer; Avoid touching your eyes, nose and mouth; Stay home if you are sick; and Practice physical distancing and wear a mask when in situations where recommended physical distancing will be difficult to maintain.  You should always be aware of who you have been in contact with over the past two weeks.  If you test positive for COVID-19, these are the people who will need to be contacted by public health. General COVID-19 Information General public inquiries may be directed to COVID19@health.gov.sk.ca.  Find the most up-to-date version of the Re-Open Saskatchewan plan at www.saskatchewan.ca/re-open. -30- For more information, contact: Health Regina Phone: 306-787-4083 Email: media@health.gov.sk.ca "
1,2020-08-14,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/14/passing-lanes-open,Government Website,New Passing Lanes Opening Between Melville And Yorkton," Released on August 14, 2020   There will be new opportunities to pass safely on Highway 10 between Melville and Yorkton with the opening of three sets of passing lanes this weekend. “Our government will improve more than 1,000 kilometres (km) of provincial highways this year, which is the first year of our 10-year Growth Plan goal to build and upgrade 10,000 km of highways,” Highways and Infrastructure Minister Greg Ottenbreit said.  “This passing lanes project is an example of how we are investing to improve traffic flow for the safety of our citizens.”  Three additional sets of passing lanes on Highway 9, north of Yorkton, are scheduled for completion this fall.  The entire $39.4 million project consists of a total of six sets of passing lanes, intersection improvements, access consolidation and 55 km of paving on Highways 9 and 10.  “Traffic can sometimes be brisk on highways in and out of our city,” Yorkton Mayor Bob Maloney said.  “We welcome the improvements on Highway 10 and look forward to improvements north of Yorkton in the near future, which will help safely move people and goods.”  During the opening of the passing lanes, there may be an adjustment period and drivers should be cautious as there may still be reduced speeds required for short periods of time.  Passing lane projects continue around the province this year, including Highways 7 and 39.  Pre-construction work is also underway on 24 to 26 new sets of passing lanes as part of the government’s stimulus package.  Passing lanes can reduce collisions by 25 per cent at 80 per cent less cost than that of twinning.  If you’re planning to travel, check the Highway Hotline at www.saskatchewan.ca/highwayhotline, which provides up-to-date information on construction, emergency road closures, the status of ferries, barges and other road activities.  Information is also available by calling 511.  A weekly highway construction update is also published on www.saskatchewan.ca/residents/transportation/highway-construction-projects/weekly-highway-construction-update to provide the travelling public with the latest details on projects underway to help plan safe and efficient travel.  You can also report a highway work zone signing problem by calling 306-244-5535.  The Government of Saskatchewan has invested more than $9.8 billion in highways infrastructure since 2008, improving more than 15,800 km of Saskatchewan highways.  Another $300 million in highways stimulus funds will be invested over the next two years to stimulate Saskatchewan’s economic recovery.  -30-  For more information, contact:  Steve Shaheen Highways and Infrastructure Regina Phone: 306-933-5641 Email: steve.shaheen@gov.sk.ca "
2,2020-08-13,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/13/covid-19-update-august-13,Government Website,"COVID-19 Update: 27 New Cases, 10 In Hospital, 11 More Recoveries"," Released on August 13, 2020 There are 27 new cases of COVID-19 to report in Saskatchewan on August 13, bringing the total to 1,511 total cases.  The new cases are located in the South West (18), South Central (4), Saskatoon (3) and Regina (2) regions.  Of the 1,511 reported cases, 166 are considered active.  A total of 1,325 people have recovered.  Ten people are in hospital.  Five people are receiving inpatient care; three in Saskatoon, one in Regina and one in the North Central region.  Five people are in intensive care; three in Saskatoon, one in the North Central region and one in the South West.  The Saskatchewan Health Authority continues to work closely with Hutterite communities throughout the province.  While many of these communities have seen a significant decline in active cases, aggressive testing and contact tracing continues to find new cases in some communities.  These efforts are ongoing.  Twenty-two of today’s 27 new cases and 95 of 166 active cases are in communal living settings.    Of the 1,511 cases in the province:  216 cases are travellers; 775 are community contacts (including mass gatherings); 411 have no known exposures; and 109 are under investigation by local public health.  Overall in Saskatchewan:  64 cases are healthcare workers; however, the source of the infections may not be related to healthcare in all instances. There are:      359 cases are from the south area (178 south west, 170 south central, 11 south east); 352 cases are from the far north area (346 far north west, 0 far north central, 6 far north east) 245 cases are from the Saskatoon area; 233 cases are from the north area (101 north west, 67 north central, 65 north east); 190 cases are from the central area (160 central west, 30 central east); and 131 cases are from the Regina area.   246 cases involve people 19 years of age and under, while the remainder are adults. 479 cases are in the 20-39 age range; 476 are in the 40-59 age range; 255 are in the 60-79 age range; and 55 are in the 80-plus range. 50 per cent of the cases are females and 50 per cent are males. 20 deaths related to COVID-19 have been reported to date.  To date, 116,804 COVID‐19 tests have been performed in Saskatchewan.  As of August 11, 2020, when other provincial and national numbers were available from the Public Health Agency of Canada, Saskatchewan’s per capita rate was 84,200 people tested per million population.  The national rate was 121,858 people tested per million population.  Yesterday, 1,800 COVID-19 tests were performed in Saskatchewan.  COVID-19 Testing  The Saskatchewan Health Authority is working to increase testing capacity to 3,000 tests per day by the middle of August and 4,000 tests per day by the beginning of September.  COVID-19 testing is now available to anyone who requests it, regardless of whether they have symptoms or not.  A referral for testing can be made by contacting HealthLine 811.  Contact your physician’s office if you are experiencing worsening symptoms.  If you require urgent care, call 911.  Saskatchewan Health Authority Advisories  Over the past few days, the Saskatchewan Health Authority has issued several precautionary advisories for Regina and Saskatoon regarding the possibility of COVID-19 transmission at local businesses.  Residents can find more details on these advisories at https://www.saskhealthauthority.ca/.   Everyone should continue to take measures to stop the spread of COVID-19, including:  Practice proper cough and sneezing etiquette (into a tissue or the bend of your elbow); Wash your hands often with soap and water; if soap and water are not available, use an alcohol-based hand sanitizer; Avoid touching your eyes, nose and mouth; Stay home if you are sick; and Practice physical distancing and wear a mask when in situations where recommended physical distancing will be difficult to maintain.  You should always be aware of who you have been in contact with over the past two weeks.  If you test positive for COVID-19, these are the people who will need to be contacted by public health.  General COVID-19 Information  General public inquiries may be directed to COVID19@health.gov.sk.ca.   Find the most up-to-date version of the Re-Open Saskatchewan plan at www.saskatchewan.ca/re-open.  -30-  For more information, contact:  Health Regina Phone: 306-787-4083 Email: media@health.gov.sk.ca "
3,2020-08-13,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/13/wcu,Government Website,An Additional $1.5 Million For Pavement Paint On Provincial Highways This Year," Released on August 13, 2020  With the largest per capita highway system in the country, it takes plenty of paint to keep highways safe. “Good pavement marking is a cost-effective safety investment that reduces collisions and saves lives,” Highways and Infrastructure Minister Greg Ottrenbreit said.  “An additional $1.5 million will be invested this year to increase the ministry’s pavement marking program by 10 per cent.”  This year, five units will paint nearly 50,000 kilometres (km) of centre and shoulder lines as well as more than 34,000 pavement signs such as arrows and stop bars.  Pavement marking provides drivers with critical information, such as where their wheels should be in inclement weather and where they can safely pull over during an emergency.  They also alert drivers to passing opportunities and intersection locations.  The normal wear and tear from traffic, snowplow blades and the regular weather elements mean these important safety tools need to be repainted annually.  More than 1,000,000 litres of paint is applied to the roads in an average year.  Spherical glass beads are added to the paint to add reflection for nighttime driving and provide durability.  Pavement marking typically begins in late May or early June and continues into the early winter.  Drivers are required to slow to 60 km/hr when passing line painting trucks with lights flashing.  A weekly highway construction update is also published on www.saskatchewan.ca/residents/transportation/highway-construction-projects/weekly-highway-construction-update to provide the travelling public with the latest details on projects underway to help plan safe and efficient travel.  You can also report a highway work zone signing problem by calling 306-244-5535.  The Government of Saskatchewan will improve more than 1,000 km of provincial highways this year, the first of its 10-year Growth Plan goal to build and upgrade 10,000 km of highways.  The Government of Saskatchewan has invested more than $9.8 billion in highways infrastructure since 2008, improving more than 15,800 km of Saskatchewan highways.  Another $300 million in highways stimulus funds will be invested over the next two years to stimulate Saskatchewan’s economic recovery.  -30-  For more information, contact:  Steve Shaheen Highways and Infrastructure Regina Phone: 306-933-5641 Email: steve.shaheen@gov.sk.ca "
4,2020-08-13,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/13/agtech-investment,Government Website,Saskatchewan Invests $15 Million In Agtech," Released on August 13, 2020 The Government of Saskatchewan announced today it will provide $15 million to help develop new technologies in agriculture and position the province as a global leader in the agtech sector.  Through Innovation Saskatchewan, funds will be invested in a privately-managed fund targeted exclusively at agtech companies that require venture capital to develop past the startup phase and scale up their business operations and manufacturing.  “The proper support, combined with strong research in agricultural innovation and the success of agtech startups, can make Saskatchewan a global force in agtech,” Minister Responsible for Innovation Saskatchewan Tina Beaudry-Mellor said.  “This investment will bring jobs and new growth to our province and equip farmers and producers with game-changing technology.”    This investment will accelerate the province’s economic recovery from COVID-19 and build upon a record year for venture capital investment in Saskatchewan.  Deals worth $114 million were made in 2019, more than the previous five years combined, and most of those investments were made in Saskatchewan’s tech sector.  Once a partner is found, the $15 million investment is expected to leverage millions more from private investors, complementing Innovation Saskatchewan’s existing programs which support agtech startups but are not designed to scale companies to full business capacity.  Innovation Saskatchewan will issue a Request for Proposal (RFP) in the coming weeks to begin exploring fund options with the private sector.  “Saskatchewan is rising to the challenge of feeding a growing world population and innovation in agriculture technology plays an important role in meeting that growing demand,” Agriculture Minister David Marit said.  “This investment will ensure producers have made-in-Saskatchewan technology that supports their efforts to grow high-quality, sustainable food.”  With global demand for food anticipated to rise 70 per cent by 2050, Innovation Saskatchewan is helping farmers gain a competitive edge to meet the future by building upon a significant and historic economic driver.  The agency’s new investment, combined with its Saskatchewan Advantage Innovation Fund, Saskatchewan Technology Startup Incentive and the $1 million Agtech Growth Fund (https://innovationsask.ca/news/saskatchewan-launches-1-million-agtech-growth-fund) announced in July, will work with the rest of the province’s agricultural infrastructure to help stimulate the provincial economy, add value to Saskatchewan’s agricultural products, and grow the technology sector – all important objectives in Saskatchewan’s Growth Plan 2020-30.  -30-  For more information, contact:  Scott Brown Innovation Saskatchewan Phone: 306-787-0355 Email: scott.brown@gov.sk.ca "
5,2020-08-13,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/13/crop-report,Government Website,"Crop Report For The Period August 4 To August 10, 2020"," Released on August 13, 2020                  Warm weather continued to help crops mature throughout the province.  This was beneficial for many areas, but some reported premature ripening and damage from high heat.  Producers in the province have one per cent of the crop combined and two per cent swathed or ready to straight-cut.  The five-year average (2015-2019) for this time of year is two per cent combined and three per cent swathed or ready to straight-cut.  Fifty-two per cent of fall rye, 19 per cent of winter wheat, six per cent of field peas and three per cent of lentils are now in the bin.  Harvest is most advanced in the south and west-central regions, where two per cent of the crop in the southwest is combined and one per cent of the crop in the southeast and west-central is combined.  Producers in the central and northern regions have less than one per cent of the crop combined, but many expect to start in the coming weeks.  Much of the province received small amounts of rain this week, with parts of the northern, west-central and southeast regions receiving half an inch to an inch.  The Broadview area received the most rain this week with 39 mm.  The St. Walburg area has received the most rain in the province since April 1 with 433 mm.  More rain is needed to help crops during the seed-filling stage.  Moisture conditions were slightly reduced this past week.  Cropland topsoil moisture is rated as 51 per cent adequate, 37 per cent short and 12 per cent very short.  Hay and pasture land topsoil moisture is rated as 38 per cent adequate, 41 per cent short and 21 per cent very short.  Many producers reported that hay yields are below average this year.  Estimated average dryland hay yields for the province are 1.2 tons per acre for alfalfa, 1.1 tons per acre for alfalfa/bromegrass, 1.0 tons per acre for other tame hay, 1.0 tons per acre for wild hay and 1.8 tons per acre for greenfeed.  Estimated average irrigated hay yields are 3.0 tons per acre for alfalfa, 2.7 tons per acre for alfalfa/bromegrass and 2.8 tons per acre for greenfeed.  The majority of crop damage this week was due to wind, dry conditions, heat, wildlife and grasshoppers.  There were also isolated reports of hail.  Farmers are busy wrapping up haying and baling, getting ready for harvest, desiccating and swathing crops and starting to combine in some areas.  A complete, printable version of the Crop Report is available online at www.saskatchewan.ca/crop-report. Follow the 2020 Crop Report on Twitter at @SKAgriculture.  -30-  For more information, contact:  Sara Tetland Agriculture Moose Jaw Phone: 306-631-0483 Email: sara.tetland@gov.sk.ca "
6,2020-08-13,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/13/oil-and-gas-public-offering,Government Website,Province Raises $2.4 Million In Revenue From August Oil And Gas Public Offering," Released on August 13, 2020 The province’s August public offering of Crown petroleum and natural gas rights held Tuesday generated $2,390,943.09 in revenue.  The Estevan and Lloydminster areas were the focus of the bid activity.  The Estevan area brought in $1,378,336.78 for 36 parcels encompassing 2,120.463 hectares, while the Lloydminster area brought in $1,010,663.16 for nine leases encompassing 5,762.363 hectares.    The highest bonus bid received on a parcel in this offering was $407,918.65 for a 971.258-hectare lease in the Lloydminster area.  This lease was purchased by Millennium Land (111) Limited and is prospective for heavy oil in the Mannville Group.  The highest dollars per hectare received in this offering was on a 64.750-hectare lease in the Estevan area, which was purchased by Vital Energy Incorporated for $223,355.13, or $3,449.50 per hectare.  This parcel of land is prospective for oil in the Frobisher Beds of the Madison Group.  This is the third of six oil and gas public offerings scheduled for the 2020-21 fiscal year, with current sales totalling $4,556,793.33.  The next oil and gas public offering is scheduled for October 6, 2020.  -30-  For more information, contact:  Robin Speer Energy and Resources Regina Phone: 306-787-7642 Email: robin.speer@gov.sk.ca "
7,2020-08-12,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/12/housing-project-in-nb,Government Website,Construction Of New Rental Housing Project Begins In North Battleford," Released on August 12, 2020 The Government of Canada and the Province of Saskatchewan, the City of North Battleford, along with Canadian Mental Health Association (CMHA) Battlefords Branch, officially broke ground on a new eight-unit rental housing project for individuals who have complex needs and require supports to secure and maintain housing.  Battlefords MLA Herb Cox on behalf of Social Services Minister and Minister Responsible for Saskatchewan Housing Corporation (SHC) Paul Merriman, City of North Battleford Mayor Ryan Bater and Canadian Mental Health Association North Battleford Executive Director Jane Zielke de Montbrun, made the announcement today.  “Our government’s investment in North Battleford will improve the quality of life for individuals with complex needs while contributing to the social well-being of the entire community,” said Ahmed Hussen, Minister of Families, Children and Social Development and Minister Responsible for Canada Mortgage and Housing Corporation (CMHC).  “Developments like these will help reach our goal of ensuring every Canadian has a home that meets their needs and they can afford.”  “This project will provide much needed affordable housing in North Battleford to support individuals with mental health challenges and complex needs to live independently in our community,” Cox said.  “These homes will provide a safe and stable living environment, along with the supports the residents require to participate more fully in life and build a better future.  We are pleased to work with our partners to continue to better serve and develop new housing opportunities for Saskatchewan people.”  “The City of North Battleford contributed the land because we were encouraged by the quick action by the Governments of Canada and Saskatchewan to support this important project,” Bater said.  “These homes will have a positive effect on the health of our community by providing an affordable, safe, and healthy living environment for the residents.  We are grateful for the contributions of all partners who have come together to make this project a reality.”  “Our project begins to close a transitional housing continuum gap in our community,” Zielke de Montbrun said.  “Its design will create a sense of community and belonging among tenants and provide space for social/recreational activities and group learning opportunities.  This project will empower those living with mental illness to live successfully in our community while supporting their unique journey of recovery.  We are grateful for the support of the Government of Canada, through CMHC, the Government of Saskatchewan, through SHC, the City of North Battleford and Saskatchewan Health Authority.  Together, we are making a difference in the lives of persons living with mental illness and complex needs in the Battlefords.”  Quick Facts:  The Government of Canada, through CMHC, and the Government of Saskatchewan, through SHC, contributed $830,000 to the project from the federal/provincial National Housing Strategy.  The City of North Battleford contributed the land for the project. Tenants will be individuals living with complex needs and mental health challenges, and will be provided support services to ensure they remain securely housed and live independently. The project is the new construction of two single level fourplexes in North Battleford located at 1942 Kramer Place.  The fourplexes face each other with a middle green space.  A support service and transitional shelter area equipped with a small kitchenette and washroom will be located at the end of the property to form a u-shaped building complex. The Government of Canada is currently rolling out its National Housing Strategy (NHS), an ambitious 10-year, $55 billion plan that will create 125,000 new housing units and lift 530,000 families out of housing need, as well as repair and renew more than 300,000 housing units and reduce chronic homelessness by 50 per cent. The NHS is built on strong partnerships between federal, provincial and territorial governments, and on continuous engagement with others, including municipalities, Indigenous governments and organizations, and the social and private sectors to make a meaningful difference in the lives of Canadians. This investment supports the Province’s Housing Strategy, Poverty Reduction Strategy and Mental Health and Addictions Action Plan to increase community capacity to ensure Saskatchewan people in greatest need, including people living with persistent and complex mental health and addictions issues, have access to affordable, safe, secure and stable housing and team-based supports they may require. Established in 2000, CMHA Battleford Branch is a non-profit corporation that provides direct service to persons with mental illness in the Battlefords and area.  It provides a drop-in centre Monday to Friday and life skills, social, recreation and work experience programming.  Associated Links:  As Canada's authority on housing, CMHC contributes to the stability of the housing market and financial system, provides support for Canadians in housing need, and offers unbiased housing research and advice to all levels of Canadian government, consumers and the housing industry.  CMHC’s aim is that by 2030, everyone in Canada has a home they can afford, and that meets their needs.  For more information, please visit www.cmhc.ca or follow us on Twitter, Instagram, YouTube, LinkedIn and Facebook.  To find out more about the National Housing Strategy, visit www.placetocallhome.ca. In November 2019, the Government of Saskatchewan released the Saskatchewan’s Growth Plan: The Next Decade of Growth 2020-2030, which sets out the Government’s vision for a province of 1.4 million people by 2030.  The plan is a roadmap for a strong economy, strong communities and strong families, to build a stronger Saskatchewan.  Housing is a key priority in providing a better quality of life for Saskatchewan families and communities.  Since 2007, the Government of Saskatchewan has invested $804 million to develop or repair more than 16,600 housing units around the province.  To learn more, visit www.saskatchewan.ca.   -30-  For more information, contact:  Leya Moore Social Services Regina Phone: 306-787-3610 Email: leya.moore@gov.sk.ca  Leonard Catling Canada Mortgage and Housing Corporation Phone: 604-787-1787 Email: LCATLING@cmhc-schl.gc.ca  Jessica Eritou Office of the Minister of Families, Children and Social Development Ottawa Email: Jessica.eritou@hrsdc-rhdcc.gc.ca "
8,2020-08-12,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/12/covid-19-update-august-12,Government Website,"COVID-19 Update: Five New Cases, 10 In Hospital, 20 More Recoveries"," Released on August 12, 2020 There are five new cases of COVID-19 to report in Saskatchewan on August 12, bringing the total to 1,484 cases in Saskatchewan.  The new cases are located in the Regina (4) and North Central (1) zones.  Of the 1,484 reported cases, 150 are considered active.  A total of 1,314 people have recovered.  Ten people are in hospital.  Five people are receiving inpatient care; three in Saskatoon, one in Regina and one in the South Central region.  Five people are in intensive care; three in Saskatoon, one in the North Central region and one in the South West.    Of the 1,484 cases in the province:  212 cases are travellers; 747 are community contacts (including mass gatherings); 415 have no known exposures; and 110 are under investigation by local public health.  Overall in Saskatchewan:  64 cases are healthcare workers; however, the source of the infections may not be related to healthcare in all instances. 352 cases are from the far north area (346 far north west, 0 far north central, 6 far north east) There are:      337 cases are from the south area (160 south west, 166 south central, 11 south east); 233 cases are from the north area (101 north west, 67 north central, 65 north east); 242 cases are from the Saskatoon area; 190 cases are from the central area (160 central west, 30 central east); and 129 cases are from the Regina area.   239 cases involve people 19 years of age and under, while the remainder are adults. 467 cases are in the 20-39 age range; 471 are in the 40-59 age range; 253 are in the 60-79 age range; and 54 are in the 80-plus range. 50 per cent of the cases are females and 50 per cent are males. 20 deaths related to COVID-19 have been reported to date.  To date, 115,004 COVID‐19 tests have been performed in Saskatchewan.  As of August 10, 2020, when other provincial and national numbers were available from the Public Health Agency of Canada, Saskatchewan’s per capita rate was 83,532 people tested per million population.  The national rate was 120,826 people tested per million population.  Yesterday, 1,032 COVID-19 tests were performed in Saskatchewan.  COVID-19 Testing  The Saskatchewan Health Authority is working to increase testing capacity to 3,000 tests per day by the middle of August and 4,000 tests per day by the beginning of September.  COVID-19 testing is now available to anyone who requests it, regardless of whether they have symptoms or not.  A referral for testing can be made by contacting HealthLine 811.  Contact your physician’s office if you are experiencing worsening symptoms. If you require urgent care, call 911.  Saskatchewan Health Authority Advisories  Over the past few days, the Saskatchewan Health Authority has issued several precautionary advisories for Regina and Saskatoon regarding the possibility of COVID-19 transmission at local businesses.  Residents can find more details on these advisories at https://www.saskhealthauthority.ca/.   Everyone should continue to take measures to stop the spread of COVID-19, including:  Practice proper cough and sneezing etiquette (into a tissue or the bend of your elbow); Wash your hands often with soap and water; if soap and water are not available, use an alcohol-based hand sanitizer; Avoid touching your eyes, nose and mouth; Stay home if you are sick; and Practice physical distancing and wear a mask when in situations where recommended physical distancing will be difficult to maintain.  You should always be aware of who you have been in contact with over the past two weeks.  If you test positive for COVID-19, these are the people who will need to be contacted by public health.  General COVID-19 Information  General public inquiries may be directed to COVID19@health.gov.sk.ca.   Find the most up-to-date version of the Re-Open Saskatchewan plan at www.saskatchewan.ca/re-open.  -30-  For more information, contact:  Health Regina Phone: 306-787-4083 Email: media@health.gov.sk.ca "
9,2020-08-12,Canada,Saskatchewan,,https://www.saskatchewan.ca/government/news-and-media/2020/august/12/doctors-endorse-contract,Government Website,Saskatchewan Doctors Endorse New Five-Year Contract With Province," Released on August 12, 2020 Today, Health Minister Jim Reiter and Saskatchewan Medical Association (SMA) President Dr. Barb Konstantynowicz were pleased to announce that Saskatchewan physicians have ratified a new five-year contract.  More than 90 per cent of physicians who cast ballots, voted in favour of the agreement.  “We are very pleased to have a new contract with our valued physicians, to help support patient care and continue to make Saskatchewan a preferred location to practice,” Reiter said.  “This positive step will maintain one of the most competitive remuneration and benefits package for physicians in Canada, in order to recruit and retain physicians in our province.  It will help ensure that Saskatchewan residents are able to access vital physician services, not only during the current pandemic but into the future.”  “Like my colleagues on the SMA Board of Directors, I am pleased that the physicians of Saskatchewan have ratified this agreement,” Dr. Konstantynowicz said.  “This will continue to benefit the practice of medicine and the province’s health system for years to come.  I would like to thank the negotiating committee of the SMA, and Ministry of Health representatives, who put in countless hours of work on behalf of Saskatchewan’s physicians to reach this deal.  With the agreement now in place, physicians can work with a degree of certainty during these uncertain times created by the COVID-19 pandemic.”  Highlights of the new contract include:  Continuing to provide for virtual care, following positive feedback from citizens. An overall average increase of one per cent annually over the five years from April 1, 2017, to March 31, 2022. Development of innovative primary care compensation models that align with the province’s Connected Care Strategy and that support family physicians in advancing their vision for a Patient’s Medical Home.  -30-  For more information, contact:  Health Regina Phone: 306-787-4083 Email: media@health.gov.sk.ca  Ivan Muzychka Saskatchewan Medical Association  Saskatoon Phone: 306-281-4012 Email: ivan.muzychka@sma.sk.ca "
