,start_date,country,region,subregion,source_url,source_category,source_title,source_full_text
0,2020-09-30,Canada,Yukon,,https://yukon.ca/en/news/september-30-2020-covid-19-update,Government Website,"September 30, 2020: COVID-19 update","           Published 30/09/2020        The Government of Yukon has the following updates for the Yukon public on measures being taken in response to the COVID-19 pandemic. COVID-19 cases and recoveries As of today, September 30, at 2 p.m., the COVID-19 case count for Yukon is 15. Everyone has recovered. We have tested 3,402 people. COVID-19 Testing Centre From Tuesday, September 22, to Monday, September 28, we tested 157 people at the COVID-19 Testing Centre (CTC) in Whitehorse. The Respiratory Assessment Centre has been renamed the COVID-19 Testing Centre. Hours of operation are 8:30 a.m. to 6 p.m., Monday through Sunday.  Referrals are no longer required for a COVID-19 test at the CTC. Road border schedule change for on-site personnel On-site road border personnel are transitioning from the current 24-hours a day schedule to 9 a.m. to 6 p.m. at the Alaska Highway and Junction 37 borders beginning October 1. Travellers arriving outside of these hours will be required to sign a declaration and submit their self-isolation plan, along with a contact number when they arrive from outside of BC, the NWT or Nunavut. There will be on-site kiosks for completing the self-declaration, which is required by law.  The COVID-19 information station on the Alaska Highway in Whitehorse will also be closing as of 6 p.m. today. These changes reflect reduced road traffic as the winter season approaches. Process for public notifications regarding active cases Once Yukon Communicable Disease Control (YCDC) receives notification of a positive result of COVID-19 they then begin the process of contract tracing. This process involves speaking with the patient, family and close contacts to determine the level of risk of exposure.  Yukon Communicable Disease only contacts people who are identified as contacts. Public notifications are only issued when YCDC is not able to identify everyone who may have come into contact with an infected person. Guidance for Halloween and Thanksgiving The Chief Medical Officer of Health is encouraging Halloween to take place. Children should wear a non-medical mask or face covering, or consider a Halloween themed cloth mask; they should trick or treat in their consistent social bubble; not gather on doorsteps, and use a prop like a broom or a sword to ring doorbells. Those who are distributing candy should use a tool to offer treats, such as tongs or a hockey stick. Only distribute wrapped store bought candy. Please do not leave treats in a communal bucket. More information will be available on Yukon.ca. Singing and music performances We know there's risk associated with these activities and we have tools to manage that risk.  Keep a minimum of two metres between singers and musicians at all times. Face forward while singing or playing instruments (not in a circle or facing each other). Conductors should maintain four metres from the choir or orchestra or wear a face shield and maintain two metres’ distance. Performers should maintain four metres from the audience or be separated by plexiglas or similar barrier. Rehearsals are recommended to be 30 minutes or less. Ensure good ventilation where you are practising, space out in the room you are playing or singing in, open the window, practise outside if you can Regular cleaning of instruments, mouthpieces, music stands, drum sticks and other accessories is essential. Do not share cleaning cloths, instrument brushes or microphones.  Read the singing and music guidelines.   New charges under the Civil Emergency Measures Act Below is a summary of the charges laid on September 29. We do not provide any information that may identify anyone such as their name, where they received the charge or their contact information. One person was charged with the following:  Failure to provide a declaration. Failure to comply with the self-isolation order.  Enforcement statistics  The Government of Yukon has received 857 complaints:  Failure to self-isolate: 478 Social gatherings over 10 inside or 50 outside: 24 Failure to transit through Yukon in 24 hours or stay on the designated route: 331 Businesses failing to comply with Orders: 10 Failure to abide by a declaration form or not permitted entry into Yukon: 13 Other: 1  There have been a total of 12 people charged, and 17 charges laid under the Civil Emergency Measures Act (CEMA). A total of 50,510 travellers have come into Yukon:  Resident travellers: 10,705 BC residents: 10,601 NWT residents: 303 Other approved jurisdictions: 676 Non-residents staying: 9,350 Non-residents transiting: 18,805 Other: 70 Decals distributed indicating out-of-territory vehicles allowed in Yukon: 291      Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Pat Living 	Communications, Health and Social Services 	867-335-1531 patricia.living@gov.yk.ca     News release #:   20-280        "
1,2020-09-30,Canada,Yukon,,https://yukon.ca/en/news/2020-fall-sitting-yukon-legislative-assembly-begin,Government Website,2020 fall sitting of the Yukon Legislative Assembly to begin,"           Published 30/09/2020         The 2020 fall sitting of the 34th Yukon Legislative Assembly will begin at 1 p.m. on Thursday, October 1. In addition to new Bills to be tabled this fall, four Bills tabled in the spring are scheduled to be debated:  Sexual Orientation and Gender Identity Protection Act; Act to Amend the Employment Standards Act (2020); Act to Amend the Land Titles Act, 2015; and Act to Amend the Wills Act (2020).  Legislative Assembly procedures will be adjusted to address COVID-19 health concerns. The public gallery will be open with limited seating available on a first come first serve basis. Media and members of the public in attendance will be required to wear masks. Masks will be available for public usage however members of the public are encouraged to bring their own masks.  Hand cleaning stations will be present as well. Anyone showing symptoms consistent with COVID-19 should not attend and should be in self-isolation consistent with the direction of Yukon’s Chief Medical Officer of Health. Live coverage of the proceedings are available at: https://yukonassembly.ca/house-business/coverage-proceedings      Quick facts       To support physical distancing, newsrooms are asked to consider sending the minimum number of staff required for news gathering purposes.  The duration of the 2020 fall sitting will be determined by the House Leaders of the three Parties represented in the Yukon Legislative Assembly.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca     News release #:   20-279    Related information:   Yukon Legislative Assembly         "
2,2020-09-30,Canada,Yukon,,https://yukon.ca/en/news/support-certified-training-available-yukon-coaches,Government Website,Support for certified training available for Yukon coaches,"           Published 30/09/2020        The Government of Yukon is supporting the continued development of Yukon coaches by covering registration fees for online courses offered by the National Coaching Certification Program (NCCP). Between now and the end of 2020, Yukon coaches who take NCCP multi-sport introduction or development courses online can have their registration fees reimbursed. These courses cover topics related to all sports and include such topics as coaching in secondary schools, designing a basic sport program and making ethical decisions. Coaches can register for these courses through the NCCP. Once they have completed a course, they can submit their receipt to the Sport and Recreation branch for reimbursement.            From a new skater’s first steps onto the ice, to a gymnast safely sticking their first round-off, to a high performance skier standing atop the podium, Yukon coaches play a critical role in the development of our territorial athletes. Coaches help build community, teach confidence and respectful behaviours. Coaches promote fairplay, diversity, inclusion and the value of staying active for life. Our government is pleased to support Yukon coaches to develop their skills so they can keep contributing to our vibrant sporting community.      Minister of Community Services John Streicker            This is a terrific initiative to hopefully increase the numbers of coaches and the knowledge base of our coaches in Yukon.  This provides for a greater variety of courses to choose from and the online platform allows for the all the participants to make connections with a number of different coaches from all across Canada in a variety of different sports.      Board Member for Yukon Aboriginal Sport Circle & Sport Yukon, Dan Poleman            Quick facts       The National Coaching Certification Program (NCCP) offers standardized, inclusive, and sport safety education to coaches and coach developers. The program covers 65 sports.  While travel restrictions are in place during the COVID-19 pandemic, removing barriers to accessing the NCCP courses will support Yukon coaches in taking workshops from different instructors or leaders across the country.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Odile Nelson 	Communications, Community Services 	867-332-0886 odile.nelson@gov.yk.ca     News release #:   20-278    Related information:   National Coaching Certification Program List of course programs and schedule        "
3,2020-09-30,Canada,Yukon,,https://yukon.ca/en/news/new-water-reservoir-faro,Government Website,New water reservoir for Faro ,"           Published 30/09/2020         Construction of a new water reservoir in Faro is now complete. With a capacity of 625 cubic metres, the new reservoir replaces an old reservoir constructed in 1971 that was nearing the end of its useful life. Water storage facilities like reservoirs are essential to keep a town like Faro supplied with clean drinking water. The reservoir buffers community water supply during peak demands, provides redundancy to other reservoirs while they are offline for maintenance, provides additional chlorine contact time for disinfection and provides water for local firefighting purposes. The final project costs are anticipated to be $1.94 million, with the Government of Canada contributing $1.13 million under the Investing Canada Infrastructure Plan, and the Government of Yukon funding the balance. Construction of the new reservoir was publicly tendered and awarded to Wildstone Construction.            The new water reservoir is a key piece of infrastructure that provides Faro residents with clean drinking water as well as resources to fight fires. Our government is proud to be upgrading core municipal infrastructure that supports healthy, thriving communities.      Minister of Community Services John Streicker            On behalf of Council, I would like to thank and acknowledge the efforts of our federal and territorial partners for their continuous support as we work to develop our community. I would also like to specifically recognize the hard work of so many within the Department of Community Services, Community Development Branch and the Town of Faro. The water reservoir project is another example of our commitment to working collaboratively and despite the challenges posed by COVID-19, we persevered with relatively minor disruptions to the community. We look forward to strengthening our collaboration as we work to deliver several planned major projects in the near future.      Town of Faro Mayor Leonard Faber             Quick facts       Water reservoirs are storage facilities for a community’s water supply.  Construction of the Faro reservoir began in spring 2020.  The water reservoir is an above-ground, glass-fused to steel tank with insulation and cladding.  It is one of three water reservoirs in Faro and is located behind Faro’s public administration building.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Kara Johancsik 	Communications, Community Services 	867-332-1237 kara.johancsik@gov.yk.ca     News release #:   20-277        "
4,2020-09-29,Canada,Yukon,,https://yukon.ca/en/news/yukon-aging-place-action-plan-released,Government Website,Yukon Aging in Place Action Plan released,"           Published 29/09/2020        The Government of Yukon has released its Aging in Place Action Plan, which sets the collaborative direction for how governments, community groups, families and individuals can work together to support the health and wellness outcomes of seniors and Elders in the territory. The vision of the Aging in Place Action Plan is to ensure that Yukoners can access the supports needed to live safe, independent, and comfortable lives in their own home or community for as long as possible, regardless of age, income or ability level. In total, it recommends 56 specific actions to help achieve that vision. The action plan was developed based on extensive public engagement in 2018 and 2019 with seniors and Elders, governments, NGOs and community organizations. In total, more than 1,200 Yukoners participated in the engagement. The Aging in Place Action Plan complements Putting People First, the final report of the comprehensive review of Yukon’s health and social services. About a third of the recommendations in Putting People First are relevant to the Aging in Place Action Plan. To help Yukoners live healthy lives, the Government of Yukon has begun the work of implementing the recommendations and actions in the Aging in Place Action Plan and Putting People First, in addition to pursuing the goals and objectives identified in the Housing Action Plan for Yukon and the Safe at Home Plan to end and prevent homelessness.            We all have a role to play in helping Yukoners age in place. This plan provides a framework by which governments, First Nations, NGOs, the private sector, individuals, families and communities can work together to ensure that Yukoners can live full and meaningful lives as they age. Our government is committed to helping Yukon’s aging population live safe, independent, and comfortable lives surrounded by strong and supportive communities.      Minister of Health and Social Services and Minister responsible for the Yukon Housing Corporation Pauline Frost            Quick facts       The action plan outlines four pillars for action: living a full and meaningful life; housing; transportation; and programs, services and infrastructure.  Some of the recommended actions in the plan are already underway or will be actioned immediately. Others are future steps that will require ongoing collaboration and partnership between the Government of Yukon and key community stakeholders.  It’s projected that Yukon’s senior population will more than double in the next 20 years.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Michael Edwards 	Communications, Health and Social Services michael.edwards@gov.yk.ca     News release #:   20-276    Related information:   Aging in Place Action Plan        "
5,2020-09-29,Canada,Yukon,,https://yukon.ca/en/news/government-yukon-announces-funding-shingles-vaccine,Government Website,Government of Yukon announces funding for shingles vaccine,"           Published 29/09/2020        To support Yukoners’ long-term wellbeing and quality of life, the Government of Yukon is publicly funding a shingles vaccine for Yukoners between the ages of 65 and 70, the age at which the vaccine is most effective. Shingles is a viral infection that causes a painful rash, caused by the same virus as chickenpox. After someone has had chickenpox, the virus lies inactive in nerve tissue. Years later, the virus may reactivate as shingles. The shingles vaccine, Shingrix, will be publicly funded in Yukon beginning January 1, 2021.              Shingles can be very painful and disproportionately affects older adults. Vaccines are an important preventative tool that can help keep people healthy and reduce the need for primary, acute or urgent care. Funding this effective vaccine will help Yukoners age well and live healthy lives, and will have a positive impact on our territory’s health system.      Minister of Health and Social Services Pauline Frost            Quick facts       Funding the shingles vaccine is in line with a recommendation in the Putting People First report, as well as feedback received as part of the Aging in Place public engagement.  There is an increased risk of shingles for older adults. While it is not a life-threatening condition, shingles can be very painful.  Vaccines can help reduce the risk of shingles. Shingrix is a two-dose, non-live vaccine that has been shown to be 90 per cent effective in preventing shingles.  Starting January 1, 2021, the shingles vaccine will be available free of charge at local pharmacies and by appointment at Community Health Centres. It is currently available at your pharmacy, for a fee, with a prescription from your physician.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Julie Ménard 	Communications, Health and Social Services 	867-667-8478 julie.menard@gov.yk.ca     News release #:   20-275        "
2,2020-09-28,Canada,Yukon,,https://yukon.ca/en/news/hiring-preference-initiative-starting-october-1,Government Website,Hiring preference initiative starting on October 1,"           Published 28/09/2020         An 18-month hiring preference pilot project for all Government of Yukon competitions will start on October 1. Competitions will continue to be open to all candidates. Hiring preference will be given to qualified candidates who self-identify as Yukon First Nation or Canadian Aboriginal ancestry. The pilot project is an initiative under Breaking Trail Together, a Government of Yukon plan to increase representation of First Nation employees in the public service. The plan was developed in collaboration with Yukon First Nations governments and addresses the Government of Yukon’s legal obligation under the Final Agreements to develop and implement a Representative Public Service Plan. The hiring preference is a two-tiered system. It gives qualified candidates:  first priority if they are of Yukon First Nation ancestry; and second priority if they are of Canadian Aboriginal ancestry.  The hiring preference is applied at the end of the competition. This occurs once all assessments are complete. Regardless of ancestry, successful candidates must posses all essential qualifications, knowledge, skills and suitability required to perform the job.            Our public service should reflect the population that we serve. This ensures the programs and services that we deliver are inclusive and meet the needs of all Yukoners. The preferential hiring pilot project allows us to test this approach to increasing representation of Aboriginal people within the Government of Yukon and advance reconciliation efforts with Yukon First Nations.      Minister of Public Service Commission Richard Mostyn            Ensuring Yukon First Nations are proportionally represented in the public service – Yukon’s largest employer – is an obligation of the Final Agreements. This pilot project supports preferential hiring and the increase of Yukon First Nations in the Yukon government workforce.      Council of Yukon First Nations Grand Chief Peter Johnston            Quick facts       Yukon’s Aboriginal population is 23 per cent based on 2016 federal census data.  Government of Yukon employees who self-identify as Aboriginal is 15 per cent while Aboriginal people of working age, 20 to 64 years old, in Yukon is 22 per cent.  Preference hiring will help the Government of Yukon meet its employment equity objectives as well as Final Agreement obligations.  The goal is to increase the representation of Aboriginal people within the public service across a broad spectrum of occupations and pay levels.  The Government of Yukon remains the single largest employer in Yukon with more than 5,000 employees as of March 31, 2018.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Nigel Allan 	Communications, Public Service Commission 	867-667-9465 nigel.allan@gov.yk.ca Juliann Fraser 	Communications, Council of Yukon First Nations 	867-393-9200 ext. 9223 juliann.fraser@cyfn.net     News release #:   20-274    Related information:   The hiring preference Breaking trail together: an inclusive Yukon public service        "
3,2020-09-26,Canada,Yukon,,https://yukon.ca/en/news/non-resident-tests-positive-covid-19-while-yukon,Government Website,Non-resident tests positive for COVID-19 while in Yukon,"           Published 26/09/2020        An out of territory resident has tested positive for COVID-19. The person has been hospitalized in Whitehorse and they are in a stable condition. Contact tracing is well under way and all close contacts in Yukon have been contacted by public health officials. Based on the risk assessment by Yukon Communicable Disease Control, the public health risk associated with this case is low.      Quick facts       As this person is not a resident of Yukon, this case will not be included in Yukon’s case count.  Visit yukon.ca/covid-19 for the latest information.  For non-medical questions, email covid19info@gov.yk.ca or phone 1-877-374-0425.  For medical questions or if you feel ill, phone 811 or launch the COVID-19 self-assessment tool.          Contact   Dr. Brendan Hanley 	Chief Medical Officer of Health 	867-667-9522 brendan.hanley@gov.yk.ca     News release #:   20-273        "
4,2020-09-25,Canada,Yukon,,https://yukon.ca/en/news/expansion-municipal-infrastructure-marshall-creek-subdivision,Government Website,Expansion of municipal infrastructure into Marshall Creek subdivision,"           Published 25/09/2020          Joint news release with Champagne and Aishihik First Nations. Dakwäkäda (Haines Junction), Yukon - The Champagne and Aishihik First Nations (CAFN) are laying the ground for growth of their subdivision at Dakwäkäda with the expansion of municipal infrastructure to connect to the Marshall Creek Road, the old Alaska Highway. The Government of Canada is providing $6.975 million for the project funded through the Green Infrastructure fund of the Investing in Canada Infrastructure Program (ICIP). The Government of Yukon is contributing $1.89 million and the Champagne and Aishihik First Nations is investing $500,000. The extension of water and sewer services from the Village of Haines Junction into the subdivision will provide services for 38 or more future homes for CAFN citizens and also improve services for some citizens already living in the area. A lift station will also be added to meet future needs. The subdivision expansion project is expected to be complete in fall 2021. Together with Champagne and Aishihik First Nations Dän nätthe äda Kaaxnox (Chief Steve Smith), Member of Parliament for Yukon Larry Bagnell on behalf of Minister of Infrastructure and Communities Catherine McKenna, Yukon Highways and Public Works Minister Richard Mostyn and Village of Haines Junction Mayor Thomas Eckervogt, met to mark the project with a ceremonial ground breaking on Johnson Street in the new subdivision expansion.   Initial grubbing and clearing of the area around Johnson Street has been completed by the First Nations and the construction of underground water and sewer lines has begun. The Government of Yukon’s Land Development Branch managed the initial stages of the project with a custom-built Design Collaboration Agreement with the Champagne and Aishihik First Nations. 	The Champagne and Aishihik First Nations is completing the project through a Transfer Payment Agreement with the Government of Yukon. As well, the CAFN and the Village of Haines Junction have updated the water and sewer agreement to include service for the new lots and lift station in the Marshall Creek subdivision expansion. This will bring the regional system together while the new agreement provides an equal fee structure for equal service between the municipality and CAFN lots.            The Government of Canada will continue working to ensure a safe and sustainable economic recovery, while focusing on the health and well-being of all Yukoners. In the wake of the COVID-19 pandemic, this infrastructure project in Haines Junction and Champagne and Aishihik First Nations is essential. It not only helps to ensure the speedy recovery of our economy and provide needed jobs, it also helps to protect the well-being of our communities, and our environment, now and into the future.      Member of Parliament for Yukon Larry Bagnell on behalf of Minister of Infrastructure and Communities Catherine McKenna            We are very pleased to partner with the Champagne and Aishihik First Nations on the expansion of municipal services to the Marshall Creek subdivision. It highlights the Government of Yukon, the Champagne and Aishihik First Nations and the Village of Haines Junction all working together for the whole community. We recognize the economic growth opportunities such projects provide and look forward to future opportunities to partner with First Nations and provide dedicated support to help them develop their lands for their citizens.      Minister of Community Services John Streicker            This addition to our subdivision in Dakwäkäda helps Champagne and Aishihik First Nations realize our vision of creating opportunities for our Citizens to come home.  We are grateful for the significant investment by the governments of Canada and Yukon in the growth of Dakwäkäda.  And, we are excited about our partnership with the Village of Haines Junction to connect green municipal services.  This shows that when we work together, it creates big opportunities for the growth of Haines Junction.      Champagne and Aishihik First Nations Dän nätthe äda Kaaxnox (Chief Steve Smith)            The Village of Haines Junction is excited to see new housing opportunities in the Dakwäkäda area. This project is one of many partnering opportunities between governments to make Haines Junction the place to move to. The Village of Haines Junction looks forward to strengthening these ties in the coming years.      Village of Haines Junction Mayor Thomas Eckervogt            Quick facts       Construction of  water and sewer infrastructure into the Marshall Creek subdivision includes:  2,000 metres of water pipes and mains to extend drinking water to current and future residents; 1,500 metres of sanitary wastewater pipes and mains to provide sewage facilities for the subdivision; extension of water and sewer mains from the Village of Haines Junction; a new one kilometer extension of Johnson Street; and a lift station to pump wastewater from the new sanitary sewer system into the lagoon.           Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Bonnie Venton Ross 	Communications, Community Services 	867-332-5513 bonnie.ventonross@gov.yk.ca Amy McKinnon 	Strategic Communications Manager 	Champagne and Aishihik First Nations 	867-332-1973 almckinnon@cafn.ca     News release #:   20-272        "
5,2020-09-25,Canada,Yukon,,https://yukon.ca/en/news/feedback-sought-draft-tagish-river-habitat-protection-area-management-plan,Government Website,Feedback sought on draft Tagish River Habitat Protection Area management plan,"           Published 25/09/2020         The steering committee of the Tagish River Habitat Protection Area, which includes representatives from the Government of Yukon, is inviting users of the area to comment on the draft recommended management plan. This area is important to Carcross/Tagish First Nation people, local residents, recreational users and visitors of the Tagish River. This draft recommended management plan aims to protect the Tagish River for future generations and to provide a path forward for sustainable use of this culturally and ecologically important area. Finalizing the Tagish River Habitat Protection Area recommended management plan will meet an important milestone in implementation of the Carcross/Tagish First Nation Final Agreement, and balance important ecological conservation, valued recreational use, and protection of cultural vales.  Public meetings will be held in October 2020.            It is exciting to see this management plan moving towards completion. I encourage all users of the Tagish River area to come to the public meetings to learn about the recommended management plan and provide feedback on how to protect this culturally and ecologically significant area.      Minister of Environment Pauline Frost            Carcross/Tagish First Nation is encouraged that through this recommended management plan people will be able to re-establish their relationship and connection to the land and water that makes up the Tagish River Habitat Protection Area. Through our treaty we identified this area due to the cultural and ecological significance it has to Tagish and Tlingit people. We encourage people to spend time enjoying this area while respecting the Indigenous rights of the Carcross/Tagish people. We look forward to completing this important initiative.      Haa Shaa du Hen, Carcross/Tagish First Nation, Lynda Dickson            Quick facts       The Tagish River was identified under Chapter 10, Schedule C of the Carcross/Tagish First Nation Final Agreement due to the cultural and ecological significance of the area.  The Tagish River Habitat Protection Area Steering Committee includes representatives from the Carcross/Tagish First Nation, the Government of Yukon and the Government of Canada.  The Steering Committee invited representatives from the Carcross/Tagish Renewable Resources Council and Tagish Local Advisory Council to join in the planning process and has welcomed input since the start of this initiative.  The Habitat Protection Area (HPA) covers approximately five square kilometres between Marsh Lake and Tagish Lake.  The Tagish River is one of the most important areas in Yukon for migrating waterfowl, especially Trumpeter and Tundra Swans, as it is one of only a few areas in Southern Yukon with open water in the spring.  Habitat Protection Areas are areas established under the Yukon Wildlife Act to conserve wildlife and habitat to maintain Yukon’s important natural landscapes and cultural features.  In developing a draft of the plan, the steering committee met with Carcross/Tagish First Nation Elders, held eight community events, sent a questionnaire to residents and conducted interviews with citizens.          Contact   Janine Workman 	Cabinet Communications 	867-332-0480 janine.workman@gov.yk.ca Diana Dryburgh-Moraal 	Communications, Environment 	867-334-9815 diana.dryburgh-moraal@gov.yk.ca Stewart Burnett 	Communications Advisor 	Carcross/Tagish First Nation 	867-332-3993 stewart.burnett@ctfn.ca     News release #:   20-271    Related information:   EngageYukon: Engaging on the draft Tagish River Habitat Protection Area management plan Tagish River Habitat Protection Area Carcross/Tagish First Nation        "
